instance_id,constraint_id,path,ref_type,reference
DK-FG-12,AssignRoom,AppliesTo/EventGroups/EventGroup,EventGroup,EGAll
DK-FG-12,AssignTime,AppliesTo/EventGroups/EventGroup,EventGroup,EGAll
DK-FG-12,PreferResource1,AppliesTo/Events/Event,Event,E0
DK-FG-12,PreferResource1,AppliesTo/Events/Event,Event,E19
DK-FG-12,PreferResource1,AppliesTo/Events/Event,Event,E20
DK-FG-12,PreferResource1,AppliesTo/Events/Event,Event,E21
DK-FG-12,PreferResource1,AppliesTo/Events/Event,Event,E22
DK-FG-12,PreferResource1,AppliesTo/Events/Event,Event,E23
DK-FG-12,PreferResource1,AppliesTo/Events/Event,Event,E32
DK-FG-12,PreferResource1,AppliesTo/Events/Event,Event,E33
DK-FG-12,PreferResource1,AppliesTo/Events/Event,Event,E34
DK-FG-12,PreferResource1,AppliesTo/Events/Event,Event,E35
DK-FG-12,PreferResource1,AppliesTo/Events/Event,Event,E36
DK-FG-12,PreferResource1,AppliesTo/Events/Event,Event,E45
DK-FG-12,PreferResource1,AppliesTo/Events/Event,Event,E46
DK-FG-12,PreferResource1,AppliesTo/Events/Event,Event,E47
DK-FG-12,PreferResource1,AppliesTo/Events/Event,Event,E48
DK-FG-12,PreferResource1,AppliesTo/Events/Event,Event,E72
DK-FG-12,PreferResource1,AppliesTo/Events/Event,Event,E73
DK-FG-12,PreferResource1,AppliesTo/Events/Event,Event,E75
DK-FG-12,PreferResource1,AppliesTo/Events/Event,Event,E76
DK-FG-12,PreferResource1,AppliesTo/Events/Event,Event,E77
DK-FG-12,PreferResource1,AppliesTo/Events/Event,Event,E78
DK-FG-12,PreferResource1,AppliesTo/Events/Event,Event,E79
DK-FG-12,PreferResource1,AppliesTo/Events/Event,Event,E80
DK-FG-12,PreferResource1,AppliesTo/Events/Event,Event,E81
DK-FG-12,PreferResource1,AppliesTo/Events/Event,Event,E139
DK-FG-12,PreferResource1,AppliesTo/Events/Event,Event,E162
DK-FG-12,PreferResource1,AppliesTo/Events/Event,Event,E163
DK-FG-12,PreferResource1,AppliesTo/Events/Event,Event,E164
DK-FG-12,PreferResource1,AppliesTo/Events/Event,Event,E165
DK-FG-12,PreferResource1,AppliesTo/Events/Event,Event,E166
DK-FG-12,PreferResource1,AppliesTo/Events/Event,Event,E188
DK-FG-12,PreferResource1,AppliesTo/Events/Event,Event,E189
DK-FG-12,PreferResource1,AppliesTo/Events/Event,Event,E190
DK-FG-12,PreferResource1,AppliesTo/Events/Event,Event,E211
DK-FG-12,PreferResource1,AppliesTo/Events/Event,Event,E212
