instance_id,constraint_id,path,attr,value
DK-FG-12,AssignRoom,Name,text,AssignRoom
DK-FG-12,AssignRoom,Required,text,TRUE
DK-FG-12,AssignRoom,Weight,text,1
DK-FG-12,AssignRoom,CostFunction,text,Linear
DK-FG-12,AssignRoom,Role,text,RoleRoom
DK-FG-12,AssignTime,Name,text,AssignTime
DK-FG-12,AssignTime,Required,text,TRUE
DK-FG-12,AssignTime,Weight,text,1
DK-FG-12,AssignTime,CostFunction,text,Linear
DK-FG-12,PreferResource1,Name,text,PreferResource
DK-FG-12,PreferResource1,Required,text,TRUE
DK-FG-12,PreferResource1,Weight,text,1000
DK-FG-12,PreferResource1,CostFunction,text,Linear
DK-FG-12,PreferResource1,Resources/Resource,Reference,R19
DK-FG-12,PreferResource1,Resources/Resource,Reference,R62
DK-FG-12,PreferResource1,Resources/Resource,Reference,R63
DK-FG-12,PreferResource1,Role,text,RoleRoom
DK-FG-12,PreferResource2,Name,text,PreferResource
DK-FG-12,PreferResource2,Required,text,TRUE
DK-FG-12,PreferResource2,Weight,text,1000
DK-FG-12,PreferResource2,CostFunction,text,Linear
DK-FG-12,PreferResource2,Resources/Resource,Reference,R0
DK-FG-12,PreferResource2,Resources/Resource,Reference,R1
DK-FG-12,PreferResource2,Resources/Resource,Reference,R2
DK-FG-12,PreferResource2,Resources/Resource,Reference,R3
DK-FG-12,PreferResource2,Resources/Resource,Reference,R4
DK-FG-12,PreferResource2,Resources/Resource,Reference,R5
DK-FG-12,PreferResource2,Resources/Resource,Reference,R6
DK-FG-12,PreferResource2,Resources/Resource,Reference,R7
DK-FG-12,PreferResource2,Resources/Resource,Reference,R8
DK-FG-12,PreferResource2,Resources/Resource,Reference,R9
DK-FG-12,PreferResource2,Resources/Resource,Reference,R10
DK-FG-12,PreferResource2,Resources/Resource,Reference,R11
DK-FG-12,PreferResource2,Resources/Resource,Reference,R12
DK-FG-12,PreferResource2,Resources/Resource,Reference,R13
DK-FG-12,PreferResource2,Resources/Resource,Reference,R14
DK-FG-12,PreferResource2,Resources/Resource,Reference,R15
DK-FG-12,PreferResource2,Resources/Resource,Reference,R16
DK-FG-12,PreferResource2,Resources/Resource,Reference,R17
DK-FG-12,PreferResource2,Resources/Resource,Reference,R18
DK-FG-12,PreferResource2,Resources/Resource,Reference,R19
DK-FG-12,PreferResource2,Resources/Resource,Reference,R20
DK-FG-12,PreferResource2,Resources/Resource,Reference,R21
DK-FG-12,PreferResource2,Resources/Resource,Reference,R22
DK-FG-12,PreferResource2,Resources/Resource,Reference,R23
DK-FG-12,PreferResource2,Resources/Resource,Reference,R24
DK-FG-12,PreferResource2,Resources/Resource,Reference,R25
DK-FG-12,PreferResource2,Resources/Resource,Reference,R26
DK-FG-12,PreferResource2,Resources/Resource,Reference,R27
DK-FG-12,PreferResource2,Resources/Resource,Reference,R28
DK-FG-12,PreferResource2,Resources/Resource,Reference,R29
DK-FG-12,PreferResource2,Resources/Resource,Reference,R30
DK-FG-12,PreferResource2,Resources/Resource,Reference,R31
DK-FG-12,PreferResource2,Resources/Resource,Reference,R32
DK-FG-12,PreferResource2,Resources/Resource,Reference,R33
DK-FG-12,PreferResource2,Resources/Resource,Reference,R34
DK-FG-12,PreferResource2,Resources/Resource,Reference,R35
DK-FG-12,PreferResource2,Resources/Resource,Reference,R36
DK-FG-12,PreferResource2,Resources/Resource,Reference,R37
DK-FG-12,PreferResource2,Resources/Resource,Reference,R38
DK-FG-12,PreferResource2,Resources/Resource,Reference,R39
DK-FG-12,PreferResource2,Resources/Resource,Reference,R40
DK-FG-12,PreferResource2,Resources/Resource,Reference,R41
DK-FG-12,PreferResource2,Resources/Resource,Reference,R42
DK-FG-12,PreferResource2,Resources/Resource,Reference,R43
DK-FG-12,PreferResource2,Resources/Resource,Reference,R44
DK-FG-12,PreferResource2,Resources/Resource,Reference,R45
DK-FG-12,PreferResource2,Resources/Resource,Reference,R46
DK-FG-12,PreferResource2,Resources/Resource,Reference,R47
DK-FG-12,PreferResource2,Resources/Resource,Reference,R48
DK-FG-12,PreferResource2,Resources/Resource,Reference,R49
DK-FG-12,PreferResource2,Resources/Resource,Reference,R50
DK-FG-12,PreferResource2,Resources/Resource,Reference,R51
DK-FG-12,PreferResource2,Resources/Resource,Reference,R52
DK-FG-12,PreferResource2,Resources/Resource,Reference,R53
DK-FG-12,PreferResource2,Resources/Resource,Reference,R54
DK-FG-12,PreferResource2,Resources/Resource,Reference,R55
DK-FG-12,PreferResource2,Resources/Resource,Reference,R56
DK-FG-12,PreferResource2,Resources/Resource,Reference,R57
DK-FG-12,PreferResource2,Resources/Resource,Reference,R58
DK-FG-12,PreferResource2,Resources/Resource,Reference,R59
DK-FG-12,PreferResource2,Resources/Resource,Reference,R60
DK-FG-12,PreferResource2,Resources/Resource,Reference,R61
