instance_id,event_id,event_group_id
DK-FG-12,E0,EGAll
DK-FG-12,E0,Course0
DK-FG-12,E1,EGAll
DK-FG-12,E1,Course0
DK-FG-12,E2,EGAll
DK-FG-12,E2,Course0
DK-FG-12,E3,EGAll
DK-FG-12,E3,Course1
DK-FG-12,E4,EGAll
DK-FG-12,E4,Course1
DK-FG-12,E5,EGAll
DK-FG-12,E5,Course1
DK-FG-12,E6,EGAll
DK-FG-12,E6,Course2
DK-FG-12,E7,EGAll
DK-FG-12,E7,Course2
DK-FG-12,E8,EGAll
DK-FG-12,E8,Course2
DK-FG-12,E9,EGAll
DK-FG-12,E9,Course2
DK-FG-12,E10,EGAll
DK-FG-12,E10,Course2
DK-FG-12,E11,EGAll
DK-FG-12,E11,Course3
DK-FG-12,E12,EGAll
DK-FG-12,E12,Course3
DK-FG-12,E13,EGAll
DK-FG-12,E13,Course3
DK-FG-12,E14,EGAll
DK-FG-12,E14,Course4
DK-FG-12,E15,EGAll
DK-FG-12,E15,Course4
DK-FG-12,E16,EGAll
DK-FG-12,E16,Course4
DK-FG-12,E17,EGAll
DK-FG-12,E17,Course4
DK-FG-12,E18,EGAll
DK-FG-12,E18,Course4
DK-FG-12,E19,EGAll
DK-FG-12,E19,Course5
DK-FG-12,E20,EGAll
DK-FG-12,E20,Course5
DK-FG-12,E21,EGAll
DK-FG-12,E21,Course5
DK-FG-12,E22,EGAll
DK-FG-12,E22,Course5
DK-FG-12,E23,EGAll
DK-FG-12,E23,Course5
DK-FG-12,E24,EGAll
DK-FG-12,E24,Course6
DK-FG-12,E25,EGAll
DK-FG-12,E25,Course6
DK-FG-12,E26,EGAll
DK-FG-12,E26,Course6
DK-FG-12,E27,EGAll
DK-FG-12,E27,Course7
DK-FG-12,E28,EGAll
DK-FG-12,E28,Course7
DK-FG-12,E29,EGAll
DK-FG-12,E29,Course7
DK-FG-12,E30,EGAll
DK-FG-12,E30,Course7
DK-FG-12,E31,EGAll
DK-FG-12,E31,Course7
DK-FG-12,E32,EGAll
DK-FG-12,E32,Course8
DK-FG-12,E33,EGAll
DK-FG-12,E33,Course8
DK-FG-12,E34,EGAll
DK-FG-12,E34,Course8
DK-FG-12,E35,EGAll
DK-FG-12,E35,Course8
DK-FG-12,E36,EGAll
DK-FG-12,E36,Course8
DK-FG-12,E37,EGAll
DK-FG-12,E37,Course9
DK-FG-12,E38,EGAll
DK-FG-12,E38,Course9
DK-FG-12,E39,EGAll
DK-FG-12,E39,Course9
DK-FG-12,E40,EGAll
DK-FG-12,E40,Course10
DK-FG-12,E41,EGAll
DK-FG-12,E41,Course10
DK-FG-12,E42,EGAll
DK-FG-12,E42,Course10
DK-FG-12,E43,EGAll
DK-FG-12,E43,Course10
DK-FG-12,E44,EGAll
DK-FG-12,E44,Course10
DK-FG-12,E45,EGAll
DK-FG-12,E45,Course11
DK-FG-12,E46,EGAll
DK-FG-12,E46,Course11
DK-FG-12,E47,EGAll
DK-FG-12,E47,Course11
DK-FG-12,E48,EGAll
DK-FG-12,E48,Course11
DK-FG-12,E49,EGAll
DK-FG-12,E49,Course11
DK-FG-12,E50,EGAll
DK-FG-12,E50,Course12
DK-FG-12,E51,EGAll
DK-FG-12,E51,Course12
DK-FG-12,E52,EGAll
DK-FG-12,E52,Course12
DK-FG-12,E53,EGAll
DK-FG-12,E53,Course13
DK-FG-12,E54,EGAll
DK-FG-12,E54,Course13
DK-FG-12,E55,EGAll
DK-FG-12,E55,Course13
DK-FG-12,E56,EGAll
DK-FG-12,E56,Course13
DK-FG-12,E57,EGAll
DK-FG-12,E57,Course14
DK-FG-12,E58,EGAll
DK-FG-12,E58,Course14
DK-FG-12,E59,EGAll
DK-FG-12,E59,Course14
DK-FG-12,E60,EGAll
DK-FG-12,E60,Course14
DK-FG-12,E61,EGAll
DK-FG-12,E61,Course15
DK-FG-12,E62,EGAll
DK-FG-12,E62,Course15
DK-FG-12,E63,EGAll
DK-FG-12,E63,Course15
DK-FG-12,E64,EGAll
DK-FG-12,E64,Course16
DK-FG-12,E65,EGAll
DK-FG-12,E65,Course16
DK-FG-12,E66,EGAll
DK-FG-12,E66,Course16
DK-FG-12,E67,EGAll
DK-FG-12,E67,Course17
DK-FG-12,E68,EGAll
DK-FG-12,E68,Course17
DK-FG-12,E69,EGAll
DK-FG-12,E69,Course17
DK-FG-12,E70,EGAll
DK-FG-12,E70,Course17
DK-FG-12,E71,EGAll
DK-FG-12,E71,Course17
DK-FG-12,E72,EGAll
DK-FG-12,E72,Course18
DK-FG-12,E73,EGAll
DK-FG-12,E73,Course18
DK-FG-12,E74,EGAll
DK-FG-12,E74,Course18
DK-FG-12,E75,EGAll
DK-FG-12,E75,Course18
DK-FG-12,E76,EGAll
DK-FG-12,E76,Course18
DK-FG-12,E77,EGAll
DK-FG-12,E77,Course19
DK-FG-12,E78,EGAll
DK-FG-12,E78,Course19
DK-FG-12,E79,EGAll
DK-FG-12,E79,Course19
DK-FG-12,E80,EGAll
DK-FG-12,E80,Course19
DK-FG-12,E81,EGAll
DK-FG-12,E81,Course19
DK-FG-12,E82,EGAll
DK-FG-12,E82,Course20
DK-FG-12,E82,Course22
DK-FG-12,E82,Course23
DK-FG-12,E82,Course24
DK-FG-12,E82,Course25
DK-FG-12,E82,Course26
DK-FG-12,E83,EGAll
DK-FG-12,E83,Course20
DK-FG-12,E83,Course22
DK-FG-12,E83,Course23
DK-FG-12,E83,Course24
DK-FG-12,E83,Course25
DK-FG-12,E83,Course26
DK-FG-12,E84,EGAll
DK-FG-12,E84,Course20
DK-FG-12,E84,Course22
DK-FG-12,E84,Course23
DK-FG-12,E84,Course24
DK-FG-12,E84,Course25
DK-FG-12,E84,Course26
DK-FG-12,E85,EGAll
DK-FG-12,E85,Course20
DK-FG-12,E85,Course22
DK-FG-12,E85,Course23
DK-FG-12,E85,Course24
DK-FG-12,E85,Course25
DK-FG-12,E85,Course26
DK-FG-12,E86,EGAll
DK-FG-12,E86,Course21
DK-FG-12,E87,EGAll
DK-FG-12,E87,Course21
DK-FG-12,E108,EGAll
DK-FG-12,E108,Course27
DK-FG-12,E109,EGAll
DK-FG-12,E109,Course27
DK-FG-12,E110,EGAll
DK-FG-12,E110,Course27
DK-FG-12,E111,EGAll
DK-FG-12,E111,Course28
DK-FG-12,E112,EGAll
DK-FG-12,E112,Course28
DK-FG-12,E113,EGAll
DK-FG-12,E113,Course28
DK-FG-12,E114,EGAll
DK-FG-12,E114,Course29
DK-FG-12,E115,EGAll
DK-FG-12,E115,Course29
DK-FG-12,E116,EGAll
DK-FG-12,E116,Course29
DK-FG-12,E117,EGAll
