instance_id,event_group_id,group_type,name
DK-FG-12,Course0,EventGroup,Course0
DK-FG-12,Course1,EventGroup,Course1
DK-FG-12,Course2,EventGroup,Course2
DK-FG-12,Course3,EventGroup,Course3
DK-FG-12,Course4,EventGroup,Course4
DK-FG-12,Course5,EventGroup,Course5
DK-FG-12,Course6,EventGroup,Course6
DK-FG-12,Course7,EventGroup,Course7
DK-FG-12,Course8,EventGroup,Course8
DK-FG-12,Course9,EventGroup,Course9
DK-FG-12,Course10,EventGroup,Course10
DK-FG-12,Course11,EventGroup,Course11
DK-FG-12,Course12,EventGroup,Course12
DK-FG-12,Course13,EventGroup,Course13
DK-FG-12,Course14,EventGroup,Course14
DK-FG-12,Course15,EventGroup,Course15
DK-FG-12,Course16,EventGroup,Course16
DK-FG-12,Course17,EventGroup,Course17
DK-FG-12,Course18,EventGroup,Course18
DK-FG-12,Course19,EventGroup,Course19
DK-FG-12,Course20,EventGroup,Course20
DK-FG-12,Course21,EventGroup,Course21
DK-FG-12,Course22,EventGroup,Course22
DK-FG-12,Course23,EventGroup,Course23
DK-FG-12,Course24,EventGroup,Course24
DK-FG-12,Course25,EventGroup,Course25
DK-FG-12,Course26,EventGroup,Course26
DK-FG-12,Course27,EventGroup,Course27
DK-FG-12,Course28,EventGroup,Course28
DK-FG-12,Course29,EventGroup,Course29
DK-FG-12,Course30,EventGroup,Course30
DK-FG-12,Course31,EventGroup,Course31
DK-FG-12,Course32,EventGroup,Course32
DK-FG-12,Course33,EventGroup,Course33
DK-FG-12,Course34,EventGroup,Course34
DK-FG-12,Course35,EventGroup,Course35
DK-FG-12,Course36,EventGroup,Course36
DK-FG-12,Course37,EventGroup,Course37
DK-FG-12,Course38,EventGroup,Course38
DK-FG-12,Course39,EventGroup,Course39
DK-FG-12,Course40,EventGroup,Course40
DK-FG-12,Course41,EventGroup,Course41
DK-FG-12,Course42,EventGroup,Course42
DK-FG-12,Course43,EventGroup,Course43
DK-FG-12,Course44,EventGroup,Course44
DK-FG-12,Course45,EventGroup,Course45
DK-FG-12,Course46,EventGroup,Course46
DK-FG-12,Course47,EventGroup,Course47
DK-FG-12,Course48,EventGroup,Course48
DK-FG-12,Course49,EventGroup,Course49
DK-FG-12,Course50,EventGroup,Course50
DK-FG-12,Course51,EventGroup,Course51
DK-FG-12,Course52,EventGroup,Course52
DK-FG-12,Course53,EventGroup,Course53
DK-FG-12,Course54,EventGroup,Course54
DK-FG-12,Course55,EventGroup,Course55
DK-FG-12,Course56,EventGroup,Course56
DK-FG-12,Course57,EventGroup,Course57
DK-FG-12,Course58,EventGroup,Course58
DK-FG-12,Course59,EventGroup,Course59
DK-FG-12,Course60,EventGroup,Course60
DK-FG-12,Course61,EventGroup,Course61
DK-FG-12,Course62,EventGroup,Course62
DK-FG-12,Course63,EventGroup,Course63
DK-FG-12,Course64,EventGroup,Course64
DK-FG-12,Course65,EventGroup,Course65
DK-FG-12,Course66,EventGroup,Course66
