instance_id,resource_id,resource_group_id
DK-FG-12,Teacher6,RGAllTeachers
DK-FG-12,Student222,RGAllStudents
DK-FG-12,Student223,RGAllStudents
DK-FG-12,Student224,RGAllStudents
DK-FG-12,Student225,RGAllStudents
DK-FG-12,Student226,RGAllStudents
DK-FG-12,Student227,RGAllStudents
DK-FG-12,Student228,RGAllStudents
DK-FG-12,Student229,RGAllStudents
DK-FG-12,Student230,RGAllStudents
DK-FG-12,Student231,RGAllStudents
DK-FG-12,Student232,RGAllStudents
DK-FG-12,Student233,RGAllStudents
DK-FG-12,Student184,RGAllStudents
DK-FG-12,Teacher64,RGAllTeachers
DK-FG-12,Student297,RGAllStudents
DK-FG-12,Student326,RGAllStudents
DK-FG-12,Student182,RGAllStudents
DK-FG-12,Student247,RGAllStudents
DK-FG-12,Student237,RGAllStudents
DK-FG-12,Student240,RGAllStudents
DK-FG-12,Teacher78,RGAllTeachers
DK-FG-12,Student293,RGAllStudents
DK-FG-12,Student301,RGAllStudents
DK-FG-12,Student311,RGAllStudents
DK-FG-12,Student251,RGAllStudents
DK-FG-12,Teacher76,RGAllTeachers
DK-FG-12,Student314,RGAllStudents
DK-FG-12,Student294,RGAllStudents
DK-FG-12,Student302,RGAllStudents
DK-FG-12,Student307,RGAllStudents
DK-FG-12,Student336,RGAllStudents
DK-FG-12,Student322,RGAllStudents
DK-FG-12,Student289,RGAllStudents
DK-FG-12,Student337,RGAllStudents
DK-FG-12,Teacher7,RGAllTeachers
DK-FG-12,Student185,RGAllStudents
DK-FG-12,Student199,RGAllStudents
DK-FG-12,Student200,RGAllStudents
DK-FG-12,Student201,RGAllStudents
DK-FG-12,Student202,RGAllStudents
DK-FG-12,Student203,RGAllStudents
DK-FG-12,Student204,RGAllStudents
DK-FG-12,Student205,RGAllStudents
DK-FG-12,Student189,RGAllStudents
DK-FG-12,Student190,RGAllStudents
DK-FG-12,Student138,RGAllStudents
DK-FG-12,Student206,RGAllStudents
DK-FG-12,Teacher37,RGAllTeachers
DK-FG-12,Student291,RGAllStudents
DK-FG-12,Student290,RGAllStudents
DK-FG-12,Student296,RGAllStudents
DK-FG-12,Student295,RGAllStudents
DK-FG-12,Teacher40,RGAllTeachers
DK-FG-12,Student270,RGAllStudents
DK-FG-12,Student272,RGAllStudents
DK-FG-12,Student304,RGAllStudents
DK-FG-12,Student316,RGAllStudents
DK-FG-12,Student249,RGAllStudents
DK-FG-12,Student250,RGAllStudents
DK-FG-12,Student252,RGAllStudents
DK-FG-12,Student212,RGAllStudents
DK-FG-12,Student253,RGAllStudents
DK-FG-12,Teacher2,RGAllTeachers
DK-FG-12,Student308,RGAllStudents
DK-FG-12,Student286,RGAllStudents
DK-FG-12,Student287,RGAllStudents
DK-FG-12,Student324,RGAllStudents
DK-FG-12,Student350,RGAllStudents
DK-FG-12,Student351,RGAllStudents
DK-FG-12,Student246,RGAllStudents
DK-FG-12,Student239,RGAllStudents
DK-FG-12,Teacher65,RGAllTeachers
DK-FG-12,Student278,RGAllStudents
DK-FG-12,Student279,RGAllStudents
DK-FG-12,Student282,RGAllStudents
DK-FG-12,Student283,RGAllStudents
DK-FG-12,Student328,RGAllStudents
DK-FG-12,Student331,RGAllStudents
DK-FG-12,Student285,RGAllStudents
DK-FG-12,Student330,RGAllStudents
DK-FG-12,Student213,RGAllStudents
DK-FG-12,Teacher38,RGAllTeachers
DK-FG-12,Student241,RGAllStudents
DK-FG-12,Student321,RGAllStudents
DK-FG-12,Student317,RGAllStudents
DK-FG-12,Student339,RGAllStudents
DK-FG-12,Student340,RGAllStudents
DK-FG-12,Student256,RGAllStudents
DK-FG-12,Teacher75,RGAllTeachers
DK-FG-12,Student267,RGAllStudents
DK-FG-12,Student275,RGAllStudents
DK-FG-12,Student319,RGAllStudents
DK-FG-12,Student276,RGAllStudents
DK-FG-12,Student254,RGAllStudents
DK-FG-12,Teacher71,RGAllTeachers
DK-FG-12,Student292,RGAllStudents
DK-FG-12,Student271,RGAllStudents
DK-FG-12,Student140,RGAllStudents
DK-FG-12,Teacher31,RGAllTeachers
DK-FG-12,Student218,RGAllStudents
DK-FG-12,Student219,RGAllStudents
DK-FG-12,Student220,RGAllStudents
DK-FG-12,Student221,RGAllStudents
DK-FG-12,Student186,RGAllStudents
DK-FG-12,Student187,RGAllStudents
DK-FG-12,Student183,RGAllStudents
DK-FG-12,Student191,RGAllStudents
DK-FG-12,Student192,RGAllStudents
DK-FG-12,Student193,RGAllStudents
DK-FG-12,Teacher52,RGAllTeachers
DK-FG-12,Student91,RGAllStudents
DK-FG-12,Student92,RGAllStudents
DK-FG-12,Student93,RGAllStudents
DK-FG-12,Student94,RGAllStudents
DK-FG-12,Student95,RGAllStudents
DK-FG-12,Teacher68,RGAllTeachers
DK-FG-12,Teacher51,RGAllTeachers
DK-FG-12,Teacher63,RGAllTeachers
DK-FG-12,Teacher29,RGAllTeachers
DK-FG-12,Teacher14,RGAllTeachers
DK-FG-12,Teacher56,RGAllTeachers
DK-FG-12,Teacher50,RGAllTeachers
DK-FG-12,Teacher36,RGAllTeachers
DK-FG-12,Teacher16,RGAllTeachers
DK-FG-12,Student96,RGAllStudents
DK-FG-12,Student97,RGAllStudents
DK-FG-12,Student98,RGAllStudents
DK-FG-12,Teacher54,RGAllTeachers
DK-FG-12,Student99,RGAllStudents
DK-FG-12,Student100,RGAllStudents
DK-FG-12,Teacher74,RGAllTeachers
DK-FG-12,Student133,RGAllStudents
DK-FG-12,Student136,RGAllStudents
DK-FG-12,Student135,RGAllStudents
DK-FG-12,Student106,RGAllStudents
DK-FG-12,Teacher60,RGAllTeachers
DK-FG-12,Student103,RGAllStudents
DK-FG-12,Student104,RGAllStudents
DK-FG-12,Student105,RGAllStudents
DK-FG-12,Teacher46,RGAllTeachers
DK-FG-12,Student101,RGAllStudents
DK-FG-12,Student102,RGAllStudents
DK-FG-12,Teacher18,RGAllTeachers
DK-FG-12,Student132,RGAllStudents
DK-FG-12,Student137,RGAllStudents
DK-FG-12,Student134,RGAllStudents
DK-FG-12,Student107,RGAllStudents
DK-FG-12,Teacher85,RGAllTeachers
DK-FG-12,Teacher48,RGAllTeachers
DK-FG-12,Teacher89,RGAllTeachers
DK-FG-12,Teacher30,RGAllTeachers
DK-FG-12,Teacher57,RGAllTeachers
DK-FG-12,Teacher59,RGAllTeachers
DK-FG-12,Teacher43,RGAllTeachers
DK-FG-12,Teacher82,RGAllTeachers
DK-FG-12,Teacher53,RGAllTeachers
DK-FG-12,Teacher19,RGAllTeachers
DK-FG-12,Teacher25,RGAllTeachers
DK-FG-12,Student108,RGAllStudents
DK-FG-12,Student109,RGAllStudents
DK-FG-12,Student110,RGAllStudents
DK-FG-12,Student111,RGAllStudents
DK-FG-12,Student112,RGAllStudents
DK-FG-12,Student113,RGAllStudents
DK-FG-12,Student114,RGAllStudents
DK-FG-12,Student115,RGAllStudents
DK-FG-12,Teacher58,RGAllTeachers
DK-FG-12,Teacher3,RGAllTeachers
DK-FG-12,Teacher61,RGAllTeachers
DK-FG-12,Teacher26,RGAllTeachers
DK-FG-12,Teacher9,RGAllTeachers
DK-FG-12,Student116,RGAllStudents
DK-FG-12,Student117,RGAllStudents
DK-FG-12,Student118,RGAllStudents
DK-FG-12,Student119,RGAllStudents
DK-FG-12,Student120,RGAllStudents
DK-FG-12,Student121,RGAllStudents
DK-FG-12,Student122,RGAllStudents
DK-FG-12,Teacher23,RGAllTeachers
DK-FG-12,Student123,RGAllStudents
DK-FG-12,Student124,RGAllStudents
DK-FG-12,Student125,RGAllStudents
DK-FG-12,Student126,RGAllStudents
DK-FG-12,Student127,RGAllStudents
DK-FG-12,Student128,RGAllStudents
DK-FG-12,Student129,RGAllStudents
DK-FG-12,Student130,RGAllStudents
DK-FG-12,Student131,RGAllStudents
DK-FG-12,Teacher77,RGAllTeachers
DK-FG-12,Teacher27,RGAllTeachers
DK-FG-12,Teacher33,RGAllTeachers
DK-FG-12,Teacher87,RGAllTeachers
DK-FG-12,Teacher49,RGAllTeachers
DK-FG-12,Teacher47,RGAllTeachers
DK-FG-12,Teacher79,RGAllTeachers
DK-FG-12,Teacher24,RGAllTeachers
DK-FG-12,Teacher70,RGAllTeachers
DK-FG-12,Teacher35,RGAllTeachers
DK-FG-12,Teacher67,RGAllTeachers
DK-FG-12,Teacher45,RGAllTeachers
DK-FG-12,Teacher83,RGAllTeachers
DK-FG-12,Teacher1,RGAllTeachers
DK-FG-12,Teacher20,RGAllTeachers
DK-FG-12,Teacher44,RGAllTeachers
DK-FG-12,Teacher69,RGAllTeachers
DK-FG-12,Student142,RGAllStudents
DK-FG-12,Student141,RGAllStudents
DK-FG-12,Student143,RGAllStudents
DK-FG-12,Student144,RGAllStudents
DK-FG-12,Teacher62,RGAllTeachers
DK-FG-12,Student145,RGAllStudents
DK-FG-12,Student146,RGAllStudents
DK-FG-12,Teacher22,RGAllTeachers
DK-FG-12,Teacher17,RGAllTeachers
DK-FG-12,Student148,RGAllStudents
DK-FG-12,Student149,RGAllStudents
DK-FG-12,Student150,RGAllStudents
DK-FG-12,Student151,RGAllStudents
DK-FG-12,Student152,RGAllStudents
DK-FG-12,Student153,RGAllStudents
DK-FG-12,Student154,RGAllStudents
DK-FG-12,Student155,RGAllStudents
DK-FG-12,Teacher4,RGAllTeachers
DK-FG-12,Teacher66,RGAllTeachers
DK-FG-12,Student159,RGAllStudents
DK-FG-12,Student160,RGAllStudents
DK-FG-12,Student161,RGAllStudents
DK-FG-12,Student158,RGAllStudents
DK-FG-12,Student162,RGAllStudents
DK-FG-12,Student163,RGAllStudents
DK-FG-12,Student164,RGAllStudents
DK-FG-12,Student165,RGAllStudents
DK-FG-12,Student166,RGAllStudents
DK-FG-12,Student167,RGAllStudents
DK-FG-12,Student168,RGAllStudents
DK-FG-12,Student169,RGAllStudents
DK-FG-12,Student157,RGAllStudents
DK-FG-12,Student170,RGAllStudents
DK-FG-12,Student171,RGAllStudents
DK-FG-12,Student172,RGAllStudents
DK-FG-12,Student173,RGAllStudents
DK-FG-12,Student174,RGAllStudents
DK-FG-12,Student156,RGAllStudents
DK-FG-12,Student176,RGAllStudents
DK-FG-12,Student177,RGAllStudents
DK-FG-12,Student175,RGAllStudents
DK-FG-12,Teacher11,RGAllTeachers
DK-FG-12,Teacher15,RGAllTeachers
DK-FG-12,Teacher13,RGAllTeachers
DK-FG-12,Teacher39,RGAllTeachers
DK-FG-12,Teacher73,RGAllTeachers
DK-FG-12,Teacher72,RGAllTeachers
DK-FG-12,Student178,RGAllStudents
DK-FG-12,Student179,RGAllStudents
DK-FG-12,Student180,RGAllStudents
DK-FG-12,Student181,RGAllStudents
DK-FG-12,Teacher34,RGAllTeachers
DK-FG-12,Teacher86,RGAllTeachers
DK-FG-12,Student188,RGAllStudents
DK-FG-12,Teacher88,RGAllTeachers
DK-FG-12,Student194,RGAllStudents
DK-FG-12,Student195,RGAllStudents
DK-FG-12,Teacher10,RGAllTeachers
DK-FG-12,Student196,RGAllStudents
DK-FG-12,Student197,RGAllStudents
DK-FG-12,Student198,RGAllStudents
DK-FG-12,Teacher42,RGAllTeachers
DK-FG-12,Teacher21,RGAllTeachers
DK-FG-12,Teacher5,RGAllTeachers
DK-FG-12,Student207,RGAllStudents
DK-FG-12,Student208,RGAllStudents
DK-FG-12,Student209,RGAllStudents
DK-FG-12,Student210,RGAllStudents
DK-FG-12,Teacher8,RGAllTeachers
DK-FG-12,Teacher12,RGAllTeachers
DK-FG-12,Student211,RGAllStudents
DK-FG-12,Teacher41,RGAllTeachers
DK-FG-12,Teacher84,RGAllTeachers
DK-FG-12,Student214,RGAllStudents
DK-FG-12,Student215,RGAllStudents
DK-FG-12,Student139,RGAllStudents
DK-FG-12,Student147,RGAllStudents
DK-FG-12,Student216,RGAllStudents
DK-FG-12,Teacher55,RGAllTeachers
DK-FG-12,Teacher32,RGAllTeachers
DK-FG-12,Student217,RGAllStudents
DK-FG-12,Student234,RGAllStudents
DK-FG-12,Student235,RGAllStudents
DK-FG-12,Student236,RGAllStudents
DK-FG-12,Student238,RGAllStudents
DK-FG-12,Student90,RGAllStudents
DK-FG-12,Student242,RGAllStudents
DK-FG-12,Student243,RGAllStudents
DK-FG-12,Student244,RGAllStudents
DK-FG-12,Student245,RGAllStudents
DK-FG-12,Student248,RGAllStudents
DK-FG-12,Teacher28,RGAllTeachers
DK-FG-12,Student255,RGAllStudents
DK-FG-12,Teacher81,RGAllTeachers
DK-FG-12,Student257,RGAllStudents
DK-FG-12,Student258,RGAllStudents
DK-FG-12,Student259,RGAllStudents
DK-FG-12,Student260,RGAllStudents
DK-FG-12,Student261,RGAllStudents
DK-FG-12,Student262,RGAllStudents
DK-FG-12,Student263,RGAllStudents
DK-FG-12,Student264,RGAllStudents
DK-FG-12,Student265,RGAllStudents
DK-FG-12,Student266,RGAllStudents
DK-FG-12,Teacher80,RGAllTeachers
DK-FG-12,Student268,RGAllStudents
DK-FG-12,Student269,RGAllStudents
DK-FG-12,Student273,RGAllStudents
DK-FG-12,Student274,RGAllStudents
DK-FG-12,Teacher0,RGAllTeachers
DK-FG-12,Student277,RGAllStudents
DK-FG-12,Student280,RGAllStudents
DK-FG-12,Student281,RGAllStudents
DK-FG-12,Student284,RGAllStudents
DK-FG-12,Student288,RGAllStudents
DK-FG-12,Student298,RGAllStudents
DK-FG-12,Student299,RGAllStudents
DK-FG-12,Student300,RGAllStudents
DK-FG-12,Student303,RGAllStudents
DK-FG-12,Student305,RGAllStudents
DK-FG-12,Student306,RGAllStudents
DK-FG-12,Student309,RGAllStudents
DK-FG-12,Student310,RGAllStudents
DK-FG-12,Student312,RGAllStudents
DK-FG-12,Student313,RGAllStudents
DK-FG-12,Student315,RGAllStudents
DK-FG-12,Student323,RGAllStudents
DK-FG-12,Student318,RGAllStudents
DK-FG-12,Student320,RGAllStudents
DK-FG-12,Student325,RGAllStudents
DK-FG-12,Student327,RGAllStudents
DK-FG-12,Student329,RGAllStudents
DK-FG-12,Student332,RGAllStudents
DK-FG-12,Student333,RGAllStudents
DK-FG-12,Student334,RGAllStudents
DK-FG-12,Student335,RGAllStudents
DK-FG-12,Student338,RGAllStudents
DK-FG-12,Student341,RGAllStudents
DK-FG-12,Student342,RGAllStudents
DK-FG-12,Student343,RGAllStudents
DK-FG-12,Student344,RGAllStudents
DK-FG-12,Student345,RGAllStudents
DK-FG-12,Student346,RGAllStudents
DK-FG-12,Student352,RGAllStudents
DK-FG-12,Student353,RGAllStudents
DK-FG-12,Student355,RGAllStudents
DK-FG-12,Student356,RGAllStudents
