instance_id,resource_id,name,resource_type_ref
DK-FG-12,Teacher6,Teacher6,Teacher
DK-FG-12,Student222,Student222,Student
DK-FG-12,Student223,Student223,Student
DK-FG-12,Student224,Student224,Student
DK-FG-12,Student225,Student225,Student
DK-FG-12,Student226,Student226,Student
DK-FG-12,Student227,Student227,Student
DK-FG-12,Student228,Student228,Student
DK-FG-12,Student229,Student229,Student
DK-FG-12,Student230,Student230,Student
DK-FG-12,Student231,Student231,Student
DK-FG-12,Student232,Student232,Student
DK-FG-12,Student233,Student233,Student
DK-FG-12,Student184,Student184,Student
DK-FG-12,Teacher64,Teacher64,Teacher
DK-FG-12,Student297,Student297,Student
DK-FG-12,Student326,Student326,Student
DK-FG-12,Student182,Student182,Student
DK-FG-12,Student247,Student247,Student
DK-FG-12,Student237,Student237,Student
DK-FG-12,Student240,Student240,Student
DK-FG-12,Teacher78,Teacher78,Teacher
DK-FG-12,Student293,Student293,Student
DK-FG-12,Student301,Student301,Student
DK-FG-12,Student311,Student311,Student
DK-FG-12,Student251,Student251,Student
DK-FG-12,Teacher76,Teacher76,Teacher
DK-FG-12,Student314,Student314,Student
DK-FG-12,Student294,Student294,Student
DK-FG-12,Student302,Student302,Student
DK-FG-12,Student307,Student307,Student
DK-FG-12,Student336,Student336,Student
DK-FG-12,Student322,Student322,Student
DK-FG-12,Student289,Student289,Student
DK-FG-12,Student337,Student337,Student
DK-FG-12,Teacher7,Teacher7,Teacher
DK-FG-12,Student185,Student185,Student
DK-FG-12,Student199,Student199,Student
DK-FG-12,Student200,Student200,Student
DK-FG-12,Student201,Student201,Student
DK-FG-12,Student202,Student202,Student
DK-FG-12,Student203,Student203,Student
DK-FG-12,Student204,Student204,Student
DK-FG-12,Student205,Student205,Student
DK-FG-12,Student189,Student189,Student
DK-FG-12,Student190,Student190,Student
DK-FG-12,Student138,Student138,Student
DK-FG-12,Student206,Student206,Student
DK-FG-12,Teacher37,Teacher37,Teacher
DK-FG-12,Student291,Student291,Student
DK-FG-12,Student290,Student290,Student
DK-FG-12,Student296,Student296,Student
DK-FG-12,Student295,Student295,Student
DK-FG-12,Teacher40,Teacher40,Teacher
DK-FG-12,Student270,Student270,Student
DK-FG-12,Student272,Student272,Student
DK-FG-12,Student304,Student304,Student
DK-FG-12,Student316,Student316,Student
DK-FG-12,Student249,Student249,Student
DK-FG-12,Student250,Student250,Student
DK-FG-12,Student252,Student252,Student
DK-FG-12,Student212,Student212,Student
DK-FG-12,Student253,Student253,Student
DK-FG-12,Teacher2,Teacher2,Teacher
DK-FG-12,Student308,Student308,Student
DK-FG-12,Student286,Student286,Student
DK-FG-12,Student287,Student287,Student
DK-FG-12,Student324,Student324,Student
DK-FG-12,Student350,Student350,Student
DK-FG-12,Student351,Student351,Student
DK-FG-12,Student246,Student246,Student
DK-FG-12,Student239,Student239,Student
DK-FG-12,Teacher65,Teacher65,Teacher
DK-FG-12,Student278,Student278,Student
DK-FG-12,Student279,Student279,Student
DK-FG-12,Student282,Student282,Student
DK-FG-12,Student283,Student283,Student
DK-FG-12,Student328,Student328,Student
DK-FG-12,Student331,Student331,Student
DK-FG-12,Student285,Student285,Student
DK-FG-12,Student330,Student330,Student
DK-FG-12,Student213,Student213,Student
DK-FG-12,Teacher38,Teacher38,Teacher
DK-FG-12,Student241,Student241,Student
DK-FG-12,Student321,Student321,Student
DK-FG-12,Student317,Student317,Student
DK-FG-12,Student339,Student339,Student
DK-FG-12,Student340,Student340,Student
DK-FG-12,Student256,Student256,Student
DK-FG-12,Teacher75,Teacher75,Teacher
DK-FG-12,Student267,Student267,Student
DK-FG-12,Student275,Student275,Student
DK-FG-12,Student319,Student319,Student
DK-FG-12,Student276,Student276,Student
DK-FG-12,Student254,Student254,Student
DK-FG-12,Teacher71,Teacher71,Teacher
DK-FG-12,Student292,Student292,Student
DK-FG-12,Student271,Student271,Student
DK-FG-12,Student140,Student140,Student
DK-FG-12,Teacher31,Teacher31,Teacher
DK-FG-12,Student218,Student218,Student
DK-FG-12,Student219,Student219,Student
DK-FG-12,Student220,Student220,Student
DK-FG-12,Student221,Student221,Student
DK-FG-12,Student186,Student186,Student
DK-FG-12,Student187,Student187,Student
DK-FG-12,Student183,Student183,Student
DK-FG-12,Student191,Student191,Student
DK-FG-12,Student192,Student192,Student
DK-FG-12,Student193,Student193,Student
DK-FG-12,Teacher52,Teacher52,Teacher
DK-FG-12,Student91,Student91,Student
DK-FG-12,Student92,Student92,Student
DK-FG-12,Student93,Student93,Student
DK-FG-12,Student94,Student94,Student
DK-FG-12,Student95,Student95,Student
DK-FG-12,Teacher68,Teacher68,Teacher
DK-FG-12,Teacher51,Teacher51,Teacher
DK-FG-12,Teacher63,Teacher63,Teacher
DK-FG-12,Teacher29,Teacher29,Teacher
DK-FG-12,Teacher14,Teacher14,Teacher
DK-FG-12,Teacher56,Teacher56,Teacher
DK-FG-12,Teacher50,Teacher50,Teacher
DK-FG-12,Teacher36,Teacher36,Teacher
DK-FG-12,Teacher16,Teacher16,Teacher
DK-FG-12,Student96,Student96,Student
DK-FG-12,Student97,Student97,Student
DK-FG-12,Student98,Student98,Student
DK-FG-12,Teacher54,Teacher54,Teacher
DK-FG-12,Student99,Student99,Student
DK-FG-12,Student100,Student100,Student
DK-FG-12,Teacher74,Teacher74,Teacher
DK-FG-12,Student133,Student133,Student
DK-FG-12,Student136,Student136,Student
DK-FG-12,Student135,Student135,Student
DK-FG-12,Student106,Student106,Student
DK-FG-12,Teacher60,Teacher60,Teacher
DK-FG-12,Student103,Student103,Student
DK-FG-12,Student104,Student104,Student
DK-FG-12,Student105,Student105,Student
DK-FG-12,Teacher46,Teacher46,Teacher
DK-FG-12,Student101,Student101,Student
DK-FG-12,Student102,Student102,Student
DK-FG-12,Teacher18,Teacher18,Teacher
DK-FG-12,Student132,Student132,Student
DK-FG-12,Student137,Student137,Student
DK-FG-12,Student134,Student134,Student
DK-FG-12,Student107,Student107,Student
DK-FG-12,Teacher85,Teacher85,Teacher
DK-FG-12,Teacher48,Teacher48,Teacher
DK-FG-12,Teacher89,Teacher89,Teacher
DK-FG-12,Teacher30,Teacher30,Teacher
DK-FG-12,Teacher57,Teacher57,Teacher
DK-FG-12,Teacher59,Teacher59,Teacher
DK-FG-12,Teacher43,Teacher43,Teacher
DK-FG-12,Teacher82,Teacher82,Teacher
DK-FG-12,Teacher53,Teacher53,Teacher
DK-FG-12,Teacher19,Teacher19,Teacher
DK-FG-12,Teacher25,Teacher25,Teacher
DK-FG-12,Student108,Student108,Student
DK-FG-12,Student109,Student109,Student
DK-FG-12,Student110,Student110,Student
DK-FG-12,Student111,Student111,Student
DK-FG-12,Student112,Student112,Student
DK-FG-12,Student113,Student113,Student
DK-FG-12,Student114,Student114,Student
DK-FG-12,Student115,Student115,Student
DK-FG-12,Teacher58,Teacher58,Teacher
DK-FG-12,Teacher3,Teacher3,Teacher
DK-FG-12,Teacher61,Teacher61,Teacher
DK-FG-12,Teacher26,Teacher26,Teacher
DK-FG-12,Teacher9,Teacher9,Teacher
DK-FG-12,Student116,Student116,Student
DK-FG-12,Student117,Student117,Student
DK-FG-12,Student118,Student118,Student
DK-FG-12,Student119,Student119,Student
DK-FG-12,Student120,Student120,Student
DK-FG-12,Student121,Student121,Student
DK-FG-12,Student122,Student122,Student
DK-FG-12,Teacher23,Teacher23,Teacher
DK-FG-12,Student123,Student123,Student
DK-FG-12,Student124,Student124,Student
DK-FG-12,Student125,Student125,Student
DK-FG-12,Student126,Student126,Student
DK-FG-12,Student127,Student127,Student
DK-FG-12,Student128,Student128,Student
DK-FG-12,Student129,Student129,Student
DK-FG-12,Student130,Student130,Student
DK-FG-12,Student131,Student131,Student
DK-FG-12,Teacher77,Teacher77,Teacher
DK-FG-12,Teacher27,Teacher27,Teacher
DK-FG-12,Teacher33,Teacher33,Teacher
DK-FG-12,Teacher87,Teacher87,Teacher
DK-FG-12,Teacher49,Teacher49,Teacher
DK-FG-12,Teacher47,Teacher47,Teacher
DK-FG-12,Teacher79,Teacher79,Teacher
DK-FG-12,Teacher24,Teacher24,Teacher
DK-FG-12,Teacher70,Teacher70,Teacher
DK-FG-12,Teacher35,Teacher35,Teacher
DK-FG-12,Teacher67,Teacher67,Teacher
DK-FG-12,Teacher45,Teacher45,Teacher
DK-FG-12,Teacher83,Teacher83,Teacher
DK-FG-12,Teacher1,Teacher1,Teacher
DK-FG-12,Teacher20,Teacher20,Teacher
DK-FG-12,Teacher44,Teacher44,Teacher
DK-FG-12,Teacher69,Teacher69,Teacher
DK-FG-12,Student142,Student142,Student
