instance_id,time_id,group_id,membership_type
DK-FG-12,T0,Week1,Week
DK-FG-12,T0,D1,Day
DK-FG-12,T0,TGNeighborDays1,TimeGroup
DK-FG-12,T1,Week1,Week
DK-FG-12,T1,D1,Day
DK-FG-12,T1,TGNeighborDays1,TimeGroup
DK-FG-12,T2,Week1,Week
DK-FG-12,T2,D1,Day
DK-FG-12,T2,TGNeighborDays1,TimeGroup
DK-FG-12,T3,Week1,Week
DK-FG-12,T3,D1,Day
DK-FG-12,T3,TGNeighborDays1,TimeGroup
DK-FG-12,T4,Week1,Week
DK-FG-12,T4,D1,Day
DK-FG-12,T4,TGNeighborDays1,TimeGroup
DK-FG-12,T5,Week1,Week
DK-FG-12,T5,D2,Day
DK-FG-12,T5,TGNeighborDays1,TimeGroup
DK-FG-12,T5,TGNeighborDays2,TimeGroup
DK-FG-12,T6,Week1,Week
DK-FG-12,T6,D2,Day
DK-FG-12,T6,TGNeighborDays1,TimeGroup
DK-FG-12,T6,TGNeighborDays2,TimeGroup
DK-FG-12,T7,Week1,Week
DK-FG-12,T7,D2,Day
DK-FG-12,T7,TGNeighborDays1,TimeGroup
DK-FG-12,T7,TGNeighborDays2,TimeGroup
DK-FG-12,T8,Week1,Week
DK-FG-12,T8,D2,Day
DK-FG-12,T8,TGNeighborDays1,TimeGroup
DK-FG-12,T8,TGNeighborDays2,TimeGroup
DK-FG-12,T9,Week1,Week
DK-FG-12,T9,D2,Day
DK-FG-12,T9,TGNeighborDays1,TimeGroup
DK-FG-12,T9,TGNeighborDays2,TimeGroup
DK-FG-12,T10,Week1,Week
DK-FG-12,T10,D3,Day
DK-FG-12,T10,TGNeighborDays2,TimeGroup
DK-FG-12,T10,TGNeighborDays3,TimeGroup
DK-FG-12,T11,Week1,Week
DK-FG-12,T11,D3,Day
DK-FG-12,T11,TGNeighborDays2,TimeGroup
DK-FG-12,T11,TGNeighborDays3,TimeGroup
DK-FG-12,T12,Week1,Week
DK-FG-12,T12,D3,Day
DK-FG-12,T12,TGNeighborDays2,TimeGroup
DK-FG-12,T12,TGNeighborDays3,TimeGroup
DK-FG-12,T13,Week1,Week
DK-FG-12,T13,D3,Day
DK-FG-12,T13,TGNeighborDays2,TimeGroup
DK-FG-12,T13,TGNeighborDays3,TimeGroup
DK-FG-12,T14,Week1,Week
DK-FG-12,T14,D3,Day
DK-FG-12,T14,TGNeighborDays2,TimeGroup
DK-FG-12,T14,TGNeighborDays3,TimeGroup
DK-FG-12,T15,Week1,Week
DK-FG-12,T15,D4,Day
DK-FG-12,T15,TGNeighborDays3,TimeGroup
DK-FG-12,T15,TGNeighborDays4,TimeGroup
DK-FG-12,T16,Week1,Week
DK-FG-12,T16,D4,Day
DK-FG-12,T16,TGNeighborDays3,TimeGroup
DK-FG-12,T16,TGNeighborDays4,TimeGroup
DK-FG-12,T17,Week1,Week
DK-FG-12,T17,D4,Day
DK-FG-12,T17,TGNeighborDays3,TimeGroup
DK-FG-12,T17,TGNeighborDays4,TimeGroup
DK-FG-12,T18,Week1,Week
DK-FG-12,T18,D4,Day
DK-FG-12,T18,TGNeighborDays3,TimeGroup
DK-FG-12,T18,TGNeighborDays4,TimeGroup
DK-FG-12,T19,Week1,Week
DK-FG-12,T19,D4,Day
DK-FG-12,T19,TGNeighborDays3,TimeGroup
DK-FG-12,T19,TGNeighborDays4,TimeGroup
DK-FG-12,T20,Week1,Week
DK-FG-12,T20,D5,Day
DK-FG-12,T20,TGNeighborDays4,TimeGroup
DK-FG-12,T21,Week1,Week
DK-FG-12,T21,D5,Day
DK-FG-12,T21,TGNeighborDays4,TimeGroup
DK-FG-12,T22,Week1,Week
DK-FG-12,T22,D5,Day
DK-FG-12,T22,TGNeighborDays4,TimeGroup
DK-FG-12,T23,Week1,Week
DK-FG-12,T23,D5,Day
DK-FG-12,T23,TGNeighborDays4,TimeGroup
DK-FG-12,T24,Week1,Week
DK-FG-12,T24,D5,Day
DK-FG-12,T24,TGNeighborDays4,TimeGroup
DK-FG-12,T25,Week2,Week
DK-FG-12,T25,D6,Day
DK-FG-12,T25,TGNeighborDays5,TimeGroup
DK-FG-12,T26,Week2,Week
DK-FG-12,T26,D6,Day
DK-FG-12,T26,TGNeighborDays5,TimeGroup
DK-FG-12,T27,Week2,Week
DK-FG-12,T27,D6,Day
DK-FG-12,T27,TGNeighborDays5,TimeGroup
DK-FG-12,T28,Week2,Week
DK-FG-12,T28,D6,Day
DK-FG-12,T28,TGNeighborDays5,TimeGroup
DK-FG-12,T29,Week2,Week
DK-FG-12,T29,D6,Day
DK-FG-12,T29,TGNeighborDays5,TimeGroup
DK-FG-12,T30,Week2,Week
DK-FG-12,T30,D7,Day
DK-FG-12,T30,TGNeighborDays5,TimeGroup
DK-FG-12,T30,TGNeighborDays6,TimeGroup
DK-FG-12,T31,Week2,Week
DK-FG-12,T31,D7,Day
DK-FG-12,T31,TGNeighborDays5,TimeGroup
DK-FG-12,T31,TGNeighborDays6,TimeGroup
DK-FG-12,T32,Week2,Week
DK-FG-12,T32,D7,Day
DK-FG-12,T32,TGNeighborDays5,TimeGroup
DK-FG-12,T32,TGNeighborDays6,TimeGroup
DK-FG-12,T33,Week2,Week
DK-FG-12,T33,D7,Day
DK-FG-12,T33,TGNeighborDays5,TimeGroup
DK-FG-12,T33,TGNeighborDays6,TimeGroup
DK-FG-12,T34,Week2,Week
DK-FG-12,T34,D7,Day
DK-FG-12,T34,TGNeighborDays5,TimeGroup
DK-FG-12,T34,TGNeighborDays6,TimeGroup
