instance_id,time_id,name,order_index,week_ref,day_ref
DK-FG-12,T0,T0,0,Week1,D1
DK-FG-12,T1,T1,1,Week1,D1
DK-FG-12,T2,T2,2,Week1,D1
DK-FG-12,T3,T3,3,Week1,D1
DK-FG-12,T4,T4,4,Week1,D1
DK-FG-12,T5,T5,5,Week1,D2
DK-FG-12,T6,T6,6,Week1,D2
DK-FG-12,T7,T7,7,Week1,D2
DK-FG-12,T8,T8,8,Week1,D2
DK-FG-12,T9,T9,9,Week1,D2
DK-FG-12,T10,T10,10,Week1,D3
DK-FG-12,T11,T11,11,Week1,D3
DK-FG-12,T12,T12,12,Week1,D3
DK-FG-12,T13,T13,13,Week1,D3
DK-FG-12,T14,T14,14,Week1,D3
DK-FG-12,T15,T15,15,Week1,D4
DK-FG-12,T16,T16,16,Week1,D4
DK-FG-12,T17,T17,17,Week1,D4
DK-FG-12,T18,T18,18,Week1,D4
DK-FG-12,T19,T19,19,Week1,D4
DK-FG-12,T20,T20,20,Week1,D5
DK-FG-12,T21,T21,21,Week1,D5
DK-FG-12,T22,T22,22,Week1,D5
DK-FG-12,T23,T23,23,Week1,D5
DK-FG-12,T24,T24,24,Week1,D5
DK-FG-12,T25,T25,25,Week2,D6
DK-FG-12,T26,T26,26,Week2,D6
DK-FG-12,T27,T27,27,Week2,D6
DK-FG-12,T28,T28,28,Week2,D6
DK-FG-12,T29,T29,29,Week2,D6
DK-FG-12,T30,T30,30,Week2,D7
DK-FG-12,T31,T31,31,Week2,D7
DK-FG-12,T32,T32,32,Week2,D7
DK-FG-12,T33,T33,33,Week2,D7
DK-FG-12,T34,T34,34,Week2,D7
DK-FG-12,T35,T35,35,Week2,D8
DK-FG-12,T36,T36,36,Week2,D8
DK-FG-12,T37,T37,37,Week2,D8
DK-FG-12,T38,T38,38,Week2,D8
DK-FG-12,T39,T39,39,Week2,D8
DK-FG-12,T40,T40,40,Week2,D9
DK-FG-12,T41,T41,41,Week2,D9
DK-FG-12,T42,T42,42,Week2,D9
DK-FG-12,T43,T43,43,Week2,D9
DK-FG-12,T44,T44,44,Week2,D9
DK-FG-12,T45,T45,45,Week2,D10
DK-FG-12,T46,T46,46,Week2,D10
DK-FG-12,T47,T47,47,Week2,D10
DK-FG-12,T48,T48,48,Week2,D10
DK-FG-12,T49,T49,49,Week2,D10
