instance_id,event_group_id,group_type,name
FinlandArtificialSchool_XHSTT2012,gr_C001,Course,C001
FinlandArtificialSchool_XHSTT2012,gr_C002,Course,C002
FinlandArtificialSchool_XHSTT2012,gr_C003,Course,C003
FinlandArtificialSchool_XHSTT2012,gr_C004,Course,C004
FinlandArtificialSchool_XHSTT2012,gr_C005,Course,C005
FinlandArtificialSchool_XHSTT2012,gr_C006,Course,C006
FinlandArtificialSchool_XHSTT2012,gr_C007,Course,C007
FinlandArtificialSchool_XHSTT2012,gr_C008,Course,C008
FinlandArtificialSchool_XHSTT2012,gr_C009,Course,C009
FinlandArtificialSchool_XHSTT2012,gr_C010,Course,C010
FinlandArtificialSchool_XHSTT2012,gr_C011,Course,C011
FinlandArtificialSchool_XHSTT2012,gr_C012,Course,C012
FinlandArtificialSchool_XHSTT2012,gr_C013,Course,C013
FinlandArtificialSchool_XHSTT2012,gr_C014,Course,C014
FinlandArtificialSchool_XHSTT2012,gr_C015,Course,C015
FinlandArtificialSchool_XHSTT2012,gr_C016,Course,C016
FinlandArtificialSchool_XHSTT2012,gr_C017,Course,C017
FinlandArtificialSchool_XHSTT2012,gr_C018,Course,C018
FinlandArtificialSchool_XHSTT2012,gr_C019,Course,C019
FinlandArtificialSchool_XHSTT2012,gr_C020,Course,C020
FinlandArtificialSchool_XHSTT2012,gr_C021,Course,C021
FinlandArtificialSchool_XHSTT2012,gr_C022,Course,C022
FinlandArtificialSchool_XHSTT2012,gr_C023,Course,C023
FinlandArtificialSchool_XHSTT2012,gr_C024,Course,C024
FinlandArtificialSchool_XHSTT2012,gr_C025,Course,C025
FinlandArtificialSchool_XHSTT2012,gr_C026,Course,C026
FinlandArtificialSchool_XHSTT2012,gr_C027,Course,C027
FinlandArtificialSchool_XHSTT2012,gr_C028,Course,C028
FinlandArtificialSchool_XHSTT2012,gr_C029,Course,C029
FinlandArtificialSchool_XHSTT2012,gr_C030,Course,C030
FinlandArtificialSchool_XHSTT2012,gr_C031,Course,C031
FinlandArtificialSchool_XHSTT2012,gr_C032,Course,C032
FinlandArtificialSchool_XHSTT2012,gr_C033,Course,C033
FinlandArtificialSchool_XHSTT2012,gr_C034,Course,C034
FinlandArtificialSchool_XHSTT2012,gr_C035,Course,C035
FinlandArtificialSchool_XHSTT2012,gr_C036,Course,C036
FinlandArtificialSchool_XHSTT2012,gr_C037,Course,C037
FinlandArtificialSchool_XHSTT2012,gr_C038,Course,C038
FinlandArtificialSchool_XHSTT2012,gr_C039,Course,C039
FinlandArtificialSchool_XHSTT2012,gr_C040,Course,C040
FinlandArtificialSchool_XHSTT2012,gr_C041,Course,C041
FinlandArtificialSchool_XHSTT2012,gr_C042,Course,C042
FinlandArtificialSchool_XHSTT2012,gr_C043,Course,C043
FinlandArtificialSchool_XHSTT2012,gr_C044,Course,C044
FinlandArtificialSchool_XHSTT2012,gr_C045,Course,C045
FinlandArtificialSchool_XHSTT2012,gr_C046,Course,C046
FinlandArtificialSchool_XHSTT2012,gr_C047,Course,C047
FinlandArtificialSchool_XHSTT2012,gr_C048,Course,C048
FinlandArtificialSchool_XHSTT2012,gr_C049,Course,C049
FinlandArtificialSchool_XHSTT2012,gr_C050,Course,C050
FinlandArtificialSchool_XHSTT2012,gr_C051,Course,C051
FinlandArtificialSchool_XHSTT2012,gr_C052,Course,C052
FinlandArtificialSchool_XHSTT2012,gr_C053,Course,C053
FinlandArtificialSchool_XHSTT2012,gr_C054,Course,C054
FinlandArtificialSchool_XHSTT2012,gr_C055,Course,C055
FinlandArtificialSchool_XHSTT2012,gr_C056,Course,C056
