instance_id,constraint_id,path,attr,value
FinlandCollege_XHSTT2012,AssignResources_1,Name,text,AssignResourcesGeneral
FinlandCollege_XHSTT2012,AssignResources_1,Required,text,TRUE
FinlandCollege_XHSTT2012,AssignResources_1,Weight,text,1
FinlandCollege_XHSTT2012,AssignResources_1,CostFunction,text,Sum
FinlandCollege_XHSTT2012,AssignResources_1,Role,text,RoomGeneral
FinlandCollege_XHSTT2012,AssignTimes_2,Name,text,AssignTimes
FinlandCollege_XHSTT2012,AssignTimes_2,Required,text,TRUE
FinlandCollege_XHSTT2012,AssignTimes_2,Weight,text,1
FinlandCollege_XHSTT2012,AssignTimes_2,CostFunction,text,Sum
FinlandCollege_XHSTT2012,NoSplitEventsConstraint,Name,text,Do not split events
FinlandCollege_XHSTT2012,NoSplitEventsConstraint,Required,text,TRUE
FinlandCollege_XHSTT2012,NoSplitEventsConstraint,Weight,text,1000
FinlandCollege_XHSTT2012,NoSplitEventsConstraint,CostFunction,text,Sum
FinlandCollege_XHSTT2012,NoSplitEventsConstraint,MinimumDuration,text,1
FinlandCollege_XHSTT2012,NoSplitEventsConstraint,MaximumDuration,text,999
FinlandCollege_XHSTT2012,NoSplitEventsConstraint,MinimumAmount,text,1
FinlandCollege_XHSTT2012,NoSplitEventsConstraint,MaximumAmount,text,1
FinlandCollege_XHSTT2012,PreferredTimes_4,Name,text,PreferredTimes
FinlandCollege_XHSTT2012,PreferredTimes_4,Required,text,TRUE
FinlandCollege_XHSTT2012,PreferredTimes_4,Weight,text,1
FinlandCollege_XHSTT2012,PreferredTimes_4,CostFunction,text,Sum
FinlandCollege_XHSTT2012,PreferredTimes_4,TimeGroups/TimeGroup,Reference,gr_AllTimes
FinlandCollege_XHSTT2012,PreferredTimes_5,Name,text,PreferredTimesDurationTwo
FinlandCollege_XHSTT2012,PreferredTimes_5,Required,text,TRUE
FinlandCollege_XHSTT2012,PreferredTimes_5,Weight,text,2
FinlandCollege_XHSTT2012,PreferredTimes_5,CostFunction,text,Sum
FinlandCollege_XHSTT2012,PreferredTimes_5,TimeGroups/TimeGroup,Reference,gr_TimesDurationTwo
FinlandCollege_XHSTT2012,PreferredTimes_6,Name,text,PreferredTimesDurationThree
FinlandCollege_XHSTT2012,PreferredTimes_6,Required,text,TRUE
FinlandCollege_XHSTT2012,PreferredTimes_6,Weight,text,3
FinlandCollege_XHSTT2012,PreferredTimes_6,CostFunction,text,Sum
FinlandCollege_XHSTT2012,PreferredTimes_6,TimeGroups/TimeGroup,Reference,gr_TimesDurationThree
FinlandCollege_XHSTT2012,EventSpreadingConstraint_7,Name,text,EventSpreadingConstraint
FinlandCollege_XHSTT2012,EventSpreadingConstraint_7,Required,text,TRUE
FinlandCollege_XHSTT2012,EventSpreadingConstraint_7,Weight,text,1
FinlandCollege_XHSTT2012,EventSpreadingConstraint_7,CostFunction,text,Sum
FinlandCollege_XHSTT2012,EventSpreadingConstraint_7,TimeGroups/TimeGroup,Reference,gr_Mo
FinlandCollege_XHSTT2012,EventSpreadingConstraint_7,TimeGroups/TimeGroup/Minimum,text,0
FinlandCollege_XHSTT2012,EventSpreadingConstraint_7,TimeGroups/TimeGroup/Maximum,text,1
FinlandCollege_XHSTT2012,EventSpreadingConstraint_7,TimeGroups/TimeGroup,Reference,gr_Tu
FinlandCollege_XHSTT2012,EventSpreadingConstraint_7,TimeGroups/TimeGroup/Minimum,text,0
FinlandCollege_XHSTT2012,EventSpreadingConstraint_7,TimeGroups/TimeGroup/Maximum,text,1
FinlandCollege_XHSTT2012,EventSpreadingConstraint_7,TimeGroups/TimeGroup,Reference,gr_We
FinlandCollege_XHSTT2012,EventSpreadingConstraint_7,TimeGroups/TimeGroup/Minimum,text,0
FinlandCollege_XHSTT2012,EventSpreadingConstraint_7,TimeGroups/TimeGroup/Maximum,text,1
FinlandCollege_XHSTT2012,EventSpreadingConstraint_7,TimeGroups/TimeGroup,Reference,gr_Th
FinlandCollege_XHSTT2012,EventSpreadingConstraint_7,TimeGroups/TimeGroup/Minimum,text,0
FinlandCollege_XHSTT2012,EventSpreadingConstraint_7,TimeGroups/TimeGroup/Maximum,text,1
FinlandCollege_XHSTT2012,EventSpreadingConstraint_7,TimeGroups/TimeGroup,Reference,gr_Fr
FinlandCollege_XHSTT2012,EventSpreadingConstraint_7,TimeGroups/TimeGroup/Minimum,text,0
FinlandCollege_XHSTT2012,EventSpreadingConstraint_7,TimeGroups/TimeGroup/Maximum,text,1
FinlandCollege_XHSTT2012,NoResourceClashes_8,Name,text,NoResourceClashes
FinlandCollege_XHSTT2012,NoResourceClashes_8,Required,text,TRUE
FinlandCollege_XHSTT2012,NoResourceClashes_8,Weight,text,1
FinlandCollege_XHSTT2012,NoResourceClashes_8,CostFunction,text,Sum
FinlandCollege_XHSTT2012,Unavailabilities_AAL,Name,text,Unavailabilities_AAL
FinlandCollege_XHSTT2012,Unavailabilities_AAL,Required,text,TRUE
FinlandCollege_XHSTT2012,Unavailabilities_AAL,Weight,text,1
FinlandCollege_XHSTT2012,Unavailabilities_AAL,CostFunction,text,Sum
FinlandCollege_XHSTT2012,Unavailabilities_AAL,Times/Time,Reference,Tu_1
FinlandCollege_XHSTT2012,Unavailabilities_AAL,Times/Time,Reference,Tu_2
FinlandCollege_XHSTT2012,Unavailabilities_AAL,Times/Time,Reference,Tu_3
FinlandCollege_XHSTT2012,Unavailabilities_AAL,Times/Time,Reference,Tu_4
FinlandCollege_XHSTT2012,Unavailabilities_AAL,Times/Time,Reference,Tu_5
FinlandCollege_XHSTT2012,Unavailabilities_AAL,Times/Time,Reference,Tu_6
FinlandCollege_XHSTT2012,Unavailabilities_AAL,Times/Time,Reference,Tu_7
FinlandCollege_XHSTT2012,Unavailabilities_AAL,Times/Time,Reference,Tu_8
FinlandCollege_XHSTT2012,Unavailabilities_ARO,Name,text,Unavailabilities_ARO
FinlandCollege_XHSTT2012,Unavailabilities_ARO,Required,text,TRUE
FinlandCollege_XHSTT2012,Unavailabilities_ARO,Weight,text,1
FinlandCollege_XHSTT2012,Unavailabilities_ARO,CostFunction,text,Sum
FinlandCollege_XHSTT2012,Unavailabilities_ARO,Times/Time,Reference,Fr_1
FinlandCollege_XHSTT2012,Unavailabilities_ARO,Times/Time,Reference,Fr_2
FinlandCollege_XHSTT2012,Unavailabilities_ARO,Times/Time,Reference,Fr_3
FinlandCollege_XHSTT2012,Unavailabilities_ARO,Times/Time,Reference,Fr_4
FinlandCollege_XHSTT2012,Unavailabilities_ARO,Times/Time,Reference,Fr_5
FinlandCollege_XHSTT2012,Unavailabilities_ARO,Times/Time,Reference,Fr_6
FinlandCollege_XHSTT2012,Unavailabilities_ARO,Times/Time,Reference,Fr_7
FinlandCollege_XHSTT2012,Unavailabilities_ARO,Times/Time,Reference,Fr_8
FinlandCollege_XHSTT2012,Unavailabilities_DMY,Name,text,Unavailabilities_DMY
FinlandCollege_XHSTT2012,Unavailabilities_DMY,Required,text,TRUE
FinlandCollege_XHSTT2012,Unavailabilities_DMY,Weight,text,1
FinlandCollege_XHSTT2012,Unavailabilities_DMY,CostFunction,text,Sum
FinlandCollege_XHSTT2012,Unavailabilities_DMY,Times/Time,Reference,We_1
FinlandCollege_XHSTT2012,Unavailabilities_DMY,Times/Time,Reference,We_2
FinlandCollege_XHSTT2012,Unavailabilities_DMY,Times/Time,Reference,We_3
FinlandCollege_XHSTT2012,Unavailabilities_DMY,Times/Time,Reference,We_4
FinlandCollege_XHSTT2012,Unavailabilities_DMY,Times/Time,Reference,We_5
FinlandCollege_XHSTT2012,Unavailabilities_DMY,Times/Time,Reference,We_6
FinlandCollege_XHSTT2012,Unavailabilities_DMY,Times/Time,Reference,We_7
FinlandCollege_XHSTT2012,Unavailabilities_DMY,Times/Time,Reference,We_8
FinlandCollege_XHSTT2012,Unavailabilities_ERI,Name,text,Unavailabilities_ERI
FinlandCollege_XHSTT2012,Unavailabilities_ERI,Required,text,TRUE
FinlandCollege_XHSTT2012,Unavailabilities_ERI,Weight,text,1
FinlandCollege_XHSTT2012,Unavailabilities_ERI,CostFunction,text,Sum
FinlandCollege_XHSTT2012,Unavailabilities_ERI,Times/Time,Reference,Th_1
FinlandCollege_XHSTT2012,Unavailabilities_ERI,Times/Time,Reference,Th_2
FinlandCollege_XHSTT2012,Unavailabilities_ERI,Times/Time,Reference,Th_3
FinlandCollege_XHSTT2012,Unavailabilities_ERI,Times/Time,Reference,Th_4
FinlandCollege_XHSTT2012,Unavailabilities_ERI,Times/Time,Reference,Th_5
FinlandCollege_XHSTT2012,Unavailabilities_ERI,Times/Time,Reference,Th_6
FinlandCollege_XHSTT2012,Unavailabilities_ERI,Times/Time,Reference,Th_7
