instance_id,event_group_id,group_type,name
FinlandCollege_XHSTT2012,gr_C001,Course,C001
FinlandCollege_XHSTT2012,gr_C002,Course,C002
FinlandCollege_XHSTT2012,gr_C003,Course,C003
FinlandCollege_XHSTT2012,gr_C004,Course,C004
FinlandCollege_XHSTT2012,gr_C005,Course,C005
FinlandCollege_XHSTT2012,gr_C006,Course,C006
FinlandCollege_XHSTT2012,gr_C007,Course,C007
FinlandCollege_XHSTT2012,gr_C008,Course,C008
FinlandCollege_XHSTT2012,gr_C009,Course,C009
FinlandCollege_XHSTT2012,gr_C010,Course,C010
FinlandCollege_XHSTT2012,gr_C011,Course,C011
FinlandCollege_XHSTT2012,gr_C012,Course,C012
FinlandCollege_XHSTT2012,gr_C013,Course,C013
FinlandCollege_XHSTT2012,gr_C014,Course,C014
FinlandCollege_XHSTT2012,gr_C015,Course,C015
FinlandCollege_XHSTT2012,gr_C016,Course,C016
FinlandCollege_XHSTT2012,gr_C017,Course,C017
FinlandCollege_XHSTT2012,gr_C018,Course,C018
FinlandCollege_XHSTT2012,gr_C019,Course,C019
FinlandCollege_XHSTT2012,gr_C020,Course,C020
FinlandCollege_XHSTT2012,gr_C021,Course,C021
FinlandCollege_XHSTT2012,gr_C022,Course,C022
FinlandCollege_XHSTT2012,gr_C023,Course,C023
FinlandCollege_XHSTT2012,gr_C024,Course,C024
FinlandCollege_XHSTT2012,gr_C025,Course,C025
FinlandCollege_XHSTT2012,gr_C026,Course,C026
FinlandCollege_XHSTT2012,gr_C027,Course,C027
FinlandCollege_XHSTT2012,gr_C028,Course,C028
FinlandCollege_XHSTT2012,gr_C029,Course,C029
FinlandCollege_XHSTT2012,gr_C030,Course,C030
FinlandCollege_XHSTT2012,gr_C031,Course,C031
FinlandCollege_XHSTT2012,gr_C032,Course,C032
FinlandCollege_XHSTT2012,gr_C033,Course,C033
FinlandCollege_XHSTT2012,gr_C034,Course,C034
FinlandCollege_XHSTT2012,gr_C035,Course,C035
FinlandCollege_XHSTT2012,gr_C036,Course,C036
FinlandCollege_XHSTT2012,gr_C037,Course,C037
FinlandCollege_XHSTT2012,gr_C038,Course,C038
FinlandCollege_XHSTT2012,gr_C039,Course,C039
FinlandCollege_XHSTT2012,gr_C040,Course,C040
FinlandCollege_XHSTT2012,gr_C041,Course,C041
FinlandCollege_XHSTT2012,gr_C042,Course,C042
FinlandCollege_XHSTT2012,gr_C043,Course,C043
