instance_id,event_id,er_index,role,resource_type_ref,reference_resource_id,workload
FinlandCollege_XHSTT2012,Event_C001_1,0,Class,,S1A,
FinlandCollege_XHSTT2012,Event_C001_1,1,Teacher,,NIR,
FinlandCollege_XHSTT2012,Event_C001_1,2,Room,,R407,
FinlandCollege_XHSTT2012,Event_C002_1,0,Class,,S1A,
FinlandCollege_XHSTT2012,Event_C002_1,1,Teacher,,HIE,
FinlandCollege_XHSTT2012,Event_C002_1,2,Room,,R315,
FinlandCollege_XHSTT2012,Event_C003_1,0,Class,,S1A,
FinlandCollege_XHSTT2012,Event_C003_1,1,Teacher,,KIE,
FinlandCollege_XHSTT2012,Event_C003_1,2,Room,,R413,
FinlandCollege_XHSTT2012,Event_C004_1,0,Class,,S1A,
FinlandCollege_XHSTT2012,Event_C004_1,1,Teacher,,LIP,
FinlandCollege_XHSTT2012,Event_C004_1,2,Room,,R303,
FinlandCollege_XHSTT2012,Event_C005_1,0,Class,,S1A,
FinlandCollege_XHSTT2012,Event_C005_1,1,Teacher,,HIE,
FinlandCollege_XHSTT2012,Event_C005_1,2,Room,,R209,
FinlandCollege_XHSTT2012,Event_C006_1,0,Class,,S1A,
FinlandCollege_XHSTT2012,Event_C006_1,1,Teacher,,HEI,
FinlandCollege_XHSTT2012,Event_C006_1,2,Room,,R209,
FinlandCollege_XHSTT2012,Event_C007_1,0,Class,,S1A,
FinlandCollege_XHSTT2012,Event_C007_1,1,Teacher,,LIP,
FinlandCollege_XHSTT2012,Event_C007_1,2,Room,,R209,
FinlandCollege_XHSTT2012,Event_C008_1,0,Class,,S1A,
FinlandCollege_XHSTT2012,Event_C008_1,1,Teacher,,MER,
FinlandCollege_XHSTT2012,Event_C008_1,2,Room,,R403,
FinlandCollege_XHSTT2012,Event_C009_1,0,Class,,S1A,
FinlandCollege_XHSTT2012,Event_C009_1,1,Teacher,,KOI,
FinlandCollege_XHSTT2012,Event_C009_1,2,Room,,R407,
FinlandCollege_XHSTT2012,Event_C010_1,0,Class,,S1A,
FinlandCollege_XHSTT2012,Event_C010_1,1,Teacher,,SAL,
FinlandCollege_XHSTT2012,Event_C010_1,2,Room,,R024,
FinlandCollege_XHSTT2012,Event_C011_1,0,Class,,S1A,
FinlandCollege_XHSTT2012,Event_C011_1,1,Teacher,,LSE,
FinlandCollege_XHSTT2012,Event_C011_1,2,Room,,R213,
FinlandCollege_XHSTT2012,Event_C012_1,0,Class,,S1A,
FinlandCollege_XHSTT2012,Event_C012_1,1,Teacher,,KEK,
FinlandCollege_XHSTT2012,Event_C012_1,2,Room,,R207,
FinlandCollege_XHSTT2012,Event_C013_1,0,Class,,S1A,
FinlandCollege_XHSTT2012,Event_C013_1,1,Teacher,,HII,
FinlandCollege_XHSTT2012,Event_C013_1,2,Room,,RHII,
FinlandCollege_XHSTT2012,Event_C014_1,0,Class,,S1A,
FinlandCollege_XHSTT2012,Event_C014_1,1,Teacher,,YMY,
FinlandCollege_XHSTT2012,Event_C014_1,2,Room,,R217,
FinlandCollege_XHSTT2012,Event_C015_1,0,Class,,S1A,
FinlandCollege_XHSTT2012,Event_C015_1,1,Teacher,,REI,
FinlandCollege_XHSTT2012,Event_C015_1,2,Room,,R413,
FinlandCollege_XHSTT2012,Event_C016_1,0,Class,,S1A,
FinlandCollege_XHSTT2012,Event_C016_1,1,Teacher,,PIH,
FinlandCollege_XHSTT2012,Event_C016_1,2,Room,,R409,
FinlandCollege_XHSTT2012,Event_C017_1,0,Class,,S1A,
FinlandCollege_XHSTT2012,Event_C017_1,1,Teacher,,PEN,
FinlandCollege_XHSTT2012,Event_C017_1,2,Room,,R307,
FinlandCollege_XHSTT2012,Event_C018_1,0,Class,,S1B,
FinlandCollege_XHSTT2012,Event_C018_1,1,Teacher,,PIH,
FinlandCollege_XHSTT2012,Event_C018_1,2,Room,,R201,
FinlandCollege_XHSTT2012,Event_C019_1,0,Class,,S1B,
FinlandCollege_XHSTT2012,Event_C019_1,1,Teacher,,HIE,
FinlandCollege_XHSTT2012,Event_C019_1,2,Room,,R315,
FinlandCollege_XHSTT2012,Event_C020_1,0,Class,,S1B,
FinlandCollege_XHSTT2012,Event_C020_1,1,Teacher,,KIE,
FinlandCollege_XHSTT2012,Event_C020_1,2,Room,,R413,
FinlandCollege_XHSTT2012,Event_C021_1,0,Class,,S1B,
FinlandCollege_XHSTT2012,Event_C021_1,1,Teacher,,LIP,
FinlandCollege_XHSTT2012,Event_C021_1,2,Room,,R201,
FinlandCollege_XHSTT2012,Event_C022_1,0,Class,,S1B,
FinlandCollege_XHSTT2012,Event_C022_1,1,Teacher,,HIE,
FinlandCollege_XHSTT2012,Event_C022_1,2,Room,,R302,
FinlandCollege_XHSTT2012,Event_C023_1,0,Class,,S1B,
FinlandCollege_XHSTT2012,Event_C023_1,1,Teacher,,HEI,
FinlandCollege_XHSTT2012,Event_C023_1,2,Room,,R413,
FinlandCollege_XHSTT2012,Event_C024_1,0,Class,,S1B,
FinlandCollege_XHSTT2012,Event_C024_1,1,Teacher,,LIP,
FinlandCollege_XHSTT2012,Event_C024_1,2,Room,,R309,
FinlandCollege_XHSTT2012,Event_C025_1,0,Class,,S1B,
FinlandCollege_XHSTT2012,Event_C025_1,1,Teacher,,MER,
FinlandCollege_XHSTT2012,Event_C025_1,2,Room,,R403,
FinlandCollege_XHSTT2012,Event_C026_1,0,Class,,S1B,
FinlandCollege_XHSTT2012,Event_C026_1,1,Teacher,,KOI,
FinlandCollege_XHSTT2012,Event_C026_1,2,Room,,R209,
FinlandCollege_XHSTT2012,Event_C027_1,0,Class,,S1B,
FinlandCollege_XHSTT2012,Event_C027_1,1,Teacher,,SAL,
FinlandCollege_XHSTT2012,Event_C027_1,2,Room,,R024,
FinlandCollege_XHSTT2012,Event_C028_1,0,Class,,S1B,
FinlandCollege_XHSTT2012,Event_C028_1,1,Teacher,,LSE,
FinlandCollege_XHSTT2012,Event_C028_1,2,Room,,R213,
FinlandCollege_XHSTT2012,Event_C029_1,0,Class,,S1B,
FinlandCollege_XHSTT2012,Event_C029_1,1,Teacher,,KEK,
FinlandCollege_XHSTT2012,Event_C029_1,2,Room,,R207,
FinlandCollege_XHSTT2012,Event_C030_1,0,Class,,S1B,
FinlandCollege_XHSTT2012,Event_C030_1,1,Teacher,,HII,
FinlandCollege_XHSTT2012,Event_C030_1,2,Room,,RHII,
FinlandCollege_XHSTT2012,Event_C031_1,0,Class,,S1B,
FinlandCollege_XHSTT2012,Event_C031_1,1,Teacher,,YMY,
FinlandCollege_XHSTT2012,Event_C031_1,2,Room,,R111,
FinlandCollege_XHSTT2012,Event_C032_1,0,Class,,S1B,
FinlandCollege_XHSTT2012,Event_C032_1,1,Teacher,,DMY,
FinlandCollege_XHSTT2012,Event_C032_1,2,Room,,R405,
FinlandCollege_XHSTT2012,Event_C033_1,0,Class,,S1B,
FinlandCollege_XHSTT2012,Event_C033_1,1,Teacher,,REI,
FinlandCollege_XHSTT2012,Event_C033_1,2,Room,,R213,
FinlandCollege_XHSTT2012,Event_C034_1,0,Class,,S1B,
FinlandCollege_XHSTT2012,Event_C034_1,1,Teacher,,PIH,
FinlandCollege_XHSTT2012,Event_C034_1,2,Room,,R413,
