instance_id,resource_id,resource_group_id
FinlandCollege_XHSTT2012,AAL,gr_Teachers
FinlandCollege_XHSTT2012,ARO,gr_Teachers
FinlandCollege_XHSTT2012,BLO,gr_Teachers
FinlandCollege_XHSTT2012,DMY,gr_Teachers
FinlandCollege_XHSTT2012,ELO,gr_Teachers
FinlandCollege_XHSTT2012,ERI,gr_Teachers
FinlandCollege_XHSTT2012,HEI,gr_Teachers
FinlandCollege_XHSTT2012,HEL,gr_Teachers
FinlandCollege_XHSTT2012,HIE,gr_Teachers
FinlandCollege_XHSTT2012,HII,gr_Teachers
FinlandCollege_XHSTT2012,JAR,gr_Teachers
FinlandCollege_XHSTT2012,KEK,gr_Teachers
FinlandCollege_XHSTT2012,KIE,gr_Teachers
FinlandCollege_XHSTT2012,KOI,gr_Teachers
FinlandCollege_XHSTT2012,KPY,gr_Teachers
FinlandCollege_XHSTT2012,KUL,gr_Teachers
FinlandCollege_XHSTT2012,LAI,gr_Teachers
FinlandCollege_XHSTT2012,LAU,gr_Teachers
FinlandCollege_XHSTT2012,LIP,gr_Teachers
FinlandCollege_XHSTT2012,LSE,gr_Teachers
FinlandCollege_XHSTT2012,MAK,gr_Teachers
FinlandCollege_XHSTT2012,MAT,gr_Teachers
FinlandCollege_XHSTT2012,MER,gr_Teachers
FinlandCollege_XHSTT2012,M-K,gr_Teachers
FinlandCollege_XHSTT2012,MVU,gr_Teachers
FinlandCollege_XHSTT2012,NEV,gr_Teachers
FinlandCollege_XHSTT2012,NIR,gr_Teachers
FinlandCollege_XHSTT2012,NOK,gr_Teachers
FinlandCollege_XHSTT2012,NUR,gr_Teachers
FinlandCollege_XHSTT2012,PEN,gr_Teachers
FinlandCollege_XHSTT2012,PIH,gr_Teachers
FinlandCollege_XHSTT2012,PUH,gr_Teachers
FinlandCollege_XHSTT2012,RAT,gr_Teachers
FinlandCollege_XHSTT2012,REI,gr_Teachers
FinlandCollege_XHSTT2012,RPY,gr_Teachers
FinlandCollege_XHSTT2012,SAA,gr_Teachers
FinlandCollege_XHSTT2012,SAL,gr_Teachers
