instance_id,resource_id,name,resource_type_ref
FinlandCollege_XHSTT2012,AAL,AAL,Teacher
FinlandCollege_XHSTT2012,ARO,ARO,Teacher
FinlandCollege_XHSTT2012,BLO,BLO,Teacher
FinlandCollege_XHSTT2012,DMY,DMY,Teacher
FinlandCollege_XHSTT2012,ELO,ELO,Teacher
FinlandCollege_XHSTT2012,ERI,ERI,Teacher
FinlandCollege_XHSTT2012,HEI,HEI,Teacher
FinlandCollege_XHSTT2012,HEL,HEL,Teacher
FinlandCollege_XHSTT2012,HIE,HIE,Teacher
FinlandCollege_XHSTT2012,HII,HII,Teacher
FinlandCollege_XHSTT2012,JAR,JAR,Teacher
FinlandCollege_XHSTT2012,KEK,KEK,Teacher
FinlandCollege_XHSTT2012,KIE,KIE,Teacher
FinlandCollege_XHSTT2012,KOI,KOI,Teacher
FinlandCollege_XHSTT2012,KPY,KPY,Teacher
FinlandCollege_XHSTT2012,KUL,KUL,Teacher
FinlandCollege_XHSTT2012,LAI,LAI,Teacher
FinlandCollege_XHSTT2012,LAU,LAU,Teacher
FinlandCollege_XHSTT2012,LIP,LIP,Teacher
FinlandCollege_XHSTT2012,LSE,LSE,Teacher
FinlandCollege_XHSTT2012,MAK,MAK,Teacher
FinlandCollege_XHSTT2012,MAT,MAT,Teacher
FinlandCollege_XHSTT2012,MER,MER,Teacher
FinlandCollege_XHSTT2012,M-K,M-K,Teacher
FinlandCollege_XHSTT2012,MVU,MVU,Teacher
FinlandCollege_XHSTT2012,NEV,NEV,Teacher
FinlandCollege_XHSTT2012,NIR,NIR,Teacher
FinlandCollege_XHSTT2012,NOK,NOK,Teacher
FinlandCollege_XHSTT2012,NUR,NUR,Teacher
FinlandCollege_XHSTT2012,PEN,PEN,Teacher
FinlandCollege_XHSTT2012,PIH,PIH,Teacher
FinlandCollege_XHSTT2012,PUH,PUH,Teacher
FinlandCollege_XHSTT2012,RAT,RAT,Teacher
FinlandCollege_XHSTT2012,REI,REI,Teacher
FinlandCollege_XHSTT2012,RPY,RPY,Teacher
