instance_id,constraint_id,path,attr,value
FinlandElementarySchool_XHSTT-v2014,AssignTimes_2,Name,text,AssignTimes
FinlandElementarySchool_XHSTT-v2014,AssignTimes_2,Required,text,TRUE
FinlandElementarySchool_XHSTT-v2014,AssignTimes_2,Weight,text,1
FinlandElementarySchool_XHSTT-v2014,AssignTimes_2,CostFunction,text,Linear
FinlandElementarySchool_XHSTT-v2014,NoSplitEventsConstraint,Name,text,Do not split events
FinlandElementarySchool_XHSTT-v2014,NoSplitEventsConstraint,Required,text,TRUE
FinlandElementarySchool_XHSTT-v2014,NoSplitEventsConstraint,Weight,text,1000
FinlandElementarySchool_XHSTT-v2014,NoSplitEventsConstraint,CostFunction,text,Linear
FinlandElementarySchool_XHSTT-v2014,NoSplitEventsConstraint,MinimumDuration,text,1
FinlandElementarySchool_XHSTT-v2014,NoSplitEventsConstraint,MaximumDuration,text,999
FinlandElementarySchool_XHSTT-v2014,NoSplitEventsConstraint,MinimumAmount,text,1
FinlandElementarySchool_XHSTT-v2014,NoSplitEventsConstraint,MaximumAmount,text,1
FinlandElementarySchool_XHSTT-v2014,PreferredTimes_5,Name,text,PreferredTimesDurationTwo
FinlandElementarySchool_XHSTT-v2014,PreferredTimes_5,Required,text,TRUE
FinlandElementarySchool_XHSTT-v2014,PreferredTimes_5,Weight,text,2
FinlandElementarySchool_XHSTT-v2014,PreferredTimes_5,CostFunction,text,Linear
FinlandElementarySchool_XHSTT-v2014,PreferredTimes_5,TimeGroups/TimeGroup,Reference,gr_TimesDurationTwo
FinlandElementarySchool_XHSTT-v2014,EventSpreadingConstraint_6,Name,text,EventSpreadingConstraint
FinlandElementarySchool_XHSTT-v2014,EventSpreadingConstraint_6,Required,text,FALSE
FinlandElementarySchool_XHSTT-v2014,EventSpreadingConstraint_6,Weight,text,1
FinlandElementarySchool_XHSTT-v2014,EventSpreadingConstraint_6,CostFunction,text,Linear
FinlandElementarySchool_XHSTT-v2014,EventSpreadingConstraint_6,TimeGroups/TimeGroup,Reference,gr_Mo
FinlandElementarySchool_XHSTT-v2014,EventSpreadingConstraint_6,TimeGroups/TimeGroup/Minimum,text,0
FinlandElementarySchool_XHSTT-v2014,EventSpreadingConstraint_6,TimeGroups/TimeGroup/Maximum,text,1
FinlandElementarySchool_XHSTT-v2014,EventSpreadingConstraint_6,TimeGroups/TimeGroup,Reference,gr_Tu
FinlandElementarySchool_XHSTT-v2014,EventSpreadingConstraint_6,TimeGroups/TimeGroup/Minimum,text,0
FinlandElementarySchool_XHSTT-v2014,EventSpreadingConstraint_6,TimeGroups/TimeGroup/Maximum,text,1
FinlandElementarySchool_XHSTT-v2014,EventSpreadingConstraint_6,TimeGroups/TimeGroup,Reference,gr_We
FinlandElementarySchool_XHSTT-v2014,EventSpreadingConstraint_6,TimeGroups/TimeGroup/Minimum,text,0
FinlandElementarySchool_XHSTT-v2014,EventSpreadingConstraint_6,TimeGroups/TimeGroup/Maximum,text,1
FinlandElementarySchool_XHSTT-v2014,EventSpreadingConstraint_6,TimeGroups/TimeGroup,Reference,gr_Th
FinlandElementarySchool_XHSTT-v2014,EventSpreadingConstraint_6,TimeGroups/TimeGroup/Minimum,text,0
FinlandElementarySchool_XHSTT-v2014,EventSpreadingConstraint_6,TimeGroups/TimeGroup/Maximum,text,1
