instance_id,event_id,event_group_id
FinlandElementarySchool_XHSTT-v2014,Event_C001_1,gr_EventsGeneral
FinlandElementarySchool_XHSTT-v2014,Event_C001_1,gr_EventsDuration2
FinlandElementarySchool_XHSTT-v2014,Event_C001_2,gr_EventsGeneral
FinlandElementarySchool_XHSTT-v2014,Event_C001_2,gr_EventsDuration2
FinlandElementarySchool_XHSTT-v2014,Event_C001_3,gr_EventsGeneral
FinlandElementarySchool_XHSTT-v2014,Event_C001_3,gr_EventsDuration2
FinlandElementarySchool_XHSTT-v2014,Event_C002_1,gr_EventsGeneral
FinlandElementarySchool_XHSTT-v2014,Event_C002_2,gr_EventsGeneral
FinlandElementarySchool_XHSTT-v2014,Event_C003_1,gr_EventsGeneral
FinlandElementarySchool_XHSTT-v2014,Event_C003_1,gr_EventsDuration2
FinlandElementarySchool_XHSTT-v2014,Event_C004_1,gr_EventsGeneral
FinlandElementarySchool_XHSTT-v2014,Event_C004_1,gr_EventsDuration2
FinlandElementarySchool_XHSTT-v2014,Event_C005_1,gr_EventsGeneral
FinlandElementarySchool_XHSTT-v2014,Event_C005_1,gr_EventsDuration2
FinlandElementarySchool_XHSTT-v2014,Event_C006_1,gr_EventsGeneral
FinlandElementarySchool_XHSTT-v2014,Event_C006_1,gr_EventsDuration2
FinlandElementarySchool_XHSTT-v2014,Event_C007_1,gr_EventsGeneral
FinlandElementarySchool_XHSTT-v2014,Event_C007_1,gr_EventsDuration2
FinlandElementarySchool_XHSTT-v2014,Event_C007_2,gr_EventsGeneral
FinlandElementarySchool_XHSTT-v2014,Event_C007_2,gr_EventsDuration2
FinlandElementarySchool_XHSTT-v2014,Event_C007_3,gr_EventsGeneral
FinlandElementarySchool_XHSTT-v2014,Event_C007_3,gr_EventsDuration2
FinlandElementarySchool_XHSTT-v2014,Event_C008_1,gr_EventsGeneral
FinlandElementarySchool_XHSTT-v2014,Event_C008_2,gr_EventsGeneral
FinlandElementarySchool_XHSTT-v2014,Event_C008_3,gr_EventsGeneral
FinlandElementarySchool_XHSTT-v2014,Event_C008_3,gr_EventsDuration2
FinlandElementarySchool_XHSTT-v2014,Event_C009_1,gr_EventsGeneral
FinlandElementarySchool_XHSTT-v2014,Event_C009_2,gr_EventsGeneral
FinlandElementarySchool_XHSTT-v2014,Event_C009_3,gr_EventsGeneral
FinlandElementarySchool_XHSTT-v2014,Event_C009_3,gr_EventsDuration2
FinlandElementarySchool_XHSTT-v2014,Event_C010_1,gr_EventsGeneral
FinlandElementarySchool_XHSTT-v2014,Event_C010_1,gr_EventsDuration2
FinlandElementarySchool_XHSTT-v2014,Event_C010_2,gr_EventsGeneral
FinlandElementarySchool_XHSTT-v2014,Event_C010_2,gr_EventsDuration2
