instance_id,event_group_id,group_type,name
FinlandElementarySchool_XHSTT-v2014,gr_C001,Course,C001
FinlandElementarySchool_XHSTT-v2014,gr_C002,Course,C002
FinlandElementarySchool_XHSTT-v2014,gr_C003,Course,C003
FinlandElementarySchool_XHSTT-v2014,gr_C004,Course,C004
FinlandElementarySchool_XHSTT-v2014,gr_C005,Course,C005
FinlandElementarySchool_XHSTT-v2014,gr_C006,Course,C006
FinlandElementarySchool_XHSTT-v2014,gr_C007,Course,C007
FinlandElementarySchool_XHSTT-v2014,gr_C008,Course,C008
FinlandElementarySchool_XHSTT-v2014,gr_C009,Course,C009
FinlandElementarySchool_XHSTT-v2014,gr_C010,Course,C010
FinlandElementarySchool_XHSTT-v2014,gr_C011,Course,C011
FinlandElementarySchool_XHSTT-v2014,gr_C012,Course,C012
FinlandElementarySchool_XHSTT-v2014,gr_C013,Course,C013
FinlandElementarySchool_XHSTT-v2014,gr_C014,Course,C014
FinlandElementarySchool_XHSTT-v2014,gr_C015,Course,C015
FinlandElementarySchool_XHSTT-v2014,gr_C016,Course,C016
FinlandElementarySchool_XHSTT-v2014,gr_C017,Course,C017
FinlandElementarySchool_XHSTT-v2014,gr_C018,Course,C018
FinlandElementarySchool_XHSTT-v2014,gr_C019,Course,C019
FinlandElementarySchool_XHSTT-v2014,gr_C020,Course,C020
FinlandElementarySchool_XHSTT-v2014,gr_C021,Course,C021
FinlandElementarySchool_XHSTT-v2014,gr_C022,Course,C022
FinlandElementarySchool_XHSTT-v2014,gr_C023,Course,C023
FinlandElementarySchool_XHSTT-v2014,gr_C024,Course,C024
FinlandElementarySchool_XHSTT-v2014,gr_C025,Course,C025
FinlandElementarySchool_XHSTT-v2014,gr_C026,Course,C026
FinlandElementarySchool_XHSTT-v2014,gr_C027,Course,C027
FinlandElementarySchool_XHSTT-v2014,gr_C028,Course,C028
FinlandElementarySchool_XHSTT-v2014,gr_C029,Course,C029
FinlandElementarySchool_XHSTT-v2014,gr_C030,Course,C030
FinlandElementarySchool_XHSTT-v2014,gr_C031,Course,C031
FinlandElementarySchool_XHSTT-v2014,gr_C032,Course,C032
FinlandElementarySchool_XHSTT-v2014,gr_C033,Course,C033
FinlandElementarySchool_XHSTT-v2014,gr_C034,Course,C034
FinlandElementarySchool_XHSTT-v2014,gr_C035,Course,C035
