instance_id,event_id,er_index,role,resource_type_ref,reference_resource_id,workload
FinlandElementarySchool_XHSTT-v2014,Event_C001_1,0,Class,,S1A,
FinlandElementarySchool_XHSTT-v2014,Event_C001_1,1,Teacher,,IM,
FinlandElementarySchool_XHSTT-v2014,Event_C001_1,2,Room,,R15,
FinlandElementarySchool_XHSTT-v2014,Event_C001_2,0,Class,,S1A,
FinlandElementarySchool_XHSTT-v2014,Event_C001_2,1,Teacher,,IM,
FinlandElementarySchool_XHSTT-v2014,Event_C001_2,2,Room,,R15,
FinlandElementarySchool_XHSTT-v2014,Event_C001_3,0,Class,,S1A,
FinlandElementarySchool_XHSTT-v2014,Event_C001_3,1,Teacher,,IM,
FinlandElementarySchool_XHSTT-v2014,Event_C001_3,2,Room,,R15,
FinlandElementarySchool_XHSTT-v2014,Event_C002_1,0,Class,,S1A,
FinlandElementarySchool_XHSTT-v2014,Event_C002_1,1,Teacher,,JV,
FinlandElementarySchool_XHSTT-v2014,Event_C002_1,2,Room,,RLS,
FinlandElementarySchool_XHSTT-v2014,Event_C002_2,0,Class,,S1A,
FinlandElementarySchool_XHSTT-v2014,Event_C002_2,1,Teacher,,JV,
FinlandElementarySchool_XHSTT-v2014,Event_C002_2,2,Room,,RLS,
FinlandElementarySchool_XHSTT-v2014,Event_C003_1,0,Class,,S1AA,
FinlandElementarySchool_XHSTT-v2014,Event_C003_1,1,Teacher,,IM,
FinlandElementarySchool_XHSTT-v2014,Event_C003_1,2,Room,,R15,
FinlandElementarySchool_XHSTT-v2014,Event_C004_1,0,Class,,S1AA,
FinlandElementarySchool_XHSTT-v2014,Event_C004_1,1,Teacher,,LL,
FinlandElementarySchool_XHSTT-v2014,Event_C004_1,2,Room,,R3,
FinlandElementarySchool_XHSTT-v2014,Event_C005_1,0,Class,,S1AB,
FinlandElementarySchool_XHSTT-v2014,Event_C005_1,1,Teacher,,IM,
FinlandElementarySchool_XHSTT-v2014,Event_C005_1,2,Room,,R15,
FinlandElementarySchool_XHSTT-v2014,Event_C006_1,0,Class,,S1AB,
