instance_id,resource_id,name,resource_type_ref
FinlandElementarySchool_XHSTT-v2014,AJ,AJ,Teacher
FinlandElementarySchool_XHSTT-v2014,AK,AK,Teacher
FinlandElementarySchool_XHSTT-v2014,EHP,EHP,Teacher
FinlandElementarySchool_XHSTT-v2014,EM,EM,Teacher
FinlandElementarySchool_XHSTT-v2014,ENU,ENU,Teacher
FinlandElementarySchool_XHSTT-v2014,HL,HL,Teacher
FinlandElementarySchool_XHSTT-v2014,HLK,HLK,Teacher
FinlandElementarySchool_XHSTT-v2014,IM,IM,Teacher
FinlandElementarySchool_XHSTT-v2014,JUL,JUL,Teacher
FinlandElementarySchool_XHSTT-v2014,JV,JV,Teacher
FinlandElementarySchool_XHSTT-v2014,KES,KES,Teacher
FinlandElementarySchool_XHSTT-v2014,KH,KH,Teacher
FinlandElementarySchool_XHSTT-v2014,KM,KM,Teacher
FinlandElementarySchool_XHSTT-v2014,LL,LL,Teacher
FinlandElementarySchool_XHSTT-v2014,LMK,LMK,Teacher
FinlandElementarySchool_XHSTT-v2014,MM,MM,Teacher
FinlandElementarySchool_XHSTT-v2014,MS,MS,Teacher
FinlandElementarySchool_XHSTT-v2014,OH,OH,Teacher
FinlandElementarySchool_XHSTT-v2014,TA,TA,Teacher
FinlandElementarySchool_XHSTT-v2014,TJ,TJ,Teacher
FinlandElementarySchool_XHSTT-v2014,TK,TK,Teacher
FinlandElementarySchool_XHSTT-v2014,TM,TM,Teacher
FinlandElementarySchool_XHSTT-v2014,S1A,S1A,Class
FinlandElementarySchool_XHSTT-v2014,S1AA,S1AA,Class
FinlandElementarySchool_XHSTT-v2014,S1AB,S1AB,Class
FinlandElementarySchool_XHSTT-v2014,S1B,S1B,Class
FinlandElementarySchool_XHSTT-v2014,S1BA,S1BA,Class
FinlandElementarySchool_XHSTT-v2014,S1BB,S1BB,Class
FinlandElementarySchool_XHSTT-v2014,S1C,S1C,Class
FinlandElementarySchool_XHSTT-v2014,S1CA,S1CA,Class
FinlandElementarySchool_XHSTT-v2014,S1CB,S1CB,Class
FinlandElementarySchool_XHSTT-v2014,S2A,S2A,Class
FinlandElementarySchool_XHSTT-v2014,S2AA,S2AA,Class
FinlandElementarySchool_XHSTT-v2014,S2AB,S2AB,Class
