instance_id,time_id,group_id,membership_type
FinlandElementarySchool_XHSTT-v2014,Mo_1,gr_Mo,Day
FinlandElementarySchool_XHSTT-v2014,Mo_1,gr_TimesDurationTwo,TimeGroup
FinlandElementarySchool_XHSTT-v2014,Mo_2,gr_Mo,Day
FinlandElementarySchool_XHSTT-v2014,Mo_2,gr_TimesDurationTwo,TimeGroup
FinlandElementarySchool_XHSTT-v2014,Mo_3,gr_Mo,Day
FinlandElementarySchool_XHSTT-v2014,Mo_3,gr_TimesDurationTwo,TimeGroup
FinlandElementarySchool_XHSTT-v2014,Mo_4,gr_Mo,Day
FinlandElementarySchool_XHSTT-v2014,Mo_4,gr_TimesDurationTwo,TimeGroup
FinlandElementarySchool_XHSTT-v2014,Mo_5,gr_Mo,Day
FinlandElementarySchool_XHSTT-v2014,Mo_5,gr_TimesDurationTwo,TimeGroup
FinlandElementarySchool_XHSTT-v2014,Mo_6,gr_Mo,Day
FinlandElementarySchool_XHSTT-v2014,Mo_6,gr_TimesDurationTwo,TimeGroup
FinlandElementarySchool_XHSTT-v2014,Mo_7,gr_Mo,Day
FinlandElementarySchool_XHSTT-v2014,Tu_1,gr_Tu,Day
FinlandElementarySchool_XHSTT-v2014,Tu_1,gr_TimesDurationTwo,TimeGroup
FinlandElementarySchool_XHSTT-v2014,Tu_2,gr_Tu,Day
FinlandElementarySchool_XHSTT-v2014,Tu_2,gr_TimesDurationTwo,TimeGroup
FinlandElementarySchool_XHSTT-v2014,Tu_3,gr_Tu,Day
FinlandElementarySchool_XHSTT-v2014,Tu_3,gr_TimesDurationTwo,TimeGroup
FinlandElementarySchool_XHSTT-v2014,Tu_4,gr_Tu,Day
FinlandElementarySchool_XHSTT-v2014,Tu_4,gr_TimesDurationTwo,TimeGroup
FinlandElementarySchool_XHSTT-v2014,Tu_5,gr_Tu,Day
FinlandElementarySchool_XHSTT-v2014,Tu_5,gr_TimesDurationTwo,TimeGroup
FinlandElementarySchool_XHSTT-v2014,Tu_6,gr_Tu,Day
FinlandElementarySchool_XHSTT-v2014,Tu_6,gr_TimesDurationTwo,TimeGroup
FinlandElementarySchool_XHSTT-v2014,Tu_7,gr_Tu,Day
FinlandElementarySchool_XHSTT-v2014,We_1,gr_We,Day
FinlandElementarySchool_XHSTT-v2014,We_1,gr_TimesDurationTwo,TimeGroup
FinlandElementarySchool_XHSTT-v2014,We_2,gr_We,Day
FinlandElementarySchool_XHSTT-v2014,We_2,gr_TimesDurationTwo,TimeGroup
FinlandElementarySchool_XHSTT-v2014,We_3,gr_We,Day
FinlandElementarySchool_XHSTT-v2014,We_3,gr_TimesDurationTwo,TimeGroup
FinlandElementarySchool_XHSTT-v2014,We_4,gr_We,Day
FinlandElementarySchool_XHSTT-v2014,We_4,gr_TimesDurationTwo,TimeGroup
FinlandElementarySchool_XHSTT-v2014,We_5,gr_We,Day
FinlandElementarySchool_XHSTT-v2014,We_5,gr_TimesDurationTwo,TimeGroup
FinlandElementarySchool_XHSTT-v2014,We_6,gr_We,Day
FinlandElementarySchool_XHSTT-v2014,We_6,gr_TimesDurationTwo,TimeGroup
FinlandElementarySchool_XHSTT-v2014,We_7,gr_We,Day
FinlandElementarySchool_XHSTT-v2014,Th_1,gr_Th,Day
FinlandElementarySchool_XHSTT-v2014,Th_1,gr_TimesDurationTwo,TimeGroup
FinlandElementarySchool_XHSTT-v2014,Th_2,gr_Th,Day
FinlandElementarySchool_XHSTT-v2014,Th_2,gr_TimesDurationTwo,TimeGroup
FinlandElementarySchool_XHSTT-v2014,Th_3,gr_Th,Day
FinlandElementarySchool_XHSTT-v2014,Th_3,gr_TimesDurationTwo,TimeGroup
FinlandElementarySchool_XHSTT-v2014,Th_4,gr_Th,Day
FinlandElementarySchool_XHSTT-v2014,Th_4,gr_TimesDurationTwo,TimeGroup
FinlandElementarySchool_XHSTT-v2014,Th_5,gr_Th,Day
FinlandElementarySchool_XHSTT-v2014,Th_5,gr_TimesDurationTwo,TimeGroup
FinlandElementarySchool_XHSTT-v2014,Th_6,gr_Th,Day
FinlandElementarySchool_XHSTT-v2014,Th_6,gr_TimesDurationTwo,TimeGroup
FinlandElementarySchool_XHSTT-v2014,Th_7,gr_Th,Day
FinlandElementarySchool_XHSTT-v2014,Fr_1,gr_Fr,Day
FinlandElementarySchool_XHSTT-v2014,Fr_1,gr_TimesDurationTwo,TimeGroup
FinlandElementarySchool_XHSTT-v2014,Fr_2,gr_Fr,Day
FinlandElementarySchool_XHSTT-v2014,Fr_2,gr_TimesDurationTwo,TimeGroup
FinlandElementarySchool_XHSTT-v2014,Fr_3,gr_Fr,Day
FinlandElementarySchool_XHSTT-v2014,Fr_3,gr_TimesDurationTwo,TimeGroup
FinlandElementarySchool_XHSTT-v2014,Fr_4,gr_Fr,Day
FinlandElementarySchool_XHSTT-v2014,Fr_4,gr_TimesDurationTwo,TimeGroup
FinlandElementarySchool_XHSTT-v2014,Fr_5,gr_Fr,Day
FinlandElementarySchool_XHSTT-v2014,Fr_5,gr_TimesDurationTwo,TimeGroup
FinlandElementarySchool_XHSTT-v2014,Fr_6,gr_Fr,Day
FinlandElementarySchool_XHSTT-v2014,Fr_6,gr_TimesDurationTwo,TimeGroup
FinlandElementarySchool_XHSTT-v2014,Fr_7,gr_Fr,Day
