instance_id,constraint_id,path,attr,value
FinlandHighSchool_XHSTT2012,AssignResources_1,Name,text,AssignResourcesGeneral
FinlandHighSchool_XHSTT2012,AssignResources_1,Required,text,TRUE
FinlandHighSchool_XHSTT2012,AssignResources_1,Weight,text,1
FinlandHighSchool_XHSTT2012,AssignResources_1,CostFunction,text,Sum
FinlandHighSchool_XHSTT2012,AssignResources_1,Role,text,RoomGeneral
FinlandHighSchool_XHSTT2012,AssignTimes_2,Name,text,AssignTimes
FinlandHighSchool_XHSTT2012,AssignTimes_2,Required,text,TRUE
FinlandHighSchool_XHSTT2012,AssignTimes_2,Weight,text,1
FinlandHighSchool_XHSTT2012,AssignTimes_2,CostFunction,text,Sum
FinlandHighSchool_XHSTT2012,NoSplitEventsConstraint,Name,text,Do not split events
FinlandHighSchool_XHSTT2012,NoSplitEventsConstraint,Required,text,TRUE
FinlandHighSchool_XHSTT2012,NoSplitEventsConstraint,Weight,text,1000
FinlandHighSchool_XHSTT2012,NoSplitEventsConstraint,CostFunction,text,Sum
FinlandHighSchool_XHSTT2012,NoSplitEventsConstraint,MinimumDuration,text,1
FinlandHighSchool_XHSTT2012,NoSplitEventsConstraint,MaximumDuration,text,999
FinlandHighSchool_XHSTT2012,NoSplitEventsConstraint,MinimumAmount,text,1
FinlandHighSchool_XHSTT2012,NoSplitEventsConstraint,MaximumAmount,text,1
FinlandHighSchool_XHSTT2012,EventSpreadingConstraint_7,Name,text,EventSpreadingConstraint
FinlandHighSchool_XHSTT2012,EventSpreadingConstraint_7,Required,text,TRUE
FinlandHighSchool_XHSTT2012,EventSpreadingConstraint_7,Weight,text,1
FinlandHighSchool_XHSTT2012,EventSpreadingConstraint_7,CostFunction,text,Sum
FinlandHighSchool_XHSTT2012,EventSpreadingConstraint_7,TimeGroups/TimeGroup,Reference,gr_Mo
FinlandHighSchool_XHSTT2012,EventSpreadingConstraint_7,TimeGroups/TimeGroup/Minimum,text,0
FinlandHighSchool_XHSTT2012,EventSpreadingConstraint_7,TimeGroups/TimeGroup/Maximum,text,1
FinlandHighSchool_XHSTT2012,EventSpreadingConstraint_7,TimeGroups/TimeGroup,Reference,gr_Tu
FinlandHighSchool_XHSTT2012,EventSpreadingConstraint_7,TimeGroups/TimeGroup/Minimum,text,0
FinlandHighSchool_XHSTT2012,EventSpreadingConstraint_7,TimeGroups/TimeGroup/Maximum,text,1
FinlandHighSchool_XHSTT2012,EventSpreadingConstraint_7,TimeGroups/TimeGroup,Reference,gr_We
FinlandHighSchool_XHSTT2012,EventSpreadingConstraint_7,TimeGroups/TimeGroup/Minimum,text,0
FinlandHighSchool_XHSTT2012,EventSpreadingConstraint_7,TimeGroups/TimeGroup/Maximum,text,1
FinlandHighSchool_XHSTT2012,EventSpreadingConstraint_7,TimeGroups/TimeGroup,Reference,gr_Th
FinlandHighSchool_XHSTT2012,EventSpreadingConstraint_7,TimeGroups/TimeGroup/Minimum,text,0
FinlandHighSchool_XHSTT2012,EventSpreadingConstraint_7,TimeGroups/TimeGroup/Maximum,text,1
FinlandHighSchool_XHSTT2012,EventSpreadingConstraint_7,TimeGroups/TimeGroup,Reference,gr_Fr
FinlandHighSchool_XHSTT2012,EventSpreadingConstraint_7,TimeGroups/TimeGroup/Minimum,text,0
FinlandHighSchool_XHSTT2012,EventSpreadingConstraint_7,TimeGroups/TimeGroup/Maximum,text,1
FinlandHighSchool_XHSTT2012,NoResourceClashes_8,Name,text,NoResourceClashes
FinlandHighSchool_XHSTT2012,NoResourceClashes_8,Required,text,TRUE
FinlandHighSchool_XHSTT2012,NoResourceClashes_8,Weight,text,1
FinlandHighSchool_XHSTT2012,NoResourceClashes_8,CostFunction,text,Sum
FinlandHighSchool_XHSTT2012,JumpPeriods_Classes,Name,text,JumpPeriods_Classes
FinlandHighSchool_XHSTT2012,JumpPeriods_Classes,Required,text,FALSE
FinlandHighSchool_XHSTT2012,JumpPeriods_Classes,Weight,text,1
FinlandHighSchool_XHSTT2012,JumpPeriods_Classes,CostFunction,text,SumSquares
FinlandHighSchool_XHSTT2012,JumpPeriods_Classes,TimeGroups/TimeGroup,Reference,gr_Mo
FinlandHighSchool_XHSTT2012,JumpPeriods_Classes,TimeGroups/TimeGroup,Reference,gr_Tu
FinlandHighSchool_XHSTT2012,JumpPeriods_Classes,TimeGroups/TimeGroup,Reference,gr_We
FinlandHighSchool_XHSTT2012,JumpPeriods_Classes,TimeGroups/TimeGroup,Reference,gr_Th
FinlandHighSchool_XHSTT2012,JumpPeriods_Classes,TimeGroups/TimeGroup,Reference,gr_Fr
FinlandHighSchool_XHSTT2012,JumpPeriods_Classes,Minimum,text,0
FinlandHighSchool_XHSTT2012,JumpPeriods_Classes,Maximum,text,0
FinlandHighSchool_XHSTT2012,JumpPeriods_Teachers,Name,text,JumpPeriods_Teachers
