instance_id,event_group_id,group_type,name
FinlandHighSchool_XHSTT2012,gr_C001,Course,C001
FinlandHighSchool_XHSTT2012,gr_C002,Course,C002
FinlandHighSchool_XHSTT2012,gr_C003,Course,C003
FinlandHighSchool_XHSTT2012,gr_C004,Course,C004
FinlandHighSchool_XHSTT2012,gr_C005,Course,C005
FinlandHighSchool_XHSTT2012,gr_C006,Course,C006
FinlandHighSchool_XHSTT2012,gr_C007,Course,C007
FinlandHighSchool_XHSTT2012,gr_C008,Course,C008
FinlandHighSchool_XHSTT2012,gr_C009,Course,C009
FinlandHighSchool_XHSTT2012,gr_C010,Course,C010
FinlandHighSchool_XHSTT2012,gr_C011,Course,C011
FinlandHighSchool_XHSTT2012,gr_C012,Course,C012
FinlandHighSchool_XHSTT2012,gr_C013,Course,C013
FinlandHighSchool_XHSTT2012,gr_C014,Course,C014
FinlandHighSchool_XHSTT2012,gr_C015,Course,C015
FinlandHighSchool_XHSTT2012,gr_C016,Course,C016
FinlandHighSchool_XHSTT2012,gr_C017,Course,C017
FinlandHighSchool_XHSTT2012,gr_C018,Course,C018
FinlandHighSchool_XHSTT2012,gr_C019,Course,C019
FinlandHighSchool_XHSTT2012,gr_C020,Course,C020
FinlandHighSchool_XHSTT2012,gr_C021,Course,C021
FinlandHighSchool_XHSTT2012,gr_C022,Course,C022
FinlandHighSchool_XHSTT2012,gr_C023,Course,C023
FinlandHighSchool_XHSTT2012,gr_C024,Course,C024
FinlandHighSchool_XHSTT2012,gr_C025,Course,C025
FinlandHighSchool_XHSTT2012,gr_C026,Course,C026
FinlandHighSchool_XHSTT2012,gr_C027,Course,C027
FinlandHighSchool_XHSTT2012,gr_C028,Course,C028
FinlandHighSchool_XHSTT2012,gr_C029,Course,C029
FinlandHighSchool_XHSTT2012,gr_C030,Course,C030
FinlandHighSchool_XHSTT2012,gr_C031,Course,C031
FinlandHighSchool_XHSTT2012,gr_C032,Course,C032
FinlandHighSchool_XHSTT2012,gr_C033,Course,C033
FinlandHighSchool_XHSTT2012,gr_C034,Course,C034
FinlandHighSchool_XHSTT2012,gr_C035,Course,C035
FinlandHighSchool_XHSTT2012,gr_C036,Course,C036
FinlandHighSchool_XHSTT2012,gr_C037,Course,C037
FinlandHighSchool_XHSTT2012,gr_C038,Course,C038
FinlandHighSchool_XHSTT2012,gr_C039,Course,C039
FinlandHighSchool_XHSTT2012,gr_C040,Course,C040
FinlandHighSchool_XHSTT2012,gr_C041,Course,C041
FinlandHighSchool_XHSTT2012,gr_C042,Course,C042
FinlandHighSchool_XHSTT2012,gr_C043,Course,C043
FinlandHighSchool_XHSTT2012,gr_C044,Course,C044
FinlandHighSchool_XHSTT2012,gr_C045,Course,C045
FinlandHighSchool_XHSTT2012,gr_C046,Course,C046
FinlandHighSchool_XHSTT2012,gr_C047,Course,C047
FinlandHighSchool_XHSTT2012,gr_C048,Course,C048
FinlandHighSchool_XHSTT2012,gr_C049,Course,C049
FinlandHighSchool_XHSTT2012,gr_C050,Course,C050
FinlandHighSchool_XHSTT2012,gr_C051,Course,C051
FinlandHighSchool_XHSTT2012,gr_C052,Course,C052
FinlandHighSchool_XHSTT2012,gr_C053,Course,C053
FinlandHighSchool_XHSTT2012,gr_C054,Course,C054
FinlandHighSchool_XHSTT2012,gr_C055,Course,C055
FinlandHighSchool_XHSTT2012,gr_C056,Course,C056
FinlandHighSchool_XHSTT2012,gr_C057,Course,C057
FinlandHighSchool_XHSTT2012,gr_C058,Course,C058
FinlandHighSchool_XHSTT2012,gr_C059,Course,C059
FinlandHighSchool_XHSTT2012,gr_C060,Course,C060
FinlandHighSchool_XHSTT2012,gr_C061,Course,C061
FinlandHighSchool_XHSTT2012,gr_C062,Course,C062
FinlandHighSchool_XHSTT2012,gr_C063,Course,C063
FinlandHighSchool_XHSTT2012,gr_EventsDuration1,EventGroup,EventsOfDurationOne
FinlandHighSchool_XHSTT2012,gr_EventsDuration2,EventGroup,EventsOfDurationTwo
FinlandHighSchool_XHSTT2012,gr_EventsDuration3,EventGroup,EventsOfDurationThree
FinlandHighSchool_XHSTT2012,gr_EventsGeneral,EventGroup,General
