instance_id,event_id,er_index,role,resource_type_ref,reference_resource_id,workload
FinlandHighSchool_XHSTT2012,Event_C001_1,0,Class,,SF,
FinlandHighSchool_XHSTT2012,Event_C001_1,1,Teacher,,ARO,
FinlandHighSchool_XHSTT2012,Event_C001_1,2,Room,,R210,
FinlandHighSchool_XHSTT2012,Event_C001_2,0,Class,,SF,
FinlandHighSchool_XHSTT2012,Event_C001_2,1,Teacher,,ARO,
FinlandHighSchool_XHSTT2012,Event_C001_2,2,Room,,R210,
FinlandHighSchool_XHSTT2012,Event_C001_3,0,Class,,SF,
FinlandHighSchool_XHSTT2012,Event_C001_3,1,Teacher,,ARO,
FinlandHighSchool_XHSTT2012,Event_C001_3,2,Room,,R210,
FinlandHighSchool_XHSTT2012,Event_C002_1,0,Class,,SB,
FinlandHighSchool_XHSTT2012,Event_C002_1,1,Teacher,,BLO,
FinlandHighSchool_XHSTT2012,Event_C002_1,2,Room,,R232,
FinlandHighSchool_XHSTT2012,Event_C002_2,0,Class,,SB,
FinlandHighSchool_XHSTT2012,Event_C002_2,1,Teacher,,BLO,
FinlandHighSchool_XHSTT2012,Event_C002_2,2,Room,,R232,
FinlandHighSchool_XHSTT2012,Event_C003_1,0,Class,,SA,
FinlandHighSchool_XHSTT2012,Event_C003_1,1,Teacher,,BLO,
FinlandHighSchool_XHSTT2012,Event_C003_1,2,Room,,R213,
FinlandHighSchool_XHSTT2012,Event_C003_2,0,Class,,SA,
FinlandHighSchool_XHSTT2012,Event_C003_2,1,Teacher,,BLO,
FinlandHighSchool_XHSTT2012,Event_C003_2,2,Room,,R213,
FinlandHighSchool_XHSTT2012,Event_C003_3,0,Class,,SA,
FinlandHighSchool_XHSTT2012,Event_C003_3,1,Teacher,,BLO,
FinlandHighSchool_XHSTT2012,Event_C003_3,2,Room,,R213,
FinlandHighSchool_XHSTT2012,Event_C004_1,0,Class,,SI,
FinlandHighSchool_XHSTT2012,Event_C004_1,1,Teacher,,BLO,
FinlandHighSchool_XHSTT2012,Event_C004_1,2,Room,,R232,
FinlandHighSchool_XHSTT2012,Event_C004_2,0,Class,,SI,
FinlandHighSchool_XHSTT2012,Event_C004_2,1,Teacher,,BLO,
FinlandHighSchool_XHSTT2012,Event_C004_2,2,Room,,R232,
FinlandHighSchool_XHSTT2012,Event_C004_3,0,Class,,SI,
FinlandHighSchool_XHSTT2012,Event_C004_3,1,Teacher,,BLO,
FinlandHighSchool_XHSTT2012,Event_C004_3,2,Room,,R232,
FinlandHighSchool_XHSTT2012,Event_C005_1,0,Class,,SC,
FinlandHighSchool_XHSTT2012,Event_C005_1,1,Teacher,,BLO,
FinlandHighSchool_XHSTT2012,Event_C005_1,2,Room,,R232,
FinlandHighSchool_XHSTT2012,Event_C005_2,0,Class,,SC,
FinlandHighSchool_XHSTT2012,Event_C005_2,1,Teacher,,BLO,
FinlandHighSchool_XHSTT2012,Event_C005_2,2,Room,,R232,
FinlandHighSchool_XHSTT2012,Event_C006_1,0,Class,,SX,
FinlandHighSchool_XHSTT2012,Event_C006_1,1,Teacher,,HAH,
FinlandHighSchool_XHSTT2012,Event_C006_1,2,Room,,R213,
FinlandHighSchool_XHSTT2012,Event_C006_2,0,Class,,SX,
FinlandHighSchool_XHSTT2012,Event_C006_2,1,Teacher,,HAH,
FinlandHighSchool_XHSTT2012,Event_C006_2,2,Room,,R213,
FinlandHighSchool_XHSTT2012,Event_C006_3,0,Class,,SX,
FinlandHighSchool_XHSTT2012,Event_C006_3,1,Teacher,,HAH,
FinlandHighSchool_XHSTT2012,Event_C006_3,2,Room,,R213,
FinlandHighSchool_XHSTT2012,Event_C007_1,0,Class,,SF,
FinlandHighSchool_XHSTT2012,Event_C007_1,1,Teacher,,HAH,
FinlandHighSchool_XHSTT2012,Event_C007_1,2,Room,,R232,
FinlandHighSchool_XHSTT2012,Event_C007_2,0,Class,,SF,
FinlandHighSchool_XHSTT2012,Event_C007_2,1,Teacher,,HAH,
FinlandHighSchool_XHSTT2012,Event_C007_2,2,Room,,R232,
FinlandHighSchool_XHSTT2012,Event_C007_3,0,Class,,SF,
FinlandHighSchool_XHSTT2012,Event_C007_3,1,Teacher,,HAH,
FinlandHighSchool_XHSTT2012,Event_C007_3,2,Room,,R232,
FinlandHighSchool_XHSTT2012,Event_C008_1,0,Class,,SE,
FinlandHighSchool_XHSTT2012,Event_C008_1,1,Teacher,,HAH,
FinlandHighSchool_XHSTT2012,Event_C008_1,2,Room,,R211,
FinlandHighSchool_XHSTT2012,Event_C008_2,0,Class,,SE,
FinlandHighSchool_XHSTT2012,Event_C008_2,1,Teacher,,HAH,
FinlandHighSchool_XHSTT2012,Event_C008_2,2,Room,,R211,
FinlandHighSchool_XHSTT2012,Event_C008_3,0,Class,,SE,
FinlandHighSchool_XHSTT2012,Event_C008_3,1,Teacher,,HAH,
FinlandHighSchool_XHSTT2012,Event_C008_3,2,Room,,R211,
FinlandHighSchool_XHSTT2012,Event_C009_1,0,Class,,SC,
FinlandHighSchool_XHSTT2012,Event_C009_1,1,Teacher,,HAH,
FinlandHighSchool_XHSTT2012,Event_C009_1,2,Room,,R213,
FinlandHighSchool_XHSTT2012,Event_C009_2,0,Class,,SC,
FinlandHighSchool_XHSTT2012,Event_C009_2,1,Teacher,,HAH,
FinlandHighSchool_XHSTT2012,Event_C009_2,2,Room,,R213,
