instance_id,constraint_id,path,ref_type,reference
FinlandSecondarySchool_XHSTT2011,AssignTimes_2,AppliesTo/EventGroups/EventGroup,EventGroup,gr_EventsDuration1
FinlandSecondarySchool_XHSTT2011,AssignTimes_2,AppliesTo/EventGroups/EventGroup,EventGroup,gr_EventsDuration2
FinlandSecondarySchool_XHSTT2011,NoSplitEventsConstraint,AppliesTo/EventGroups/EventGroup,EventGroup,gr_EventsGeneral
FinlandSecondarySchool_XHSTT2011,PreferredTimes_4,AppliesTo/EventGroups/EventGroup,EventGroup,gr_EventsDuration1
FinlandSecondarySchool_XHSTT2011,PreferredTimes_5,AppliesTo/EventGroups/EventGroup,EventGroup,gr_EventsDuration2
FinlandSecondarySchool_XHSTT2011,EventSpreadingConstraint_6,AppliesTo/EventGroups/EventGroup,EventGroup,gr_C001
FinlandSecondarySchool_XHSTT2011,EventSpreadingConstraint_6,AppliesTo/EventGroups/EventGroup,EventGroup,gr_C002
FinlandSecondarySchool_XHSTT2011,EventSpreadingConstraint_6,AppliesTo/EventGroups/EventGroup,EventGroup,gr_C003
FinlandSecondarySchool_XHSTT2011,EventSpreadingConstraint_6,AppliesTo/EventGroups/EventGroup,EventGroup,gr_C004
FinlandSecondarySchool_XHSTT2011,EventSpreadingConstraint_6,AppliesTo/EventGroups/EventGroup,EventGroup,gr_C005
FinlandSecondarySchool_XHSTT2011,EventSpreadingConstraint_6,AppliesTo/EventGroups/EventGroup,EventGroup,gr_C006
FinlandSecondarySchool_XHSTT2011,EventSpreadingConstraint_6,AppliesTo/EventGroups/EventGroup,EventGroup,gr_C007
FinlandSecondarySchool_XHSTT2011,EventSpreadingConstraint_6,AppliesTo/EventGroups/EventGroup,EventGroup,gr_C008
FinlandSecondarySchool_XHSTT2011,EventSpreadingConstraint_6,AppliesTo/EventGroups/EventGroup,EventGroup,gr_C009
FinlandSecondarySchool_XHSTT2011,EventSpreadingConstraint_6,AppliesTo/EventGroups/EventGroup,EventGroup,gr_C010
FinlandSecondarySchool_XHSTT2011,EventSpreadingConstraint_6,AppliesTo/EventGroups/EventGroup,EventGroup,gr_C011
FinlandSecondarySchool_XHSTT2011,EventSpreadingConstraint_6,AppliesTo/EventGroups/EventGroup,EventGroup,gr_C012
FinlandSecondarySchool_XHSTT2011,EventSpreadingConstraint_6,AppliesTo/EventGroups/EventGroup,EventGroup,gr_C013
FinlandSecondarySchool_XHSTT2011,EventSpreadingConstraint_6,AppliesTo/EventGroups/EventGroup,EventGroup,gr_C014
FinlandSecondarySchool_XHSTT2011,EventSpreadingConstraint_6,AppliesTo/EventGroups/EventGroup,EventGroup,gr_C015
