instance_id,constraint_id,path,attr,value
FinlandSecondarySchool_XHSTT2011,AssignTimes_2,Name,text,AssignTimes
FinlandSecondarySchool_XHSTT2011,AssignTimes_2,Required,text,true
FinlandSecondarySchool_XHSTT2011,AssignTimes_2,Weight,text,1
FinlandSecondarySchool_XHSTT2011,AssignTimes_2,CostFunction,text,Sum
FinlandSecondarySchool_XHSTT2011,NoSplitEventsConstraint,Name,text,Do not split events
FinlandSecondarySchool_XHSTT2011,NoSplitEventsConstraint,Required,text,true
FinlandSecondarySchool_XHSTT2011,NoSplitEventsConstraint,Weight,text,1000
FinlandSecondarySchool_XHSTT2011,NoSplitEventsConstraint,CostFunction,text,Sum
FinlandSecondarySchool_XHSTT2011,NoSplitEventsConstraint,MinimumDuration,text,1
FinlandSecondarySchool_XHSTT2011,NoSplitEventsConstraint,MaximumDuration,text,999
FinlandSecondarySchool_XHSTT2011,NoSplitEventsConstraint,MinimumAmount,text,1
FinlandSecondarySchool_XHSTT2011,NoSplitEventsConstraint,MaximumAmount,text,1
FinlandSecondarySchool_XHSTT2011,PreferredTimes_4,Name,text,PreferredTimes
FinlandSecondarySchool_XHSTT2011,PreferredTimes_4,Required,text,true
FinlandSecondarySchool_XHSTT2011,PreferredTimes_4,Weight,text,1
FinlandSecondarySchool_XHSTT2011,PreferredTimes_4,CostFunction,text,Sum
FinlandSecondarySchool_XHSTT2011,PreferredTimes_4,TimeGroups/TimeGroup,Reference,gr_AllTimes
FinlandSecondarySchool_XHSTT2011,PreferredTimes_5,Name,text,PreferredTimesDurationTwo
FinlandSecondarySchool_XHSTT2011,PreferredTimes_5,Required,text,true
FinlandSecondarySchool_XHSTT2011,PreferredTimes_5,Weight,text,2
FinlandSecondarySchool_XHSTT2011,PreferredTimes_5,CostFunction,text,Sum
FinlandSecondarySchool_XHSTT2011,PreferredTimes_5,TimeGroups/TimeGroup,Reference,gr_TimesDurationTwo
FinlandSecondarySchool_XHSTT2011,EventSpreadingConstraint_6,Name,text,EventSpreadingConstraint
FinlandSecondarySchool_XHSTT2011,EventSpreadingConstraint_6,Required,text,true
FinlandSecondarySchool_XHSTT2011,EventSpreadingConstraint_6,Weight,text,1
FinlandSecondarySchool_XHSTT2011,EventSpreadingConstraint_6,CostFunction,text,Sum
FinlandSecondarySchool_XHSTT2011,EventSpreadingConstraint_6,TimeGroups/TimeGroup,Reference,gr_Mo
FinlandSecondarySchool_XHSTT2011,EventSpreadingConstraint_6,TimeGroups/TimeGroup/Minimum,text,0
FinlandSecondarySchool_XHSTT2011,EventSpreadingConstraint_6,TimeGroups/TimeGroup/Maximum,text,1
FinlandSecondarySchool_XHSTT2011,EventSpreadingConstraint_6,TimeGroups/TimeGroup,Reference,gr_Tu
FinlandSecondarySchool_XHSTT2011,EventSpreadingConstraint_6,TimeGroups/TimeGroup/Minimum,text,0
FinlandSecondarySchool_XHSTT2011,EventSpreadingConstraint_6,TimeGroups/TimeGroup/Maximum,text,1
FinlandSecondarySchool_XHSTT2011,EventSpreadingConstraint_6,TimeGroups/TimeGroup,Reference,gr_We
FinlandSecondarySchool_XHSTT2011,EventSpreadingConstraint_6,TimeGroups/TimeGroup/Minimum,text,0
FinlandSecondarySchool_XHSTT2011,EventSpreadingConstraint_6,TimeGroups/TimeGroup/Maximum,text,1
FinlandSecondarySchool_XHSTT2011,EventSpreadingConstraint_6,TimeGroups/TimeGroup,Reference,gr_Th
FinlandSecondarySchool_XHSTT2011,EventSpreadingConstraint_6,TimeGroups/TimeGroup/Minimum,text,0
FinlandSecondarySchool_XHSTT2011,EventSpreadingConstraint_6,TimeGroups/TimeGroup/Maximum,text,1
FinlandSecondarySchool_XHSTT2011,EventSpreadingConstraint_6,TimeGroups/TimeGroup,Reference,gr_Fr
FinlandSecondarySchool_XHSTT2011,EventSpreadingConstraint_6,TimeGroups/TimeGroup/Minimum,text,0
FinlandSecondarySchool_XHSTT2011,EventSpreadingConstraint_6,TimeGroups/TimeGroup/Maximum,text,1
FinlandSecondarySchool_XHSTT2011,NoResourceClashes_7,Name,text,NoResourceClashes
FinlandSecondarySchool_XHSTT2011,NoResourceClashes_7,Required,text,true
FinlandSecondarySchool_XHSTT2011,NoResourceClashes_7,Weight,text,1
FinlandSecondarySchool_XHSTT2011,NoResourceClashes_7,CostFunction,text,Sum
FinlandSecondarySchool_XHSTT2011,Unavailabilities_ANT,Name,text,Unavailabilities_ANT
FinlandSecondarySchool_XHSTT2011,Unavailabilities_ANT,Required,text,true
FinlandSecondarySchool_XHSTT2011,Unavailabilities_ANT,Weight,text,1
FinlandSecondarySchool_XHSTT2011,Unavailabilities_ANT,CostFunction,text,Sum
FinlandSecondarySchool_XHSTT2011,Unavailabilities_ANT,Times/Time,Reference,Th_1
FinlandSecondarySchool_XHSTT2011,Unavailabilities_ANT,Times/Time,Reference,Fr_1
FinlandSecondarySchool_XHSTT2011,Unavailabilities_ANT,Times/Time,Reference,Fr_2
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HAA,Name,text,Unavailabilities_HAA
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HAA,Required,text,true
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HAA,Weight,text,1
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HAA,CostFunction,text,Sum
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HAA,Times/Time,Reference,Mo_1
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HAA,Times/Time,Reference,Mo_2
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HAA,Times/Time,Reference,Tu_1
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HAA,Times/Time,Reference,Tu_2
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HAA,Times/Time,Reference,Tu_3
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HAA,Times/Time,Reference,Tu_4
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HAA,Times/Time,Reference,Tu_6
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HAA,Times/Time,Reference,Tu_7
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HAA,Times/Time,Reference,We_2
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HAA,Times/Time,Reference,We_3
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HAA,Times/Time,Reference,We_4
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HAA,Times/Time,Reference,We_5
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HAA,Times/Time,Reference,We_6
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HAA,Times/Time,Reference,We_7
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HAA,Times/Time,Reference,Th_1
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HAA,Times/Time,Reference,Th_2
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HAA,Times/Time,Reference,Th_3
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HAA,Times/Time,Reference,Th_4
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HAA,Times/Time,Reference,Th_5
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HAA,Times/Time,Reference,Th_6
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HAA,Times/Time,Reference,Th_7
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HAA,Times/Time,Reference,Fr_1
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HAA,Times/Time,Reference,Fr_2
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HAA,Times/Time,Reference,Fr_3
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HAA,Times/Time,Reference,Fr_4
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HAN,Name,text,Unavailabilities_HAN
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HAN,Required,text,true
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HAN,Weight,text,1
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HAN,CostFunction,text,Sum
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HAN,Times/Time,Reference,Mo_3
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HAN,Times/Time,Reference,Mo_4
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HAN,Times/Time,Reference,Mo_5
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HAN,Times/Time,Reference,Mo_6
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HAN,Times/Time,Reference,Mo_7
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HAN,Times/Time,Reference,Tu_1
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HAN,Times/Time,Reference,Tu_2
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HAN,Times/Time,Reference,Tu_3
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HAN,Times/Time,Reference,Tu_4
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HAN,Times/Time,Reference,Tu_5
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HAN,Times/Time,Reference,Tu_6
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HAN,Times/Time,Reference,Tu_7
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HAN,Times/Time,Reference,We_7
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HIL,Name,text,Unavailabilities_HIL
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HIL,Required,text,true
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HIL,Weight,text,1
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HIL,CostFunction,text,Sum
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HIL,Times/Time,Reference,Mo_5
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HIL,Times/Time,Reference,Tu_1
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HIL,Times/Time,Reference,Tu_2
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HIL,Times/Time,Reference,We_1
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HIL,Times/Time,Reference,We_6
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HIL,Times/Time,Reference,Th_1
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HIM,Name,text,Unavailabilities_HIM
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HIM,Required,text,true
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HIM,Weight,text,1
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HIM,CostFunction,text,Sum
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HIM,Times/Time,Reference,Mo_1
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HIM,Times/Time,Reference,Mo_2
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HIM,Times/Time,Reference,Mo_3
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HIM,Times/Time,Reference,Mo_4
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HIM,Times/Time,Reference,Mo_5
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HIM,Times/Time,Reference,Mo_6
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HIM,Times/Time,Reference,Mo_7
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HIM,Times/Time,Reference,Tu_1
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HIM,Times/Time,Reference,Tu_2
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HIM,Times/Time,Reference,Tu_3
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HIM,Times/Time,Reference,Tu_4
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HIM,Times/Time,Reference,Tu_6
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HIM,Times/Time,Reference,Tu_7
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HIM,Times/Time,Reference,We_3
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HIM,Times/Time,Reference,We_4
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HIM,Times/Time,Reference,We_5
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HIM,Times/Time,Reference,Th_3
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HIM,Times/Time,Reference,Th_4
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HIM,Times/Time,Reference,Th_5
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HIM,Times/Time,Reference,Th_6
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HIM,Times/Time,Reference,Th_7
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HIM,Times/Time,Reference,Fr_1
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HIM,Times/Time,Reference,Fr_2
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HIM,Times/Time,Reference,Fr_3
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HIM,Times/Time,Reference,Fr_4
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HIM,Times/Time,Reference,Fr_6
FinlandSecondarySchool_XHSTT2011,Unavailabilities_HIM,Times/Time,Reference,Fr_7
FinlandSecondarySchool_XHSTT2011,Unavailabilities_JAA,Name,text,Unavailabilities_JAA
FinlandSecondarySchool_XHSTT2011,Unavailabilities_JAA,Required,text,true
FinlandSecondarySchool_XHSTT2011,Unavailabilities_JAA,Weight,text,1
FinlandSecondarySchool_XHSTT2011,Unavailabilities_JAA,CostFunction,text,Sum
FinlandSecondarySchool_XHSTT2011,Unavailabilities_JAA,Times/Time,Reference,Mo_1
FinlandSecondarySchool_XHSTT2011,Unavailabilities_JAA,Times/Time,Reference,Mo_2
FinlandSecondarySchool_XHSTT2011,Unavailabilities_JAA,Times/Time,Reference,Tu_1
FinlandSecondarySchool_XHSTT2011,Unavailabilities_JAA,Times/Time,Reference,Tu_2
FinlandSecondarySchool_XHSTT2011,Unavailabilities_JAA,Times/Time,Reference,Tu_3
FinlandSecondarySchool_XHSTT2011,Unavailabilities_JAA,Times/Time,Reference,Tu_4
FinlandSecondarySchool_XHSTT2011,Unavailabilities_JAA,Times/Time,Reference,We_1
FinlandSecondarySchool_XHSTT2011,Unavailabilities_JAA,Times/Time,Reference,Th_1
FinlandSecondarySchool_XHSTT2011,Unavailabilities_JAA,Times/Time,Reference,Th_2
FinlandSecondarySchool_XHSTT2011,Unavailabilities_JAA,Times/Time,Reference,Th_6
FinlandSecondarySchool_XHSTT2011,Unavailabilities_JAA,Times/Time,Reference,Th_7
FinlandSecondarySchool_XHSTT2011,Unavailabilities_JAA,Times/Time,Reference,Fr_1
FinlandSecondarySchool_XHSTT2011,Unavailabilities_JAA,Times/Time,Reference,Fr_2
FinlandSecondarySchool_XHSTT2011,Unavailabilities_JAA,Times/Time,Reference,Fr_3
FinlandSecondarySchool_XHSTT2011,Unavailabilities_JAA,Times/Time,Reference,Fr_4
FinlandSecondarySchool_XHSTT2011,Unavailabilities_KNU,Name,text,Unavailabilities_KNU
FinlandSecondarySchool_XHSTT2011,Unavailabilities_KNU,Required,text,true
FinlandSecondarySchool_XHSTT2011,Unavailabilities_KNU,Weight,text,1
FinlandSecondarySchool_XHSTT2011,Unavailabilities_KNU,CostFunction,text,Sum
FinlandSecondarySchool_XHSTT2011,Unavailabilities_KNU,Times/Time,Reference,Mo_1
FinlandSecondarySchool_XHSTT2011,Unavailabilities_KNU,Times/Time,Reference,Mo_2
FinlandSecondarySchool_XHSTT2011,Unavailabilities_KNU,Times/Time,Reference,Mo_3
FinlandSecondarySchool_XHSTT2011,Unavailabilities_KNU,Times/Time,Reference,Mo_4
