instance_id,event_group_id,group_type,name
FinlandSecondarySchool_XHSTT2011,gr_C001,Course,C001
FinlandSecondarySchool_XHSTT2011,gr_C002,Course,C002
FinlandSecondarySchool_XHSTT2011,gr_C003,Course,C003
FinlandSecondarySchool_XHSTT2011,gr_C004,Course,C004
FinlandSecondarySchool_XHSTT2011,gr_C005,Course,C005
FinlandSecondarySchool_XHSTT2011,gr_C006,Course,C006
FinlandSecondarySchool_XHSTT2011,gr_C007,Course,C007
FinlandSecondarySchool_XHSTT2011,gr_C008,Course,C008
FinlandSecondarySchool_XHSTT2011,gr_C009,Course,C009
FinlandSecondarySchool_XHSTT2011,gr_C010,Course,C010
FinlandSecondarySchool_XHSTT2011,gr_C011,Course,C011
FinlandSecondarySchool_XHSTT2011,gr_C012,Course,C012
FinlandSecondarySchool_XHSTT2011,gr_C013,Course,C013
FinlandSecondarySchool_XHSTT2011,gr_C014,Course,C014
FinlandSecondarySchool_XHSTT2011,gr_C015,Course,C015
FinlandSecondarySchool_XHSTT2011,gr_C016,Course,C016
FinlandSecondarySchool_XHSTT2011,gr_C017,Course,C017
FinlandSecondarySchool_XHSTT2011,gr_C018,Course,C018
FinlandSecondarySchool_XHSTT2011,gr_C019,Course,C019
FinlandSecondarySchool_XHSTT2011,gr_C020,Course,C020
FinlandSecondarySchool_XHSTT2011,gr_C021,Course,C021
FinlandSecondarySchool_XHSTT2011,gr_C022,Course,C022
FinlandSecondarySchool_XHSTT2011,gr_C023,Course,C023
FinlandSecondarySchool_XHSTT2011,gr_C024,Course,C024
FinlandSecondarySchool_XHSTT2011,gr_C025,Course,C025
FinlandSecondarySchool_XHSTT2011,gr_C026,Course,C026
FinlandSecondarySchool_XHSTT2011,gr_C027,Course,C027
FinlandSecondarySchool_XHSTT2011,gr_C028,Course,C028
FinlandSecondarySchool_XHSTT2011,gr_C029,Course,C029
FinlandSecondarySchool_XHSTT2011,gr_C030,Course,C030
FinlandSecondarySchool_XHSTT2011,gr_C031,Course,C031
FinlandSecondarySchool_XHSTT2011,gr_C032,Course,C032
FinlandSecondarySchool_XHSTT2011,gr_C033,Course,C033
FinlandSecondarySchool_XHSTT2011,gr_C034,Course,C034
FinlandSecondarySchool_XHSTT2011,gr_C035,Course,C035
FinlandSecondarySchool_XHSTT2011,gr_C036,Course,C036
FinlandSecondarySchool_XHSTT2011,gr_C037,Course,C037
FinlandSecondarySchool_XHSTT2011,gr_C038,Course,C038
FinlandSecondarySchool_XHSTT2011,gr_C039,Course,C039
FinlandSecondarySchool_XHSTT2011,gr_C040,Course,C040
FinlandSecondarySchool_XHSTT2011,gr_C041,Course,C041
FinlandSecondarySchool_XHSTT2011,gr_C042,Course,C042
FinlandSecondarySchool_XHSTT2011,gr_C043,Course,C043
FinlandSecondarySchool_XHSTT2011,gr_C044,Course,C044
FinlandSecondarySchool_XHSTT2011,gr_C045,Course,C045
FinlandSecondarySchool_XHSTT2011,gr_C046,Course,C046
FinlandSecondarySchool_XHSTT2011,gr_C047,Course,C047
FinlandSecondarySchool_XHSTT2011,gr_C048,Course,C048
FinlandSecondarySchool_XHSTT2011,gr_C049,Course,C049
FinlandSecondarySchool_XHSTT2011,gr_C050,Course,C050
FinlandSecondarySchool_XHSTT2011,gr_C051,Course,C051
FinlandSecondarySchool_XHSTT2011,gr_C052,Course,C052
FinlandSecondarySchool_XHSTT2011,gr_C053,Course,C053
FinlandSecondarySchool_XHSTT2011,gr_C054,Course,C054
FinlandSecondarySchool_XHSTT2011,gr_C055,Course,C055
FinlandSecondarySchool_XHSTT2011,gr_C056,Course,C056
FinlandSecondarySchool_XHSTT2011,gr_C057,Course,C057
FinlandSecondarySchool_XHSTT2011,gr_C058,Course,C058
FinlandSecondarySchool_XHSTT2011,gr_C059,Course,C059
FinlandSecondarySchool_XHSTT2011,gr_C060,Course,C060
FinlandSecondarySchool_XHSTT2011,gr_C061,Course,C061
FinlandSecondarySchool_XHSTT2011,gr_C062,Course,C062
FinlandSecondarySchool_XHSTT2011,gr_C063,Course,C063
FinlandSecondarySchool_XHSTT2011,gr_C064,Course,C064
FinlandSecondarySchool_XHSTT2011,gr_C065,Course,C065
FinlandSecondarySchool_XHSTT2011,gr_C066,Course,C066
FinlandSecondarySchool_XHSTT2011,gr_C067,Course,C067
FinlandSecondarySchool_XHSTT2011,gr_C068,Course,C068
FinlandSecondarySchool_XHSTT2011,gr_C069,Course,C069
FinlandSecondarySchool_XHSTT2011,gr_C070,Course,C070
FinlandSecondarySchool_XHSTT2011,gr_C071,Course,C071
FinlandSecondarySchool_XHSTT2011,gr_C072,Course,C072
FinlandSecondarySchool_XHSTT2011,gr_C073,Course,C073
FinlandSecondarySchool_XHSTT2011,gr_C074,Course,C074
FinlandSecondarySchool_XHSTT2011,gr_C075,Course,C075
FinlandSecondarySchool_XHSTT2011,gr_C076,Course,C076
FinlandSecondarySchool_XHSTT2011,gr_C077,Course,C077
FinlandSecondarySchool_XHSTT2011,gr_C078,Course,C078
FinlandSecondarySchool_XHSTT2011,gr_C079,Course,C079
FinlandSecondarySchool_XHSTT2011,gr_C080,Course,C080
FinlandSecondarySchool_XHSTT2011,gr_C081,Course,C081
FinlandSecondarySchool_XHSTT2011,gr_C082,Course,C082
FinlandSecondarySchool_XHSTT2011,gr_C083,Course,C083
FinlandSecondarySchool_XHSTT2011,gr_C084,Course,C084
FinlandSecondarySchool_XHSTT2011,gr_C085,Course,C085
FinlandSecondarySchool_XHSTT2011,gr_C086,Course,C086
FinlandSecondarySchool_XHSTT2011,gr_C087,Course,C087
FinlandSecondarySchool_XHSTT2011,gr_C088,Course,C088
FinlandSecondarySchool_XHSTT2011,gr_C089,Course,C089
