instance_id,resource_id,resource_group_id
FinlandSecondarySchool_XHSTT2011,ANT,gr_Teachers
FinlandSecondarySchool_XHSTT2011,HAA,gr_Teachers
FinlandSecondarySchool_XHSTT2011,HAN,gr_Teachers
FinlandSecondarySchool_XHSTT2011,HIL,gr_Teachers
FinlandSecondarySchool_XHSTT2011,HIM,gr_Teachers
FinlandSecondarySchool_XHSTT2011,JAA,gr_Teachers
FinlandSecondarySchool_XHSTT2011,KER,gr_Teachers
FinlandSecondarySchool_XHSTT2011,KIV,gr_Teachers
FinlandSecondarySchool_XHSTT2011,KNU,gr_Teachers
FinlandSecondarySchool_XHSTT2011,LAH,gr_Teachers
FinlandSecondarySchool_XHSTT2011,MAK,gr_Teachers
FinlandSecondarySchool_XHSTT2011,MAR,gr_Teachers
FinlandSecondarySchool_XHSTT2011,PUN,gr_Teachers
FinlandSecondarySchool_XHSTT2011,RAI,gr_Teachers
FinlandSecondarySchool_XHSTT2011,SAA,gr_Teachers
FinlandSecondarySchool_XHSTT2011,SAV,gr_Teachers
FinlandSecondarySchool_XHSTT2011,SEL,gr_Teachers
FinlandSecondarySchool_XHSTT2011,SEP,gr_Teachers
FinlandSecondarySchool_XHSTT2011,SII,gr_Teachers
FinlandSecondarySchool_XHSTT2011,STO,gr_Teachers
FinlandSecondarySchool_XHSTT2011,TER,gr_Teachers
FinlandSecondarySchool_XHSTT2011,TUO,gr_Teachers
FinlandSecondarySchool_XHSTT2011,VAN,gr_Teachers
FinlandSecondarySchool_XHSTT2011,VIL,gr_Teachers
FinlandSecondarySchool_XHSTT2011,WAH,gr_Teachers
FinlandSecondarySchool_XHSTT2011,S7A,gr_Classes
FinlandSecondarySchool_XHSTT2011,S7B,gr_Classes
FinlandSecondarySchool_XHSTT2011,S7C,gr_Classes
FinlandSecondarySchool_XHSTT2011,S7D,gr_Classes
FinlandSecondarySchool_XHSTT2011,S8A,gr_Classes
FinlandSecondarySchool_XHSTT2011,S8B,gr_Classes
FinlandSecondarySchool_XHSTT2011,S8C,gr_Classes
FinlandSecondarySchool_XHSTT2011,S8D,gr_Classes
FinlandSecondarySchool_XHSTT2011,S8E,gr_Classes
FinlandSecondarySchool_XHSTT2011,S9A,gr_Classes
FinlandSecondarySchool_XHSTT2011,S9B,gr_Classes
FinlandSecondarySchool_XHSTT2011,S9C,gr_Classes
FinlandSecondarySchool_XHSTT2011,S9D,gr_Classes
FinlandSecondarySchool_XHSTT2011,S9E,gr_Classes
FinlandSecondarySchool_XHSTT2011,R023,gr_Rooms
FinlandSecondarySchool_XHSTT2011,R024,gr_Rooms
FinlandSecondarySchool_XHSTT2011,R026,gr_Rooms
FinlandSecondarySchool_XHSTT2011,R038,gr_Rooms
FinlandSecondarySchool_XHSTT2011,R111,gr_Rooms
FinlandSecondarySchool_XHSTT2011,R115,gr_Rooms
FinlandSecondarySchool_XHSTT2011,R135,gr_Rooms
FinlandSecondarySchool_XHSTT2011,R144,gr_Rooms
FinlandSecondarySchool_XHSTT2011,R145,gr_Rooms
FinlandSecondarySchool_XHSTT2011,R149,gr_Rooms
FinlandSecondarySchool_XHSTT2011,R163,gr_Rooms
FinlandSecondarySchool_XHSTT2011,R203,gr_Rooms
FinlandSecondarySchool_XHSTT2011,R211,gr_Rooms
FinlandSecondarySchool_XHSTT2011,R226,gr_Rooms
FinlandSecondarySchool_XHSTT2011,R305,gr_Rooms
FinlandSecondarySchool_XHSTT2011,R312,gr_Rooms
FinlandSecondarySchool_XHSTT2011,RK01,gr_Rooms
FinlandSecondarySchool_XHSTT2011,RK02,gr_Rooms
FinlandSecondarySchool_XHSTT2011,RKU,gr_Rooms
FinlandSecondarySchool_XHSTT2011,RLI1,gr_Rooms
FinlandSecondarySchool_XHSTT2011,RLI2,gr_Rooms
FinlandSecondarySchool_XHSTT2011,RTN,gr_Rooms
FinlandSecondarySchool_XHSTT2011,RTS,gr_Rooms
FinlandSecondarySchool_XHSTT2011,RUPF,gr_Rooms
FinlandSecondarySchool_XHSTT2011,RX,gr_Rooms
