instance_id,event_id,er_index,role,resource_type_ref,reference_resource_id,workload
FinlandSecondarySchool2_XHSTT-v2014,Event_C001_1,0,Class,,S7A,
FinlandSecondarySchool2_XHSTT-v2014,Event_C001_1,1,Teacher,,MAJ,
FinlandSecondarySchool2_XHSTT-v2014,Event_C001_1,2,Room,,RE26,
FinlandSecondarySchool2_XHSTT-v2014,Event_C001_2,0,Class,,S7A,
FinlandSecondarySchool2_XHSTT-v2014,Event_C001_2,1,Teacher,,MAJ,
FinlandSecondarySchool2_XHSTT-v2014,Event_C001_2,2,Room,,RE26,
FinlandSecondarySchool2_XHSTT-v2014,Event_C001_3,0,Class,,S7A,
FinlandSecondarySchool2_XHSTT-v2014,Event_C001_3,1,Teacher,,MAJ,
FinlandSecondarySchool2_XHSTT-v2014,Event_C001_3,2,Room,,RE26,
FinlandSecondarySchool2_XHSTT-v2014,Event_C002_1,0,Class,,S7A,
FinlandSecondarySchool2_XHSTT-v2014,Event_C002_1,1,Teacher,,MVA,
FinlandSecondarySchool2_XHSTT-v2014,Event_C002_1,2,Room,,RE12,
FinlandSecondarySchool2_XHSTT-v2014,Event_C003_1,0,Class,,S7A,
FinlandSecondarySchool2_XHSTT-v2014,Event_C003_1,1,Teacher,,PET,
FinlandSecondarySchool2_XHSTT-v2014,Event_C003_1,2,Room,,RE25,
FinlandSecondarySchool2_XHSTT-v2014,Event_C003_2,0,Class,,S7A,
FinlandSecondarySchool2_XHSTT-v2014,Event_C003_2,1,Teacher,,PET,
FinlandSecondarySchool2_XHSTT-v2014,Event_C003_2,2,Room,,RE25,
FinlandSecondarySchool2_XHSTT-v2014,Event_C004_1,0,Class,,S7A,
FinlandSecondarySchool2_XHSTT-v2014,Event_C004_1,1,Teacher,,MAO,
FinlandSecondarySchool2_XHSTT-v2014,Event_C004_1,2,Room,,RU18,
FinlandSecondarySchool2_XHSTT-v2014,Event_C004_2,0,Class,,S7A,
FinlandSecondarySchool2_XHSTT-v2014,Event_C004_2,1,Teacher,,MAO,
FinlandSecondarySchool2_XHSTT-v2014,Event_C004_2,2,Room,,RU18,
FinlandSecondarySchool2_XHSTT-v2014,Event_C005_1,0,Class,,S7A,
FinlandSecondarySchool2_XHSTT-v2014,Event_C005_1,1,Teacher,,SEK,
FinlandSecondarySchool2_XHSTT-v2014,Event_C005_1,2,Room,,RE22,
FinlandSecondarySchool2_XHSTT-v2014,Event_C006_1,0,Class,,S7A,
FinlandSecondarySchool2_XHSTT-v2014,Event_C006_1,1,Teacher,,MAV,
FinlandSecondarySchool2_XHSTT-v2014,Event_C006_1,2,Room,,RE24,
FinlandSecondarySchool2_XHSTT-v2014,Event_C007_1,0,Class,,S7A,
FinlandSecondarySchool2_XHSTT-v2014,Event_C007_1,1,Teacher,,GUA,
FinlandSecondarySchool2_XHSTT-v2014,Event_C007_1,2,Room,,RV37,
FinlandSecondarySchool2_XHSTT-v2014,Event_C008_1,0,Class,,S7B,
FinlandSecondarySchool2_XHSTT-v2014,Event_C008_1,1,Teacher,,PET,
FinlandSecondarySchool2_XHSTT-v2014,Event_C008_1,2,Room,,RE25,
FinlandSecondarySchool2_XHSTT-v2014,Event_C008_2,0,Class,,S7B,
FinlandSecondarySchool2_XHSTT-v2014,Event_C008_2,1,Teacher,,PET,
