instance_id,resource_id,name,resource_type_ref
FinlandSecondarySchool2_XHSTT-v2014,ANV,ANV,Teacher
FinlandSecondarySchool2_XHSTT-v2014,AUL,AUL,Teacher
FinlandSecondarySchool2_XHSTT-v2014,GUA,GUA,Teacher
FinlandSecondarySchool2_XHSTT-v2014,JEA,JEA,Teacher
FinlandSecondarySchool2_XHSTT-v2014,KAG,KAG,Teacher
FinlandSecondarySchool2_XHSTT-v2014,KAH,KAH,Teacher
FinlandSecondarySchool2_XHSTT-v2014,LEV,LEV,Teacher
FinlandSecondarySchool2_XHSTT-v2014,MAJ,MAJ,Teacher
FinlandSecondarySchool2_XHSTT-v2014,MAL,MAL,Teacher
FinlandSecondarySchool2_XHSTT-v2014,MAO,MAO,Teacher
FinlandSecondarySchool2_XHSTT-v2014,MAV,MAV,Teacher
FinlandSecondarySchool2_XHSTT-v2014,MEL,MEL,Teacher
FinlandSecondarySchool2_XHSTT-v2014,MVA,MVA,Teacher
FinlandSecondarySchool2_XHSTT-v2014,PAK,PAK,Teacher
FinlandSecondarySchool2_XHSTT-v2014,PET,PET,Teacher
FinlandSecondarySchool2_XHSTT-v2014,SAH,SAH,Teacher
FinlandSecondarySchool2_XHSTT-v2014,SEK,SEK,Teacher
FinlandSecondarySchool2_XHSTT-v2014,TAL,TAL,Teacher
FinlandSecondarySchool2_XHSTT-v2014,TAV,TAV,Teacher
FinlandSecondarySchool2_XHSTT-v2014,TOH,TOH,Teacher
FinlandSecondarySchool2_XHSTT-v2014,TUA,TUA,Teacher
FinlandSecondarySchool2_XHSTT-v2014,VHE,VHE,Teacher
FinlandSecondarySchool2_XHSTT-v2014,S7A,SA,Class
FinlandSecondarySchool2_XHSTT-v2014,S7AA,SA,Class
FinlandSecondarySchool2_XHSTT-v2014,S7AB,SA,Class
FinlandSecondarySchool2_XHSTT-v2014,S7B,SB,Class
FinlandSecondarySchool2_XHSTT-v2014,S7BA,SB,Class
FinlandSecondarySchool2_XHSTT-v2014,S7BB,SB,Class
FinlandSecondarySchool2_XHSTT-v2014,S7C,SC,Class
FinlandSecondarySchool2_XHSTT-v2014,S7CA,SC,Class
FinlandSecondarySchool2_XHSTT-v2014,S7CB,SC,Class
FinlandSecondarySchool2_XHSTT-v2014,S7D,SD,Class
FinlandSecondarySchool2_XHSTT-v2014,S7DA,SD,Class
FinlandSecondarySchool2_XHSTT-v2014,S7DB,SD,Class
FinlandSecondarySchool2_XHSTT-v2014,S8A,SA,Class
FinlandSecondarySchool2_XHSTT-v2014,S8AA,SA,Class
FinlandSecondarySchool2_XHSTT-v2014,S8AB,SA,Class
FinlandSecondarySchool2_XHSTT-v2014,S8B,SB,Class
FinlandSecondarySchool2_XHSTT-v2014,S8BA,SB,Class
FinlandSecondarySchool2_XHSTT-v2014,S8BB,SB,Class
FinlandSecondarySchool2_XHSTT-v2014,S8C,SC,Class
FinlandSecondarySchool2_XHSTT-v2014,S8CA,SC,Class
FinlandSecondarySchool2_XHSTT-v2014,S8CB,SC,Class
FinlandSecondarySchool2_XHSTT-v2014,S8D,SD,Class
FinlandSecondarySchool2_XHSTT-v2014,S8DA,SD,Class
FinlandSecondarySchool2_XHSTT-v2014,S8DB,SD,Class
FinlandSecondarySchool2_XHSTT-v2014,S9A,SA,Class
FinlandSecondarySchool2_XHSTT-v2014,S9AA,SA,Class
FinlandSecondarySchool2_XHSTT-v2014,S9AB,SA,Class
FinlandSecondarySchool2_XHSTT-v2014,S9B,SB,Class
FinlandSecondarySchool2_XHSTT-v2014,S9BA,SB,Class
FinlandSecondarySchool2_XHSTT-v2014,S9BB,SB,Class
FinlandSecondarySchool2_XHSTT-v2014,S9C,SC,Class
FinlandSecondarySchool2_XHSTT-v2014,S9CA,SC,Class
FinlandSecondarySchool2_XHSTT-v2014,S9CB,SC,Class
FinlandSecondarySchool2_XHSTT-v2014,S9D,SD,Class
FinlandSecondarySchool2_XHSTT-v2014,S9DA,SD,Class
FinlandSecondarySchool2_XHSTT-v2014,S9DB,SD,Class
FinlandSecondarySchool2_XHSTT-v2014,RANJ,RANJ,Room
FinlandSecondarySchool2_XHSTT-v2014,RANV,RANV,Room
FinlandSecondarySchool2_XHSTT-v2014,RE12,RE12,Room
FinlandSecondarySchool2_XHSTT-v2014,RE15,RE15,Room
FinlandSecondarySchool2_XHSTT-v2014,RE22,RE22,Room
FinlandSecondarySchool2_XHSTT-v2014,RE24,RE24,Room
FinlandSecondarySchool2_XHSTT-v2014,RE25,RE25,Room
FinlandSecondarySchool2_XHSTT-v2014,RE26,RE26,Room
FinlandSecondarySchool2_XHSTT-v2014,RE31,RE31,Room
FinlandSecondarySchool2_XHSTT-v2014,RE37,RE37,Room
FinlandSecondarySchool2_XHSTT-v2014,RKAG,RKAG,Room
FinlandSecondarySchool2_XHSTT-v2014,RMAV,RMAV,Room
FinlandSecondarySchool2_XHSTT-v2014,RTAV,RTAV,Room
FinlandSecondarySchool2_XHSTT-v2014,RTOH,RTOH,Room
FinlandSecondarySchool2_XHSTT-v2014,RU11,RU11,Room
FinlandSecondarySchool2_XHSTT-v2014,RU12,RU12,Room
FinlandSecondarySchool2_XHSTT-v2014,RU13,RU13,Room
FinlandSecondarySchool2_XHSTT-v2014,RU17,RU17,Room
FinlandSecondarySchool2_XHSTT-v2014,RU18,RU18,Room
FinlandSecondarySchool2_XHSTT-v2014,RV08,RV08,Room
FinlandSecondarySchool2_XHSTT-v2014,RV37,RV37,Room
