instance_id,time_id,group_id,membership_type
FinlandSecondarySchool2_XHSTT-v2014,Mo_1,gr_Mo,Day
FinlandSecondarySchool2_XHSTT-v2014,Mo_1,gr_TimesDurationTwo,TimeGroup
FinlandSecondarySchool2_XHSTT-v2014,Mo_1,gr_TimesDurationThree,TimeGroup
FinlandSecondarySchool2_XHSTT-v2014,Mo_2,gr_Mo,Day
FinlandSecondarySchool2_XHSTT-v2014,Mo_2,gr_TimesDurationTwo,TimeGroup
FinlandSecondarySchool2_XHSTT-v2014,Mo_2,gr_TimesDurationThree,TimeGroup
FinlandSecondarySchool2_XHSTT-v2014,Mo_3,gr_Mo,Day
FinlandSecondarySchool2_XHSTT-v2014,Mo_3,gr_TimesDurationTwo,TimeGroup
FinlandSecondarySchool2_XHSTT-v2014,Mo_3,gr_TimesDurationThree,TimeGroup
FinlandSecondarySchool2_XHSTT-v2014,Mo_4,gr_Mo,Day
FinlandSecondarySchool2_XHSTT-v2014,Mo_4,gr_TimesDurationTwo,TimeGroup
FinlandSecondarySchool2_XHSTT-v2014,Mo_4,gr_TimesDurationThree,TimeGroup
FinlandSecondarySchool2_XHSTT-v2014,Mo_5,gr_Mo,Day
FinlandSecondarySchool2_XHSTT-v2014,Mo_5,gr_TimesDurationTwo,TimeGroup
FinlandSecondarySchool2_XHSTT-v2014,Mo_5,gr_TimesDurationThree,TimeGroup
FinlandSecondarySchool2_XHSTT-v2014,Mo_6,gr_Mo,Day
FinlandSecondarySchool2_XHSTT-v2014,Mo_6,gr_TimesDurationTwo,TimeGroup
FinlandSecondarySchool2_XHSTT-v2014,Mo_6,gr_TimesDurationThree,TimeGroup
FinlandSecondarySchool2_XHSTT-v2014,Mo_7,gr_Mo,Day
FinlandSecondarySchool2_XHSTT-v2014,Mo_7,gr_TimesDurationTwo,TimeGroup
FinlandSecondarySchool2_XHSTT-v2014,Mo_8,gr_Mo,Day
FinlandSecondarySchool2_XHSTT-v2014,Tu_1,gr_Tu,Day
FinlandSecondarySchool2_XHSTT-v2014,Tu_1,gr_TimesDurationTwo,TimeGroup
FinlandSecondarySchool2_XHSTT-v2014,Tu_1,gr_TimesDurationThree,TimeGroup
FinlandSecondarySchool2_XHSTT-v2014,Tu_2,gr_Tu,Day
FinlandSecondarySchool2_XHSTT-v2014,Tu_2,gr_TimesDurationTwo,TimeGroup
FinlandSecondarySchool2_XHSTT-v2014,Tu_2,gr_TimesDurationThree,TimeGroup
FinlandSecondarySchool2_XHSTT-v2014,Tu_3,gr_Tu,Day
FinlandSecondarySchool2_XHSTT-v2014,Tu_3,gr_TimesDurationTwo,TimeGroup
FinlandSecondarySchool2_XHSTT-v2014,Tu_3,gr_TimesDurationThree,TimeGroup
FinlandSecondarySchool2_XHSTT-v2014,Tu_4,gr_Tu,Day
FinlandSecondarySchool2_XHSTT-v2014,Tu_4,gr_TimesDurationTwo,TimeGroup
FinlandSecondarySchool2_XHSTT-v2014,Tu_4,gr_TimesDurationThree,TimeGroup
FinlandSecondarySchool2_XHSTT-v2014,Tu_5,gr_Tu,Day
FinlandSecondarySchool2_XHSTT-v2014,Tu_5,gr_TimesDurationTwo,TimeGroup
FinlandSecondarySchool2_XHSTT-v2014,Tu_5,gr_TimesDurationThree,TimeGroup
FinlandSecondarySchool2_XHSTT-v2014,Tu_6,gr_Tu,Day
FinlandSecondarySchool2_XHSTT-v2014,Tu_6,gr_TimesDurationTwo,TimeGroup
FinlandSecondarySchool2_XHSTT-v2014,Tu_6,gr_TimesDurationThree,TimeGroup
FinlandSecondarySchool2_XHSTT-v2014,Tu_7,gr_Tu,Day
FinlandSecondarySchool2_XHSTT-v2014,Tu_7,gr_TimesDurationTwo,TimeGroup
FinlandSecondarySchool2_XHSTT-v2014,Tu_8,gr_Tu,Day
FinlandSecondarySchool2_XHSTT-v2014,We_1,gr_We,Day
FinlandSecondarySchool2_XHSTT-v2014,We_1,gr_TimesDurationTwo,TimeGroup
FinlandSecondarySchool2_XHSTT-v2014,We_1,gr_TimesDurationThree,TimeGroup
FinlandSecondarySchool2_XHSTT-v2014,We_2,gr_We,Day
FinlandSecondarySchool2_XHSTT-v2014,We_2,gr_TimesDurationTwo,TimeGroup
FinlandSecondarySchool2_XHSTT-v2014,We_2,gr_TimesDurationThree,TimeGroup
FinlandSecondarySchool2_XHSTT-v2014,We_3,gr_We,Day
FinlandSecondarySchool2_XHSTT-v2014,We_3,gr_TimesDurationTwo,TimeGroup
FinlandSecondarySchool2_XHSTT-v2014,We_3,gr_TimesDurationThree,TimeGroup
FinlandSecondarySchool2_XHSTT-v2014,We_4,gr_We,Day
FinlandSecondarySchool2_XHSTT-v2014,We_4,gr_TimesDurationTwo,TimeGroup
FinlandSecondarySchool2_XHSTT-v2014,We_4,gr_TimesDurationThree,TimeGroup
FinlandSecondarySchool2_XHSTT-v2014,We_5,gr_We,Day
FinlandSecondarySchool2_XHSTT-v2014,We_5,gr_TimesDurationTwo,TimeGroup
FinlandSecondarySchool2_XHSTT-v2014,We_5,gr_TimesDurationThree,TimeGroup
FinlandSecondarySchool2_XHSTT-v2014,We_6,gr_We,Day
FinlandSecondarySchool2_XHSTT-v2014,We_6,gr_TimesDurationTwo,TimeGroup
FinlandSecondarySchool2_XHSTT-v2014,We_6,gr_TimesDurationThree,TimeGroup
FinlandSecondarySchool2_XHSTT-v2014,We_7,gr_We,Day
FinlandSecondarySchool2_XHSTT-v2014,We_7,gr_TimesDurationTwo,TimeGroup
FinlandSecondarySchool2_XHSTT-v2014,We_8,gr_We,Day
FinlandSecondarySchool2_XHSTT-v2014,Th_1,gr_Th,Day
FinlandSecondarySchool2_XHSTT-v2014,Th_1,gr_TimesDurationTwo,TimeGroup
FinlandSecondarySchool2_XHSTT-v2014,Th_1,gr_TimesDurationThree,TimeGroup
FinlandSecondarySchool2_XHSTT-v2014,Th_2,gr_Th,Day
FinlandSecondarySchool2_XHSTT-v2014,Th_2,gr_TimesDurationTwo,TimeGroup
FinlandSecondarySchool2_XHSTT-v2014,Th_2,gr_TimesDurationThree,TimeGroup
FinlandSecondarySchool2_XHSTT-v2014,Th_3,gr_Th,Day
FinlandSecondarySchool2_XHSTT-v2014,Th_3,gr_TimesDurationTwo,TimeGroup
FinlandSecondarySchool2_XHSTT-v2014,Th_3,gr_TimesDurationThree,TimeGroup
FinlandSecondarySchool2_XHSTT-v2014,Th_4,gr_Th,Day
FinlandSecondarySchool2_XHSTT-v2014,Th_4,gr_TimesDurationTwo,TimeGroup
FinlandSecondarySchool2_XHSTT-v2014,Th_4,gr_TimesDurationThree,TimeGroup
FinlandSecondarySchool2_XHSTT-v2014,Th_5,gr_Th,Day
FinlandSecondarySchool2_XHSTT-v2014,Th_5,gr_TimesDurationTwo,TimeGroup
FinlandSecondarySchool2_XHSTT-v2014,Th_5,gr_TimesDurationThree,TimeGroup
