instance_id,event_id,event_group_id
UK-SP-06,Ar (10S)_29900,gr_AllEvents
UK-SP-06,Ar (10S)_29900,gr_OptionA1092
UK-SP-06,Ar (10S)_29901,gr_AllEvents
UK-SP-06,Ar (10S)_29901,gr_OptionA1093
UK-SP-06,Ar (10S)_29902,gr_AllEvents
UK-SP-06,Ar (10S)_29902,gr_OptionA1094
UK-SP-06,Dr (10T)_30000,gr_AllEvents
UK-SP-06,Dr (10T)_30000,gr_OptionA1092
UK-SP-06,Dr (10T)_30001,gr_AllEvents
UK-SP-06,Dr (10T)_30001,gr_OptionA1093
UK-SP-06,Dr (10T)_30002,gr_AllEvents
UK-SP-06,Dr (10T)_30002,gr_OptionA1094
UK-SP-06,Ge (10L)_30100,gr_AllEvents
UK-SP-06,Ge (10L)_30100,gr_OptionB10103
UK-SP-06,Ge (10L)_30101,gr_AllEvents
UK-SP-06,Ge (10L)_30101,gr_OptionB10104
UK-SP-06,Ge (10L)_30102,gr_AllEvents
UK-SP-06,Ge (10L)_30102,gr_OptionB10105
UK-SP-06,Fr (10A)_30200,gr_AllEvents
UK-SP-06,Fr (10A)_30200,gr_OptionA1092
UK-SP-06,Fr (10A)_30201,gr_AllEvents
UK-SP-06,Fr (10A)_30201,gr_OptionA1093
UK-SP-06,Fr (10A)_30202,gr_AllEvents
UK-SP-06,Fr (10A)_30202,gr_OptionA1094
UK-SP-06,Mu (10U)_30300,gr_AllEvents
UK-SP-06,Mu (10U)_30300,gr_OptionA1092
UK-SP-06,Mu (10U)_30301,gr_AllEvents
UK-SP-06,Mu (10U)_30301,gr_OptionA1093
UK-SP-06,Mu (10U)_30302,gr_AllEvents
UK-SP-06,Mu (10U)_30302,gr_OptionA1094
UK-SP-06,Da (10L)_30400,gr_AllEvents
UK-SP-06,Da (10L)_30400,gr_OptionA1092
UK-SP-06,Da (10L)_30401,gr_AllEvents
UK-SP-06,Da (10L)_30401,gr_OptionA1093
UK-SP-06,Da (10L)_30402,gr_AllEvents
UK-SP-06,Da (10L)_30402,gr_OptionA1094
UK-SP-06,Sk (10g1)_30500,gr_AllEvents
UK-SP-06,Sk (10g1)_30500,gr_OptionA1092
UK-SP-06,Sk (10g1)_30501,gr_AllEvents
UK-SP-06,Sk (10g1)_30501,gr_OptionA1093
UK-SP-06,Sk (10g1)_30502,gr_AllEvents
UK-SP-06,Sk (10g1)_30502,gr_OptionA1094
UK-SP-06,Ge (10g2)_30600,gr_AllEvents
UK-SP-06,Ge (10g2)_30600,gr_OptionA1092
UK-SP-06,Ge (10g2)_30601,gr_AllEvents
UK-SP-06,Ge (10g2)_30601,gr_OptionA1093
UK-SP-06,Ge (10g2)_30602,gr_AllEvents
UK-SP-06,Ge (10g2)_30602,gr_OptionA1094
UK-SP-06,Hi (10h1)_30700,gr_AllEvents
UK-SP-06,Hi (10h1)_30700,gr_OptionA1092
UK-SP-06,Hi (10h1)_30701,gr_AllEvents
UK-SP-06,Hi (10h1)_30701,gr_OptionA1093
UK-SP-06,Hi (10h1)_30702,gr_AllEvents
UK-SP-06,Hi (10h1)_30702,gr_OptionA1094
UK-SP-06,Pa (10h2)_30800,gr_AllEvents
UK-SP-06,Pa (10h2)_30800,gr_OptionA1092
UK-SP-06,Pa (10h2)_30801,gr_AllEvents
UK-SP-06,Pa (10h2)_30801,gr_OptionA1093
UK-SP-06,Pa (10h2)_30802,gr_AllEvents
UK-SP-06,Pa (10h2)_30802,gr_OptionA1094
UK-SP-06,Ps (10A)_30900,gr_AllEvents
UK-SP-06,Ps (10A)_30900,gr_Ps10152
UK-SP-06,Ar (10T)_31000,gr_AllEvents
UK-SP-06,Ar (10T)_31000,gr_OptionB10103
UK-SP-06,Ar (10T)_31001,gr_AllEvents
UK-SP-06,Ar (10T)_31001,gr_OptionB10104
UK-SP-06,Ar (10T)_31002,gr_AllEvents
UK-SP-06,Ar (10T)_31002,gr_OptionB10105
UK-SP-06,Fr (10S)_31100,gr_AllEvents
UK-SP-06,Fr (10S)_31100,gr_OptionB10103
UK-SP-06,Fr (10S)_31101,gr_AllEvents
UK-SP-06,Fr (10S)_31101,gr_OptionB10104
UK-SP-06,Fr (10S)_31102,gr_AllEvents
UK-SP-06,Fr (10S)_31102,gr_OptionB10105
UK-SP-06,Ge (10P)_31200,gr_AllEvents
UK-SP-06,Ge (10P)_31200,gr_OptionB10103
UK-SP-06,Ge (10P)_31201,gr_AllEvents
UK-SP-06,Ge (10P)_31201,gr_OptionB10104
UK-SP-06,Ge (10P)_31202,gr_AllEvents
UK-SP-06,Ge (10P)_31202,gr_OptionB10105
UK-SP-06,Hi (10P)_31300,gr_AllEvents
UK-SP-06,Hi (10P)_31300,gr_OptionB10103
UK-SP-06,Hi (10P)_31301,gr_AllEvents
UK-SP-06,Hi (10P)_31301,gr_OptionB10104
UK-SP-06,Hi (10P)_31302,gr_AllEvents
UK-SP-06,Hi (10P)_31302,gr_OptionB10105
UK-SP-06,Pe (10U)_31400,gr_AllEvents
UK-SP-06,Pe (10U)_31400,gr_OptionB10103
UK-SP-06,Pe (10U)_31401,gr_AllEvents
UK-SP-06,Pe (10U)_31401,gr_OptionB10104
UK-SP-06,Pe (10U)_31402,gr_AllEvents
UK-SP-06,Pe (10U)_31402,gr_OptionB10105
UK-SP-06,Pe (10U)_31403,gr_AllEvents
UK-SP-06,Pe (10U)_31403,gr_Pe10h139
UK-SP-06,Dv (10A)_31500,gr_AllEvents
UK-SP-06,Dv (10A)_31500,gr_OptionB10103
UK-SP-06,Dv (10A)_31501,gr_AllEvents
UK-SP-06,Dv (10A)_31501,gr_OptionB10104
UK-SP-06,Dv (10A)_31502,gr_AllEvents
UK-SP-06,Dv (10A)_31502,gr_OptionB10105
UK-SP-06,Dv (10A)_31503,gr_AllEvents
UK-SP-06,Dv (10A)_31503,gr_Sd10h177
UK-SP-06,Dv (10A)_31504,gr_AllEvents
UK-SP-06,Dv (10A)_31504,gr_Sd10h178
UK-SP-06,Dv (10A)_31505,gr_AllEvents
UK-SP-06,Dv (10A)_31505,gr_Sd10h179
UK-SP-06,Dr (10g1)_31600,gr_AllEvents
UK-SP-06,Dr (10g1)_31600,gr_OptionB10103
UK-SP-06,Dr (10g1)_31601,gr_AllEvents
UK-SP-06,Dr (10g1)_31601,gr_OptionB10104
UK-SP-06,Dr (10g1)_31602,gr_AllEvents
UK-SP-06,Dr (10g1)_31602,gr_OptionB10105
UK-SP-06,Pa (10h1)_31700,gr_AllEvents
UK-SP-06,Pa (10h1)_31700,gr_OptionB10103
UK-SP-06,Pa (10h1)_31701,gr_AllEvents
UK-SP-06,Pa (10h1)_31701,gr_OptionB10104
UK-SP-06,Pa (10h1)_31702,gr_AllEvents
UK-SP-06,Pa (10h1)_31702,gr_OptionB10105
UK-SP-06,En (10S)_31800,gr_AllEvents
UK-SP-06,En (10S)_31800,gr_En10g25
UK-SP-06,En (10S)_31801,gr_AllEvents
UK-SP-06,En (10S)_31801,gr_En10g26
UK-SP-06,En (10S)_31802,gr_AllEvents
UK-SP-06,En (10S)_31802,gr_En10g27
UK-SP-06,En (10S)_31803,gr_AllEvents
UK-SP-06,En (10S)_31803,gr_En10g28
UK-SP-06,En (10T)_31900,gr_AllEvents
UK-SP-06,En (10T)_31900,gr_En10g25
UK-SP-06,En (10T)_31901,gr_AllEvents
UK-SP-06,En (10T)_31901,gr_En10g26
UK-SP-06,En (10T)_31902,gr_AllEvents
UK-SP-06,En (10T)_31902,gr_En10g27
UK-SP-06,En (10T)_31903,gr_AllEvents
UK-SP-06,En (10T)_31903,gr_En10g28
UK-SP-06,En (10P)_32000,gr_AllEvents
UK-SP-06,En (10P)_32000,gr_En10g25
UK-SP-06,En (10P)_32001,gr_AllEvents
UK-SP-06,En (10P)_32001,gr_En10g26
UK-SP-06,En (10P)_32002,gr_AllEvents
UK-SP-06,En (10P)_32002,gr_En10g27
UK-SP-06,En (10P)_32003,gr_AllEvents
UK-SP-06,En (10P)_32003,gr_En10g28
UK-SP-06,En (10g1)_32100,gr_AllEvents
UK-SP-06,En (10g1)_32100,gr_En10g25
UK-SP-06,En (10g1)_32101,gr_AllEvents
UK-SP-06,En (10g1)_32101,gr_En10g26
UK-SP-06,En (10g1)_32102,gr_AllEvents
UK-SP-06,En (10g1)_32102,gr_En10g27
UK-SP-06,En (10g1)_32103,gr_AllEvents
UK-SP-06,En (10g1)_32103,gr_En10g28
UK-SP-06,Sk (10g2)_32200,gr_AllEvents
UK-SP-06,Sk (10g2)_32200,gr_En10g25
UK-SP-06,Sk (10g2)_32201,gr_AllEvents
UK-SP-06,Sk (10g2)_32201,gr_Ma10g65
UK-SP-06,It (10h3)_32300,gr_AllEvents
UK-SP-06,It (10h3)_32300,gr_Dt10h4
UK-SP-06,It (10h3)_32301,gr_AllEvents
UK-SP-06,It (10h3)_32301,gr_Dt10h5
UK-SP-06,It (10h3)_32302,gr_AllEvents
UK-SP-06,It (10h3)_32302,gr_Dt10h6
UK-SP-06,Ps (10L)_32400,gr_AllEvents
UK-SP-06,Ps (10L)_32400,gr_Ps10152
UK-SP-06,Ma (10S)_32500,gr_AllEvents
UK-SP-06,Ma (10S)_32500,gr_Ma10g65
UK-SP-06,Ma (10S)_32501,gr_AllEvents
UK-SP-06,Ma (10S)_32501,gr_Ma10g66
UK-SP-06,Ma (10S)_32502,gr_AllEvents
UK-SP-06,Ma (10S)_32502,gr_Ma10g67
UK-SP-06,Ma (10T)_32600,gr_AllEvents
UK-SP-06,Ma (10T)_32600,gr_Ma10g65
UK-SP-06,Ma (10T)_32601,gr_AllEvents
UK-SP-06,Ma (10T)_32601,gr_Ma10g66
UK-SP-06,Ma (10T)_32602,gr_AllEvents
UK-SP-06,Ma (10T)_32602,gr_Ma10g67
UK-SP-06,Ma (10P)_32700,gr_AllEvents
UK-SP-06,Ma (10P)_32700,gr_Ma10g65
