instance_id,event_group_id,group_type,name
UK-SP-06,gr_Course_Ar-10S_299,Course,Ar-10S
UK-SP-06,gr_Course_Dr-10T_300,Course,Dr-10T
UK-SP-06,gr_Course_Ge-10L_301,Course,Ge-10L
UK-SP-06,gr_Course_Fr-10A_302,Course,Fr-10A
UK-SP-06,gr_Course_Mu-10U_303,Course,Mu-10U
UK-SP-06,gr_Course_Da-10L_304,Course,Da-10L
UK-SP-06,gr_Course_Sk-10g1_305,Course,Sk-10g1
UK-SP-06,gr_Course_Ge-10g2_306,Course,Ge-10g2
UK-SP-06,gr_Course_Hi-10h1_307,Course,Hi-10h1
UK-SP-06,gr_Course_Pa-10h2_308,Course,Pa-10h2
UK-SP-06,gr_Course_Ps-10A_309,Course,Ps-10A
UK-SP-06,gr_Course_Ar-10T_310,Course,Ar-10T
UK-SP-06,gr_Course_Fr-10S_311,Course,Fr-10S
UK-SP-06,gr_Course_Ge-10P_312,Course,Ge-10P
UK-SP-06,gr_Course_Hi-10P_313,Course,Hi-10P
UK-SP-06,gr_Course_Pe-10U_314,Course,Pe-10U
UK-SP-06,gr_Course_Dv-10A_315,Course,Dv-10A
UK-SP-06,gr_Course_Dr-10g1_316,Course,Dr-10g1
UK-SP-06,gr_Course_Pa-10h1_317,Course,Pa-10h1
UK-SP-06,gr_Course_En-10S_318,Course,En-10S
UK-SP-06,gr_Course_En-10T_319,Course,En-10T
UK-SP-06,gr_Course_En-10P_320,Course,En-10P
UK-SP-06,gr_Course_En-10g1_321,Course,En-10g1
UK-SP-06,gr_Course_Sk-10g2_322,Course,Sk-10g2
UK-SP-06,gr_Course_It-10h3_323,Course,It-10h3
UK-SP-06,gr_Course_Ps-10L_324,Course,Ps-10L
UK-SP-06,gr_Course_Ma-10S_325,Course,Ma-10S
UK-SP-06,gr_Course_Ma-10T_326,Course,Ma-10T
UK-SP-06,gr_Course_Ma-10P_327,Course,Ma-10P
UK-SP-06,gr_Course_Ma-10g1_328,Course,Ma-10g1
UK-SP-06,gr_Course_Ps-10P_330,Course,Ps-10P
UK-SP-06,gr_Course_Ps-10S_331,Course,Ps-10S
UK-SP-06,gr_Course_Sd-10g2_332,Course,Sd-10g2
UK-SP-06,gr_Course_Sd-10T_333,Course,Sd-10T
UK-SP-06,gr_Course_Sd-10P_334,Course,Sd-10P
UK-SP-06,gr_Course_Sd-10g1_335,Course,Sd-10g1
UK-SP-06,gr_Course_Sk-10S_336,Course,Sk-10S
UK-SP-06,gr_Course_Sx-10S_337,Course,Sx-10S
UK-SP-06,gr_Course_Ps-10T_339,Course,Ps-10T
UK-SP-06,gr_Course_Ps-10U_340,Course,Ps-10U
UK-SP-06,gr_Course_Dt-10S_341,Course,Dt-10S
UK-SP-06,gr_Course_Dt-10T_342,Course,Dt-10T
UK-SP-06,gr_Course_Dt-10P_343,Course,Dt-10P
UK-SP-06,gr_Course_Dt-10g1_344,Course,Dt-10g1
UK-SP-06,gr_Course_Dt-10g2_345,Course,Dt-10g2
UK-SP-06,gr_Course_It-10g3_346,Course,It-10g3
UK-SP-06,gr_Course_Pe-10S_347,Course,Pe-10S
UK-SP-06,gr_Course_Pe-10T_348,Course,Pe-10T
UK-SP-06,gr_Course_Pe-10P_349,Course,Pe-10P
UK-SP-06,gr_Course_Re-10S_350,Course,Re-10S
UK-SP-06,gr_Course_Re-10T_351,Course,Re-10T
UK-SP-06,gr_Course_Re-10P_352,Course,Re-10P
UK-SP-06,gr_Course_Re-10g1_353,Course,Re-10g1
UK-SP-06,gr_Course_Dt-10A_354,Course,Dt-10A
UK-SP-06,gr_Course_Dt-10U_355,Course,Dt-10U
UK-SP-06,gr_Course_Dt-10L_356,Course,Dt-10L
UK-SP-06,gr_Course_Dt-10h1_357,Course,Dt-10h1
UK-SP-06,gr_Course_Dt-10h2_358,Course,Dt-10h2
UK-SP-06,gr_Course_En-10A_361,Course,En-10A
UK-SP-06,gr_Course_En-10U_362,Course,En-10U
UK-SP-06,gr_Course_En-10L_363,Course,En-10L
UK-SP-06,gr_Course_En-10h1_364,Course,En-10h1
UK-SP-06,gr_Course_Ma-10A_365,Course,Ma-10A
UK-SP-06,gr_Course_Ma-10U_366,Course,Ma-10U
UK-SP-06,gr_Course_Ma-10L_367,Course,Ma-10L
UK-SP-06,gr_Course_Ma-10h1_368,Course,Ma-10h1
UK-SP-06,gr_Course_Pe-10A_369,Course,Pe-10A
UK-SP-06,gr_Course_Pe-10L_371,Course,Pe-10L
UK-SP-06,gr_Course_Re-10A_372,Course,Re-10A
UK-SP-06,gr_Course_Re-10U_373,Course,Re-10U
UK-SP-06,gr_Course_Re-10L_374,Course,Re-10L
UK-SP-06,gr_Course_Re-10h1_375,Course,Re-10h1
UK-SP-06,gr_Course_Sd-10h1_376,Course,Sd-10h1
UK-SP-06,gr_Course_Sd-10U_377,Course,Sd-10U
UK-SP-06,gr_Course_Sd-10L_378,Course,Sd-10L
UK-SP-06,gr_Course_Sd-10h2_379,Course,Sd-10h2
UK-SP-06,gr_Course_Sx-10A_380,Course,Sx-10A
UK-SP-06,gr_Course_Ar-11S_381,Course,Ar-11S
UK-SP-06,gr_Course_Dr-11T_382,Course,Dr-11T
UK-SP-06,gr_Course_Hi-11P_383,Course,Hi-11P
UK-SP-06,gr_Course_Hi-11A_384,Course,Hi-11A
UK-SP-06,gr_Course_Ge-11U_385,Course,Ge-11U
UK-SP-06,gr_Course_Fr-11L_386,Course,Fr-11L
UK-SP-06,gr_Course_Mu-11g1_387,Course,Mu-11g1
UK-SP-06,gr_Course_Da-11g2_388,Course,Da-11g2
UK-SP-06,gr_Course_Cp-11h1_389,Course,Cp-11h1
UK-SP-06,gr_Course_Ps-11A_390,Course,Ps-11A
UK-SP-06,gr_Course_Ar-11A_391,Course,Ar-11A
UK-SP-06,gr_Course_Fr-11T_392,Course,Fr-11T
UK-SP-06,gr_Course_Ge-11P_393,Course,Ge-11P
UK-SP-06,gr_Course_Hi-11S_394,Course,Hi-11S
UK-SP-06,gr_Course_J.-11U_395,Course,J.-11U
UK-SP-06,gr_Course_Pe-11L_396,Course,Pe-11L
UK-SP-06,gr_Course_Dv-11g1_397,Course,Dv-11g1
UK-SP-06,gr_Course_Cp-11g2_398,Course,Cp-11g2
UK-SP-06,gr_Course_Dr-11h1_399,Course,Dr-11h1
UK-SP-06,gr_Course_Ps-11L_400,Course,Ps-11L
UK-SP-06,gr_Course_Ps-11P_401,Course,Ps-11P
UK-SP-06,gr_Course_Ps-11S_402,Course,Ps-11S
UK-SP-06,gr_Course_Ps-11T_403,Course,Ps-11T
UK-SP-06,gr_Course_Ps-11U_404,Course,Ps-11U
UK-SP-06,gr_Course_Dt-11S_405,Course,Dt-11S
UK-SP-06,gr_Course_Dt-11T_406,Course,Dt-11T
UK-SP-06,gr_Course_Dt-11P_407,Course,Dt-11P
UK-SP-06,gr_Course_Dt-11g1_408,Course,Dt-11g1
UK-SP-06,gr_Course_Dt-11g2_409,Course,Dt-11g2
UK-SP-06,gr_Course_En-11S_410,Course,En-11S
UK-SP-06,gr_Course_En-11T_411,Course,En-11T
UK-SP-06,gr_Course_En-11P_412,Course,En-11P
UK-SP-06,gr_Course_En-11g1_413,Course,En-11g1
UK-SP-06,gr_Course_Ma-11S_414,Course,Ma-11S
UK-SP-06,gr_Course_Ma-11T_415,Course,Ma-11T
UK-SP-06,gr_Course_Ma-11P_416,Course,Ma-11P
UK-SP-06,gr_Course_Ma-11g1_417,Course,Ma-11g1
UK-SP-06,gr_Course_Pe-11S_418,Course,Pe-11S
UK-SP-06,gr_Course_Pe-11T_419,Course,Pe-11T
UK-SP-06,gr_Course_Pe-11P_420,Course,Pe-11P
UK-SP-06,gr_Course_Re-11S_421,Course,Re-11S
UK-SP-06,gr_Course_Re-11T_422,Course,Re-11T
UK-SP-06,gr_Course_Re-11P_423,Course,Re-11P
UK-SP-06,gr_Course_Re-11g1_424,Course,Re-11g1
UK-SP-06,gr_Course_Sd-11S_425,Course,Sd-11S
UK-SP-06,gr_Course_Sd-11T_426,Course,Sd-11T
UK-SP-06,gr_Course_Sd-11P_427,Course,Sd-11P
UK-SP-06,gr_Course_Sd-11g1_428,Course,Sd-11g1
UK-SP-06,gr_Course_Dt-11A_429,Course,Dt-11A
UK-SP-06,gr_Course_Dt-11U_430,Course,Dt-11U
UK-SP-06,gr_Course_Dt-11L_431,Course,Dt-11L
UK-SP-06,gr_Course_Dt-11h1_432,Course,Dt-11h1
UK-SP-06,gr_Course_Dt-11h2_433,Course,Dt-11h2
UK-SP-06,gr_Course_Dv-11A_434,Course,Dv-11A
UK-SP-06,gr_Course_En-11A_435,Course,En-11A
UK-SP-06,gr_Course_En-11U_436,Course,En-11U
UK-SP-06,gr_Course_En-11L_437,Course,En-11L
UK-SP-06,gr_Course_En-11h1_438,Course,En-11h1
UK-SP-06,gr_Course_Ma-11A_439,Course,Ma-11A
UK-SP-06,gr_Course_Ma-11U_440,Course,Ma-11U
UK-SP-06,gr_Course_Ma-11L_441,Course,Ma-11L
UK-SP-06,gr_Course_Ma-11h1_442,Course,Ma-11h1
UK-SP-06,gr_Course_Pe-11A_443,Course,Pe-11A
UK-SP-06,gr_Course_Pe-11U_444,Course,Pe-11U
UK-SP-06,gr_Course_Re-11A_446,Course,Re-11A
UK-SP-06,gr_Course_Re-11U_447,Course,Re-11U
UK-SP-06,gr_Course_Re-11L_448,Course,Re-11L
UK-SP-06,gr_Course_Re-11h1_449,Course,Re-11h1
UK-SP-06,gr_Course_Sd-11U_450,Course,Sd-11U
UK-SP-06,gr_Course_Sd-11L_451,Course,Sd-11L
UK-SP-06,gr_Course_Sd-11h1_452,Course,Sd-11h1
UK-SP-06,gr_Course_Sd-11h2_453,Course,Sd-11h2
UK-SP-06,gr_Course_Sx-11A_454,Course,Sx-11A
UK-SP-06,gr_Course_Mu-12a4_455,Course,Mu-12a4
UK-SP-06,gr_Course_Ma-12T_456,Course,Ma-12T
UK-SP-06,gr_Course_Ph-12P_457,Course,Ph-12P
UK-SP-06,gr_Course_Ge-12A_458,Course,Ge-12A
UK-SP-06,gr_Course_Py-12a1_459,Course,Py-12a1
UK-SP-06,gr_Course_En-12a2_460,Course,En-12a2
UK-SP-06,gr_Course_Py-12a3_461,Course,Py-12a3
UK-SP-06,gr_Course_Ps-12A_463,Course,Ps-12A
UK-SP-06,gr_Course_Bi-12T_464,Course,Bi-12T
UK-SP-06,gr_Course_Fm-12P_465,Course,Fm-12P
UK-SP-06,gr_Course_Hi-12A_466,Course,Hi-12A
UK-SP-06,gr_Course_Pa-12a1_467,Course,Pa-12a1
UK-SP-06,gr_Course_Ec-12a2_468,Course,Ec-12a2
UK-SP-06,gr_Course_Dt-12a3_469,Course,Dt-12a3
UK-SP-06,gr_Course_Ch-12T_470,Course,Ch-12T
UK-SP-06,gr_Course_So-12P_471,Course,So-12P
UK-SP-06,gr_Course_Cp-12A_472,Course,Cp-12A
UK-SP-06,gr_Course_Fr-12a1_473,Course,Fr-12a1
UK-SP-06,gr_Course_Ll-12a2_474,Course,Ll-12a2
UK-SP-06,gr_Course_Ce-12a3_475,Course,Ce-12a3
UK-SP-06,gr_Course_Bi-12P_476,Course,Bi-12P
UK-SP-06,gr_Course_Ar-12T_477,Course,Ar-12T
UK-SP-06,gr_Course_Rs-12A_478,Course,Rs-12A
UK-SP-06,gr_Course_Fs-12a1_479,Course,Fs-12a1
UK-SP-06,gr_Course_Ma-12a2_480,Course,Ma-12a2
UK-SP-06,gr_Course_Ll-12a3_481,Course,Ll-12a3
UK-SP-06,gr_Course_En-12S_482,Course,En-12S
UK-SP-06,gr_Course_Ma-12S_483,Course,Ma-12S
UK-SP-06,gr_Course_Ps-12P_484,Course,Ps-12P
UK-SP-06,gr_Course_Re-12S_485,Course,Re-12S
UK-SP-06,gr_Course_Re-12T_486,Course,Re-12T
UK-SP-06,gr_Course_Ps-12S_487,Course,Ps-12S
UK-SP-06,gr_Course_Sc-12S_488,Course,Sc-12S
UK-SP-06,gr_Course_Ps-12T_489,Course,Ps-12T
UK-SP-06,gr_Course_Rs-13U_490,Course,Rs-13U
UK-SP-06,gr_Course_Cp-13L_491,Course,Cp-13L
UK-SP-06,gr_Course_Ar-13R_492,Course,Ar-13R
UK-SP-06,gr_Course_Bi-13a1_493,Course,Bi-13a1
UK-SP-06,gr_Course_Fr-13a2_494,Course,Fr-13a2
UK-SP-06,gr_Course_Mu-13a3_495,Course,Mu-13a3
UK-SP-06,gr_Course_Ge-13U_496,Course,Ge-13U
UK-SP-06,gr_Course_Ma-13L_497,Course,Ma-13L
UK-SP-06,gr_Course_So-13R_498,Course,So-13R
UK-SP-06,gr_Course_Fm-13a1_499,Course,Fm-13a1
UK-SP-06,gr_Course_En-13a2_500,Course,En-13a2
UK-SP-06,gr_Course_Ll-13a3_501,Course,Ll-13a3
UK-SP-06,gr_Course_Bi-13U_502,Course,Bi-13U
UK-SP-06,gr_Course_Ec-13L_503,Course,Ec-13L
UK-SP-06,gr_Course_Pa-13R_504,Course,Pa-13R
UK-SP-06,gr_Course_Hi-13a1_505,Course,Hi-13a1
UK-SP-06,gr_Course_Ma-13a2_506,Course,Ma-13a2
UK-SP-06,gr_Course_Ph-13a3_507,Course,Ph-13a3
