instance_id,event_id,er_index,role,resource_type_ref,reference_resource_id,workload
UK-SP-06,Ar (10S)_29900,0,Class,Class,Class_10S,
UK-SP-06,Ar (10S)_29900,1,Teacher,Teacher,Teacher_CLU,
UK-SP-06,Ar (10S)_29900,2,Room,Room,,
UK-SP-06,Ar (10S)_29901,0,Class,Class,Class_10S,
UK-SP-06,Ar (10S)_29901,1,Teacher,Teacher,Teacher_CLU,
UK-SP-06,Ar (10S)_29901,2,Room,Room,,
UK-SP-06,Ar (10S)_29902,0,Class,Class,Class_10S,
UK-SP-06,Ar (10S)_29902,1,Teacher,Teacher,Teacher_CLU,
UK-SP-06,Ar (10S)_29902,2,Room,Room,,
UK-SP-06,Dr (10T)_30000,0,Class,Class,Class_10T,
UK-SP-06,Dr (10T)_30000,1,Teacher,Teacher,Teacher_PEC,
UK-SP-06,Dr (10T)_30000,2,Room,Room,,
UK-SP-06,Dr (10T)_30001,0,Class,Class,Class_10T,
UK-SP-06,Dr (10T)_30001,1,Teacher,Teacher,Teacher_PEC,
UK-SP-06,Dr (10T)_30001,2,Room,Room,,
UK-SP-06,Dr (10T)_30002,0,Class,Class,Class_10T,
UK-SP-06,Dr (10T)_30002,1,Teacher,Teacher,Teacher_PEC,
UK-SP-06,Dr (10T)_30002,2,Room,Room,,
UK-SP-06,Ge (10L)_30100,0,Class,Class,Class_10L,
UK-SP-06,Ge (10L)_30100,1,Teacher,Teacher,Teacher_MMK,
UK-SP-06,Ge (10L)_30100,2,Room,Room,,
UK-SP-06,Ge (10L)_30101,0,Class,Class,Class_10L,
UK-SP-06,Ge (10L)_30101,1,Teacher,Teacher,Teacher_MMK,
UK-SP-06,Ge (10L)_30101,2,Room,Room,,
UK-SP-06,Ge (10L)_30102,0,Class,Class,Class_10L,
UK-SP-06,Ge (10L)_30102,1,Teacher,Teacher,Teacher_MMK,
UK-SP-06,Ge (10L)_30102,2,Room,Room,,
UK-SP-06,Fr (10A)_30200,0,Class,Class,Class_10A,
UK-SP-06,Fr (10A)_30200,1,Teacher,Teacher,Teacher_AME,
UK-SP-06,Fr (10A)_30200,2,Room,Room,,
UK-SP-06,Fr (10A)_30201,0,Class,Class,Class_10A,
UK-SP-06,Fr (10A)_30201,1,Teacher,Teacher,Teacher_AME,
UK-SP-06,Fr (10A)_30201,2,Room,Room,,
UK-SP-06,Fr (10A)_30202,0,Class,Class,Class_10A,
UK-SP-06,Fr (10A)_30202,1,Teacher,Teacher,Teacher_AME,
UK-SP-06,Fr (10A)_30202,2,Room,Room,,
UK-SP-06,Mu (10U)_30300,0,Class,Class,Class_10U,
UK-SP-06,Mu (10U)_30300,1,Teacher,Teacher,Teacher_KW,
UK-SP-06,Mu (10U)_30300,2,Room,Room,,
UK-SP-06,Mu (10U)_30301,0,Class,Class,Class_10U,
UK-SP-06,Mu (10U)_30301,1,Teacher,Teacher,Teacher_KW,
UK-SP-06,Mu (10U)_30301,2,Room,Room,,
UK-SP-06,Mu (10U)_30302,0,Class,Class,Class_10U,
UK-SP-06,Mu (10U)_30302,1,Teacher,Teacher,Teacher_KW,
UK-SP-06,Mu (10U)_30302,2,Room,Room,,
UK-SP-06,Da (10L)_30400,0,Class,Class,Class_10L,
UK-SP-06,Da (10L)_30400,1,Teacher,Teacher,Teacher_KPE,
UK-SP-06,Da (10L)_30400,2,Room,Room,,
UK-SP-06,Da (10L)_30401,0,Class,Class,Class_10L,
UK-SP-06,Da (10L)_30401,1,Teacher,Teacher,Teacher_KPE,
UK-SP-06,Da (10L)_30401,2,Room,Room,,
UK-SP-06,Da (10L)_30402,0,Class,Class,Class_10L,
UK-SP-06,Da (10L)_30402,1,Teacher,Teacher,Teacher_KPE,
UK-SP-06,Da (10L)_30402,2,Room,Room,,
UK-SP-06,Sk (10g1)_30500,0,Class,Class,Class_10g1,
UK-SP-06,Sk (10g1)_30500,1,Teacher,Teacher,Teacher_NPA,
UK-SP-06,Sk (10g1)_30500,2,Room,Room,,
UK-SP-06,Sk (10g1)_30501,0,Class,Class,Class_10g1,
UK-SP-06,Sk (10g1)_30501,1,Teacher,Teacher,Teacher_NPA,
UK-SP-06,Sk (10g1)_30501,2,Room,Room,,
UK-SP-06,Sk (10g1)_30502,0,Class,Class,Class_10g1,
UK-SP-06,Sk (10g1)_30502,1,Teacher,Teacher,Teacher_NPA,
UK-SP-06,Sk (10g1)_30502,2,Room,Room,,
UK-SP-06,Ge (10g2)_30600,0,Class,Class,Class_10g2,
UK-SP-06,Ge (10g2)_30600,1,Teacher,Teacher,Teacher_ASL,
UK-SP-06,Ge (10g2)_30600,2,Room,Room,,
UK-SP-06,Ge (10g2)_30601,0,Class,Class,Class_10g2,
UK-SP-06,Ge (10g2)_30601,1,Teacher,Teacher,Teacher_ASL,
UK-SP-06,Ge (10g2)_30601,2,Room,Room,,
UK-SP-06,Ge (10g2)_30602,0,Class,Class,Class_10g2,
UK-SP-06,Ge (10g2)_30602,1,Teacher,Teacher,Teacher_ASL,
UK-SP-06,Ge (10g2)_30602,2,Room,Room,,
UK-SP-06,Hi (10h1)_30700,0,Class,Class,Class_10h1,
UK-SP-06,Hi (10h1)_30700,1,Teacher,Teacher,Teacher_EAS,
UK-SP-06,Hi (10h1)_30700,2,Room,Room,,
UK-SP-06,Hi (10h1)_30701,0,Class,Class,Class_10h1,
UK-SP-06,Hi (10h1)_30701,1,Teacher,Teacher,Teacher_EAS,
UK-SP-06,Hi (10h1)_30701,2,Room,Room,,
UK-SP-06,Hi (10h1)_30702,0,Class,Class,Class_10h1,
UK-SP-06,Hi (10h1)_30702,1,Teacher,Teacher,Teacher_EAS,
UK-SP-06,Hi (10h1)_30702,2,Room,Room,,
UK-SP-06,Pa (10h2)_30800,0,Class,Class,Class_10h2,
UK-SP-06,Pa (10h2)_30800,1,Teacher,Teacher,Teacher_DHA,
UK-SP-06,Pa (10h2)_30800,2,Room,Room,,
UK-SP-06,Pa (10h2)_30801,0,Class,Class,Class_10h2,
UK-SP-06,Pa (10h2)_30801,1,Teacher,Teacher,Teacher_DHA,
UK-SP-06,Pa (10h2)_30801,2,Room,Room,,
UK-SP-06,Pa (10h2)_30802,0,Class,Class,Class_10h2,
UK-SP-06,Pa (10h2)_30802,1,Teacher,Teacher,Teacher_DHA,
UK-SP-06,Pa (10h2)_30802,2,Room,Room,,
UK-SP-06,Ps (10A)_30900,0,Class,Class,Class_10A,
UK-SP-06,Ps (10A)_30900,1,Teacher,Teacher,Teacher_GOU,
UK-SP-06,Ps (10A)_30900,2,Room,Room,,
UK-SP-06,Ar (10T)_31000,0,Class,Class,Class_10T,
UK-SP-06,Ar (10T)_31000,1,Teacher,Teacher,Teacher_GSF,
UK-SP-06,Ar (10T)_31000,2,Room,Room,,
UK-SP-06,Ar (10T)_31001,0,Class,Class,Class_10T,
UK-SP-06,Ar (10T)_31001,1,Teacher,Teacher,Teacher_GSF,
UK-SP-06,Ar (10T)_31001,2,Room,Room,,
UK-SP-06,Ar (10T)_31002,0,Class,Class,Class_10T,
UK-SP-06,Ar (10T)_31002,1,Teacher,Teacher,Teacher_GSF,
UK-SP-06,Ar (10T)_31002,2,Room,Room,,
UK-SP-06,Fr (10S)_31100,0,Class,Class,Class_10S,
UK-SP-06,Fr (10S)_31100,1,Teacher,Teacher,Teacher_GOU,
UK-SP-06,Fr (10S)_31100,2,Room,Room,,
UK-SP-06,Fr (10S)_31101,0,Class,Class,Class_10S,
UK-SP-06,Fr (10S)_31101,1,Teacher,Teacher,Teacher_GOU,
UK-SP-06,Fr (10S)_31101,2,Room,Room,,
UK-SP-06,Fr (10S)_31102,0,Class,Class,Class_10S,
UK-SP-06,Fr (10S)_31102,1,Teacher,Teacher,Teacher_GOU,
UK-SP-06,Fr (10S)_31102,2,Room,Room,,
UK-SP-06,Ge (10P)_31200,0,Teacher,Teacher,Teacher_MOS,
UK-SP-06,Ge (10P)_31200,1,Room,Room,,
UK-SP-06,Ge (10P)_31201,0,Teacher,Teacher,Teacher_MOS,
UK-SP-06,Ge (10P)_31201,1,Room,Room,,
UK-SP-06,Ge (10P)_31202,0,Teacher,Teacher,Teacher_MOS,
UK-SP-06,Ge (10P)_31202,1,Room,Room,,
UK-SP-06,Hi (10P)_31300,0,Class,Class,Class_10P,
UK-SP-06,Hi (10P)_31300,1,Teacher,Teacher,Teacher_ARC,
UK-SP-06,Hi (10P)_31300,2,Room,Room,,
UK-SP-06,Hi (10P)_31301,0,Class,Class,Class_10P,
UK-SP-06,Hi (10P)_31301,1,Teacher,Teacher,Teacher_ARC,
UK-SP-06,Hi (10P)_31301,2,Room,Room,,
UK-SP-06,Hi (10P)_31302,0,Class,Class,Class_10P,
UK-SP-06,Hi (10P)_31302,1,Teacher,Teacher,Teacher_ARC,
UK-SP-06,Hi (10P)_31302,2,Room,Room,,
UK-SP-06,Pe (10U)_31400,0,Class,Class,Class_10U,
UK-SP-06,Pe (10U)_31400,1,Teacher,Teacher,Teacher_MBI,
UK-SP-06,Pe (10U)_31400,2,Room,Room,,
UK-SP-06,Pe (10U)_31401,0,Class,Class,Class_10U,
UK-SP-06,Pe (10U)_31401,1,Teacher,Teacher,Teacher_MBI,
UK-SP-06,Pe (10U)_31401,2,Room,Room,,
UK-SP-06,Pe (10U)_31402,0,Class,Class,Class_10U,
UK-SP-06,Pe (10U)_31402,1,Teacher,Teacher,Teacher_MBI,
UK-SP-06,Pe (10U)_31402,2,Room,Room,,
UK-SP-06,Pe (10U)_31403,0,Class,Class,Class_10U,
UK-SP-06,Pe (10U)_31403,1,Teacher,Teacher,Teacher_MBI,
UK-SP-06,Pe (10U)_31403,2,Room,Room,,
UK-SP-06,Dv (10A)_31500,0,Class,Class,Class_10A,
UK-SP-06,Dv (10A)_31500,1,Teacher,Teacher,Teacher_RMG,
UK-SP-06,Dv (10A)_31500,2,Room,Room,,
UK-SP-06,Dv (10A)_31501,0,Class,Class,Class_10A,
UK-SP-06,Dv (10A)_31501,1,Teacher,Teacher,Teacher_RMG,
UK-SP-06,Dv (10A)_31501,2,Room,Room,,
UK-SP-06,Dv (10A)_31502,0,Class,Class,Class_10A,
UK-SP-06,Dv (10A)_31502,1,Teacher,Teacher,Teacher_RMG,
UK-SP-06,Dv (10A)_31502,2,Room,Room,,
UK-SP-06,Dv (10A)_31503,0,Class,Class,Class_10A,
UK-SP-06,Dv (10A)_31503,1,Teacher,Teacher,Teacher_NPA,
UK-SP-06,Dv (10A)_31503,2,Room,Room,,
UK-SP-06,Dv (10A)_31504,0,Class,Class,Class_10A,
UK-SP-06,Dv (10A)_31504,1,Teacher,Teacher,Teacher_NPA,
UK-SP-06,Dv (10A)_31504,2,Room,Room,,
UK-SP-06,Dv (10A)_31505,0,Class,Class,Class_10A,
UK-SP-06,Dv (10A)_31505,1,Teacher,Teacher,Teacher_NPA,
UK-SP-06,Dv (10A)_31505,2,Room,Room,,
UK-SP-06,Dr (10g1)_31600,0,Class,Class,Class_10g1,
UK-SP-06,Dr (10g1)_31600,1,Teacher,Teacher,Teacher_JGR,
UK-SP-06,Dr (10g1)_31600,2,Room,Room,,
UK-SP-06,Dr (10g1)_31601,0,Class,Class,Class_10g1,
UK-SP-06,Dr (10g1)_31601,1,Teacher,Teacher,Teacher_JGR,
UK-SP-06,Dr (10g1)_31601,2,Room,Room,,
UK-SP-06,Dr (10g1)_31602,0,Class,Class,Class_10g1,
UK-SP-06,Dr (10g1)_31602,1,Teacher,Teacher,Teacher_JGR,
