instance_id,resource_id,name,resource_type_ref
UK-SP-06,Teacher_ACL,ACL,Teacher
UK-SP-06,Teacher_AME,AME,Teacher
UK-SP-06,Teacher_ARC,ARC,Teacher
UK-SP-06,Teacher_ASL,ASL,Teacher
UK-SP-06,Teacher_BEC,BEC,Teacher
UK-SP-06,Teacher_BRO,BRO,Teacher
UK-SP-06,Teacher_BWY,BWY,Teacher
UK-SP-06,Teacher_CH,CH,Teacher
UK-SP-06,Teacher_CHA,CHA,Teacher
UK-SP-06,Teacher_CLU,CLU,Teacher
UK-SP-06,Teacher_CNO,CNO,Teacher
UK-SP-06,Teacher_DBY,DBY,Teacher
UK-SP-06,Teacher_DHA,DHA,Teacher
UK-SP-06,Teacher_DSW,DSW,Teacher
UK-SP-06,Teacher_EAS,EAS,Teacher
UK-SP-06,Teacher_EM,EM,Teacher
UK-SP-06,Teacher_EWO,EWO,Teacher
UK-SP-06,Teacher_FSM,FSM,Teacher
UK-SP-06,Teacher_GMA,GMA,Teacher
UK-SP-06,Teacher_GOU,GOU,Teacher
UK-SP-06,Teacher_GRL,GRL,Teacher
UK-SP-06,Teacher_GSF,GSF,Teacher
UK-SP-06,Teacher_GWD,GWD,Teacher
UK-SP-06,Teacher_HVA,HVA,Teacher
UK-SP-06,Teacher_JCH,JCH,Teacher
UK-SP-06,Teacher_JCN,JCN,Teacher
UK-SP-06,Teacher_JCO,JCO,Teacher
UK-SP-06,Teacher_JDU,JDU,Teacher
UK-SP-06,Teacher_JGR,JGR,Teacher
UK-SP-06,Teacher_JHE,JHE,Teacher
UK-SP-06,Teacher_JMB,JMB,Teacher
UK-SP-06,Teacher_JNO,JNO,Teacher
UK-SP-06,Teacher_JRO,JRO,Teacher
UK-SP-06,Teacher_JSW,JSW,Teacher
UK-SP-06,Teacher_KDU,KDU,Teacher
UK-SP-06,Teacher_KMJ,KMJ,Teacher
UK-SP-06,Teacher_KPE,KPE,Teacher
UK-SP-06,Teacher_KW,KW,Teacher
UK-SP-06,Teacher_LFR,LFR,Teacher
UK-SP-06,Teacher_LJE,LJE,Teacher
UK-SP-06,Teacher_LST,LST,Teacher
UK-SP-06,Teacher_MBI,MBI,Teacher
UK-SP-06,Teacher_MEL,MEL,Teacher
UK-SP-06,Teacher_MGR,MGR,Teacher
UK-SP-06,Teacher_MMK,MMK,Teacher
UK-SP-06,Teacher_MOS,MOS,Teacher
UK-SP-06,Teacher_MTE,MTE,Teacher
UK-SP-06,Teacher_NCO,NCO,Teacher
UK-SP-06,Teacher_NPA,NPA,Teacher
UK-SP-06,Teacher_NPY,NPY,Teacher
UK-SP-06,Teacher_NV,NV,Teacher
UK-SP-06,Teacher_PBR,PBR,Teacher
UK-SP-06,Teacher_PBU,PBU,Teacher
UK-SP-06,Teacher_PDO,PDO,Teacher
UK-SP-06,Teacher_PEC,PEC,Teacher
UK-SP-06,Teacher_PGI,PGI,Teacher
UK-SP-06,Teacher_PH,PH,Teacher
UK-SP-06,Teacher_PMO,PMO,Teacher
UK-SP-06,Teacher_PRI,PRI,Teacher
UK-SP-06,Teacher_RBE,RBE,Teacher
UK-SP-06,Teacher_RMG,RMG,Teacher
UK-SP-06,Teacher_RWE,RWE,Teacher
UK-SP-06,Teacher_SB,SB,Teacher
UK-SP-06,Teacher_SLO,SLO,Teacher
UK-SP-06,Teacher_SWA,SWA,Teacher
UK-SP-06,Teacher_TFO,TFO,Teacher
UK-SP-06,Teacher_TH,TH,Teacher
UK-SP-06,Teacher_XXX,XXX,Teacher
UK-SP-06,Class_10A,10A,Class
UK-SP-06,Class_10g1,10g1,Class
UK-SP-06,Class_10g2,10g2,Class
UK-SP-06,Class_10g3,10g3,Class
UK-SP-06,Class_10h1,10h1,Class
UK-SP-06,Class_10h2,10h2,Class
UK-SP-06,Class_10h3,10h3,Class
UK-SP-06,Class_10L,10L,Class
UK-SP-06,Class_10P,10P,Class
UK-SP-06,Class_10S,10S,Class
UK-SP-06,Class_10T,10T,Class
UK-SP-06,Class_10U,10U,Class
UK-SP-06,Class_11A,11A,Class
UK-SP-06,Class_11g1,11g1,Class
UK-SP-06,Class_11g2,11g2,Class
UK-SP-06,Class_11h1,11h1,Class
UK-SP-06,Class_11h2,11h2,Class
UK-SP-06,Class_11L,11L,Class
UK-SP-06,Class_11P,11P,Class
UK-SP-06,Class_11S,11S,Class
UK-SP-06,Class_11T,11T,Class
UK-SP-06,Class_11U,11U,Class
UK-SP-06,Class_12A,12A,Class
UK-SP-06,Class_12a1,12a1,Class
UK-SP-06,Class_12a2,12a2,Class
UK-SP-06,Class_12a3,12a3,Class
UK-SP-06,Class_12a4,12a4,Class
UK-SP-06,Class_12P,12P,Class
UK-SP-06,Class_12S,12S,Class
UK-SP-06,Class_12T,12T,Class
UK-SP-06,Class_13a1,13a1,Class
UK-SP-06,Class_13a2,13a2,Class
UK-SP-06,Class_13a3,13a3,Class
UK-SP-06,Class_13a4,13a4,Class
UK-SP-06,Class_13L,13L,Class
UK-SP-06,Class_13R,13R,Class
UK-SP-06,Class_13U,13U,Class
UK-SP-06,Class_7A,7A,Class
UK-SP-06,Class_7g1,7g1,Class
UK-SP-06,Class_7g2,7g2,Class
UK-SP-06,Class_7h1,7h1,Class
UK-SP-06,Class_7h2,7h2,Class
UK-SP-06,Class_7L,7L,Class
UK-SP-06,Class_7P,7P,Class
UK-SP-06,Class_7S,7S,Class
UK-SP-06,Class_7T,7T,Class
UK-SP-06,Class_7U,7U,Class
UK-SP-06,Class_8A,8A,Class
UK-SP-06,Class_8g1,8g1,Class
UK-SP-06,Class_8g2,8g2,Class
