instance_id,time_id,group_id,membership_type
UK-SP-06,TimeSlot_ma1,gr_Day_ma,Day
UK-SP-06,TimeSlot_ma2,gr_Day_ma,Day
UK-SP-06,TimeSlot_ma3,gr_Day_ma,Day
UK-SP-06,TimeSlot_ma4,gr_Day_ma,Day
UK-SP-06,TimeSlot_ma5,gr_Day_ma,Day
UK-SP-06,TimeSlot_di1,gr_Day_di,Day
UK-SP-06,TimeSlot_di2,gr_Day_di,Day
UK-SP-06,TimeSlot_di3,gr_Day_di,Day
UK-SP-06,TimeSlot_di4,gr_Day_di,Day
UK-SP-06,TimeSlot_di5,gr_Day_di,Day
UK-SP-06,TimeSlot_wo1,gr_Day_wo,Day
UK-SP-06,TimeSlot_wo2,gr_Day_wo,Day
UK-SP-06,TimeSlot_wo3,gr_Day_wo,Day
UK-SP-06,TimeSlot_wo4,gr_Day_wo,Day
UK-SP-06,TimeSlot_wo5,gr_Day_wo,Day
UK-SP-06,TimeSlot_do1,gr_Day_do,Day
UK-SP-06,TimeSlot_do2,gr_Day_do,Day
UK-SP-06,TimeSlot_do3,gr_Day_do,Day
UK-SP-06,TimeSlot_do4,gr_Day_do,Day
UK-SP-06,TimeSlot_do5,gr_Day_do,Day
UK-SP-06,TimeSlot_vr1,gr_Day_vr,Day
UK-SP-06,TimeSlot_vr2,gr_Day_vr,Day
UK-SP-06,TimeSlot_vr3,gr_Day_vr,Day
UK-SP-06,TimeSlot_vr4,gr_Day_vr,Day
UK-SP-06,TimeSlot_vr5,gr_Day_vr,Day
