instance_id,constraint_id,path,attr,value
US-WS-09,AssignRooms,Name,text,AssignRooms
US-WS-09,AssignRooms,Required,text,TRUE
US-WS-09,AssignRooms,Weight,text,1
US-WS-09,AssignRooms,CostFunction,text,Linear
US-WS-09,AssignRooms,Role,text,1
US-WS-09,AssignTime,Name,text,AssignTime
US-WS-09,AssignTime,Required,text,TRUE
US-WS-09,AssignTime,Weight,text,1
US-WS-09,AssignTime,CostFunction,text,Linear
US-WS-09,SplitEventsConstraint_2_1,Name,text,SplitEventsConstraint_2_1
US-WS-09,SplitEventsConstraint_2_1,Required,text,TRUE
US-WS-09,SplitEventsConstraint_2_1,Weight,text,1
US-WS-09,SplitEventsConstraint_2_1,CostFunction,text,Linear
US-WS-09,SplitEventsConstraint_2_1,MinimumDuration,text,1
US-WS-09,SplitEventsConstraint_2_1,MaximumDuration,text,1
US-WS-09,SplitEventsConstraint_2_1,MinimumAmount,text,2
US-WS-09,SplitEventsConstraint_2_1,MaximumAmount,text,2
US-WS-09,SplitEventsConstraint_2_2,Name,text,SplitEventsConstraint_2_2
US-WS-09,SplitEventsConstraint_2_2,Required,text,TRUE
US-WS-09,SplitEventsConstraint_2_2,Weight,text,1
US-WS-09,SplitEventsConstraint_2_2,CostFunction,text,Linear
US-WS-09,SplitEventsConstraint_2_2,MinimumDuration,text,2
US-WS-09,SplitEventsConstraint_2_2,MaximumDuration,text,2
US-WS-09,SplitEventsConstraint_2_2,MinimumAmount,text,2
US-WS-09,SplitEventsConstraint_2_2,MaximumAmount,text,2
US-WS-09,SplitEventsConstraint_2_3,Name,text,SplitEventsConstraint_2_3
US-WS-09,SplitEventsConstraint_2_3,Required,text,TRUE
US-WS-09,SplitEventsConstraint_2_3,Weight,text,1
US-WS-09,SplitEventsConstraint_2_3,CostFunction,text,Linear
US-WS-09,SplitEventsConstraint_2_3,MinimumDuration,text,3
US-WS-09,SplitEventsConstraint_2_3,MaximumDuration,text,3
US-WS-09,SplitEventsConstraint_2_3,MinimumAmount,text,2
US-WS-09,SplitEventsConstraint_2_3,MaximumAmount,text,2
US-WS-09,SplitEventsConstraint_2_4,Name,text,SplitEventsConstraint_2_4
US-WS-09,SplitEventsConstraint_2_4,Required,text,TRUE
US-WS-09,SplitEventsConstraint_2_4,Weight,text,1
US-WS-09,SplitEventsConstraint_2_4,CostFunction,text,Linear
US-WS-09,SplitEventsConstraint_2_4,MinimumDuration,text,4
US-WS-09,SplitEventsConstraint_2_4,MaximumDuration,text,4
US-WS-09,SplitEventsConstraint_2_4,MinimumAmount,text,2
US-WS-09,SplitEventsConstraint_2_4,MaximumAmount,text,2
US-WS-09,SplitEventsConstraint_3_2,Name,text,SplitEventsConstraint_3_2
US-WS-09,SplitEventsConstraint_3_2,Required,text,TRUE
US-WS-09,SplitEventsConstraint_3_2,Weight,text,1
US-WS-09,SplitEventsConstraint_3_2,CostFunction,text,Linear
US-WS-09,SplitEventsConstraint_3_2,MinimumDuration,text,2
US-WS-09,SplitEventsConstraint_3_2,MaximumDuration,text,2
US-WS-09,SplitEventsConstraint_3_2,MinimumAmount,text,3
US-WS-09,SplitEventsConstraint_3_2,MaximumAmount,text,3
US-WS-09,SplitEventsConstraint_3_4,Name,text,SplitEventsConstraint_3_4
US-WS-09,SplitEventsConstraint_3_4,Required,text,TRUE
US-WS-09,SplitEventsConstraint_3_4,Weight,text,1
US-WS-09,SplitEventsConstraint_3_4,CostFunction,text,Linear
US-WS-09,SplitEventsConstraint_3_4,MinimumDuration,text,4
US-WS-09,SplitEventsConstraint_3_4,MaximumDuration,text,4
US-WS-09,SplitEventsConstraint_3_4,MinimumAmount,text,3
US-WS-09,SplitEventsConstraint_3_4,MaximumAmount,text,3
US-WS-09,SplitEventsConstraint_4_2,Name,text,SplitEventsConstraint_4_2
US-WS-09,SplitEventsConstraint_4_2,Required,text,TRUE
US-WS-09,SplitEventsConstraint_4_2,Weight,text,1
US-WS-09,SplitEventsConstraint_4_2,CostFunction,text,Linear
US-WS-09,SplitEventsConstraint_4_2,MinimumDuration,text,2
US-WS-09,SplitEventsConstraint_4_2,MaximumDuration,text,2
US-WS-09,SplitEventsConstraint_4_2,MinimumAmount,text,4
US-WS-09,SplitEventsConstraint_4_2,MaximumAmount,text,4
US-WS-09,SplitEventsConstraint_4_4,Name,text,SplitEventsConstraint_4_4
US-WS-09,SplitEventsConstraint_4_4,Required,text,TRUE
US-WS-09,SplitEventsConstraint_4_4,Weight,text,1
US-WS-09,SplitEventsConstraint_4_4,CostFunction,text,Linear
US-WS-09,SplitEventsConstraint_4_4,MinimumDuration,text,4
US-WS-09,SplitEventsConstraint_4_4,MaximumDuration,text,4
US-WS-09,SplitEventsConstraint_4_4,MinimumAmount,text,4
US-WS-09,SplitEventsConstraint_4_4,MaximumAmount,text,4
US-WS-09,SplitEventsConstraint_5_2,Name,text,SplitEventsConstraint_5_2
US-WS-09,SplitEventsConstraint_5_2,Required,text,TRUE
US-WS-09,SplitEventsConstraint_5_2,Weight,text,1
US-WS-09,SplitEventsConstraint_5_2,CostFunction,text,Linear
US-WS-09,SplitEventsConstraint_5_2,MinimumDuration,text,2
US-WS-09,SplitEventsConstraint_5_2,MaximumDuration,text,2
US-WS-09,SplitEventsConstraint_5_2,MinimumAmount,text,5
US-WS-09,SplitEventsConstraint_5_2,MaximumAmount,text,5
US-WS-09,SplitEventsConstraint_5_4,Name,text,SplitEventsConstraint_5_4
US-WS-09,SplitEventsConstraint_5_4,Required,text,TRUE
US-WS-09,SplitEventsConstraint_5_4,Weight,text,1
US-WS-09,SplitEventsConstraint_5_4,CostFunction,text,Linear
US-WS-09,SplitEventsConstraint_5_4,MinimumDuration,text,4
US-WS-09,SplitEventsConstraint_5_4,MaximumDuration,text,4
US-WS-09,SplitEventsConstraint_5_4,MinimumAmount,text,5
US-WS-09,SplitEventsConstraint_5_4,MaximumAmount,text,5
US-WS-09,SplitEventsConstraint_6_2,Name,text,SplitEventsConstraint_6_2
US-WS-09,SplitEventsConstraint_6_2,Required,text,TRUE
US-WS-09,SplitEventsConstraint_6_2,Weight,text,1
US-WS-09,SplitEventsConstraint_6_2,CostFunction,text,Linear
US-WS-09,SplitEventsConstraint_6_2,MinimumDuration,text,2
US-WS-09,SplitEventsConstraint_6_2,MaximumDuration,text,2
US-WS-09,SplitEventsConstraint_6_2,MinimumAmount,text,6
US-WS-09,SplitEventsConstraint_6_2,MaximumAmount,text,6
US-WS-09,SplitEventsConstraint_6_4,Name,text,SplitEventsConstraint_6_4
US-WS-09,SplitEventsConstraint_6_4,Required,text,TRUE
US-WS-09,SplitEventsConstraint_6_4,Weight,text,1
US-WS-09,SplitEventsConstraint_6_4,CostFunction,text,Linear
US-WS-09,SplitEventsConstraint_6_4,MinimumDuration,text,4
US-WS-09,SplitEventsConstraint_6_4,MaximumDuration,text,4
US-WS-09,SplitEventsConstraint_6_4,MinimumAmount,text,6
